year,dix_DET oeufs_NOUN,dix_DET feux_NOUN
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,2.3811825400343878e-08,0.0
1802,8.951360541686881e-09,0.0
1803,8.191424427650418e-08,1.3652374342143503e-08
1804,8.651478111687538e-08,0.0
1805,2.55858996212055e-08,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,0.0,1.129515236897305e-08
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,6.293354282149721e-09
1815,1.3486118000116676e-08,0.0
1816,1.1588019432906549e-08,1.1588019432906549e-08
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,7.152706427149269e-09,3.5763532135746345e-09
1819,0.0,1.0351049795076506e-08
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,0.0,1.604098542884458e-08
1823,4.941343334508019e-09,1.1859224047228167e-08
1824,2.5263338088166165e-09,3.2842338626437595e-08
1825,0.0,1.4088708866211164e-08
1826,2.642395191543301e-09,1.0569580766173203e-08
1827,4.608636583469661e-09,1.013900075008678e-08
1828,1.8344602503717056e-09,8.255071293206129e-09
1829,0.0,9.430493719264632e-09
1830,0.0,5.218417697960831e-09
1831,0.0,6.236482441579483e-09
1832,2.705993873419743e-09,0.0
1833,1.1583628500844156e-09,1.6217079235048004e-08
1834,6.534171426153534e-09,6.534171426153534e-09
1835,0.0,1.285724948729694e-08
1836,2.016224964762614e-09,1.1425274948351216e-08
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,6.312161904276081e-10,1.5149188570262595e-08
1839,1.3982950353153e-09,1.11863602825224e-08
1840,6.369688665408546e-10,1.3376346252869098e-08
1841,1.926164561183441e-09,8.988767952189392e-09
1842,0.0,1.609983613093391e-08
1843,0.0,1.2995204023980023e-08
1844,1.6465684371524958e-09,1.5916826967554698e-08
1845,1.1160455892778032e-09,6.696273757711424e-09
1846,5.854501328173001e-10,1.1709002656346001e-08
1847,5.393223645455691e-10,1.0732514965638984e-07
1848,0.0,1.448139919091318e-08
1849,0.0,2.513824481908955e-09
1850,0.0,2.7155984128057753e-09
1851,1.9348316282474798e-09,3.8696632564949596e-09
1852,6.510545436100301e-10,1.7578472011337e-08
