year,nos_DET airs_NOUN,nos_DET fers_NOUN
1800,3.772997558826319e-08,1.3834323642214486e-07
1801,6.191074786165984e-08,3.547962137417926e-07
1802,4.475680270843441e-09,1.656001700212073e-07
1803,7.021221204439598e-08,2.340407121437238e-07
1804,8.404293261321527e-08,1.6808586433825212e-07
1805,1.8762992382015398e-07,2.672305035034128e-07
1806,1.2391177506287931e-07,2.3341519916897369e-07
1807,3.131650672116848e-08,3.245528716888657e-07
1808,7.478043961839376e-08,2.9458962558237545e-07
1809,1.8072244145628247e-08,1.5361408145508904e-07
1810,6.786367467981336e-08,2.0359102848033217e-07
1811,4.763445815569867e-08,1.554387649704836e-07
1812,2.9339290108509886e-08,7.734903562095496e-08
1813,5.463909147351842e-08,1.6104152678053651e-07
1814,3.461344899591268e-08,5.443751467382185e-07
1815,8.091670444798638e-09,4.2616133022477243e-07
1816,9.270415546325239e-09,2.9897090136898896e-07
1817,8.095742032310227e-08,2.9424907665998035e-07
1818,3.099506074022429e-08,1.8954672498239233e-07
1819,1.0040518816367694e-07,4.016207313384257e-07
1820,5.93324074316115e-08,3.1683503998181095e-07
1821,5.719663320746804e-08,2.652740257458319e-07
1822,5.413832582235045e-08,2.7269676650121255e-07
1823,2.8659792761231984e-08,3.2514041170550456e-07
1824,3.621078548121659e-08,2.6779137396459873e-07
1825,6.95629991387392e-08,1.9195865652577027e-07
1826,4.4039921931471326e-08,2.4662355713189754e-07
1827,3.3182182335167454e-08,1.3918082686359412e-07
1828,4.769596628761974e-08,2.4856935465500385e-07
1829,3.172075158097698e-08,2.1175745512636013e-07
1830,9.706257486641334e-08,3.2041086384104744e-07
1831,5.1450980143030733e-08,2.588140297632435e-07
1832,3.111892965534935e-08,1.8265459011956864e-07
1833,3.8225973497674204e-08,2.5599820219213143e-07
1834,8.681113605746305e-08,2.510988821313731e-07
1835,5.52105419160398e-08,1.8378304389443656e-07
1836,3.1587525484155776e-08,1.8683685132359074e-07
1837,1.8090515530033713e-08,1.579441208932053e-07
1838,4.86036455527028e-08,1.5843527023662318e-07
1839,5.593180230079042e-08,1.4542268411688042e-07
1840,4.58617570586739e-08,2.101997251813259e-07
1841,5.3290552415319326e-08,1.7399686846886198e-07
1842,1.8783141708667017e-08,1.5361927152568455e-07
1843,3.839492035417891e-08,1.5830521604698333e-07
1844,4.390849023261367e-08,2.5521808622031017e-07
1845,1.7298706467272496e-08,2.131647068859266e-07
1846,4.5665111247927825e-08,2.2774010410842038e-07
1847,2.6426796750911308e-08,2.308299773545741e-07
1848,2.172209789819135e-08,1.8101749277299461e-07
1849,2.1786478399121734e-08,1.5082946802635888e-07
1850,2.308258650884909e-08,1.093028378917893e-07
1851,1.1608989325395669e-08,1.8767866727387172e-07
1852,3.8412219849348617e-08,1.7383156336592265e-07
1853,3.1054046445433414e-08,1.9349059732221008e-07
1854,3.273268500691984e-08,1.605460298037542e-07
1855,3.980202833986368e-08,2.0113292009682482e-07
1856,5.539592606851329e-08,1.3926639369499227e-07
1857,3.954022459451423e-08,1.5132678488072315e-07
1858,4.9426128856389084e-08,1.1206517847028863e-07
1859,4.277425569298998e-08,1.4207164000801242e-07
1860,1.51047069019139e-08,1.904108521966208e-07
1861,5.470517772110384e-08,1.7307586475112657e-07
1862,3.343309987191567e-08,2.1912233472143328e-07
