year,six_DET oies_NOUN,six_DET fois_NOUN
1800,0.0,2.534196607228978e-06
1801,0.0,2.9169487039126807e-06
1802,0.0,2.369872646568183e-06
1803,1.1702034896643454e-08,2.365761590183979e-06
1804,2.7190360185613827e-08,2.128263638212502e-06
1805,3.980028751016107e-08,2.265773538567828e-06
1806,0.0,2.2851636458653957e-06
1807,2.8469551160981155e-09,2.223472012730099e-06
1808,1.3596443970698147e-08,2.0417326105359734e-06
1809,1.581321384946932e-08,2.695023372467631e-06
1810,0.0,2.230140798697988e-06
1811,0.0,2.015689670287202e-06
1812,0.0,2.893920854063481e-06
1813,0.0,2.116545758212851e-06
1814,0.0,1.9037396157273179e-06
1815,0.0,2.5219040065138643e-06
1816,0.0,2.396402530635555e-06
1817,0.0,2.8506352123258694e-06
1818,1.668964877410417e-08,2.5523241866665103e-06
1819,0.0,2.2637746308618034e-06
1820,0.0,2.023234980441657e-06
1821,0.0,2.108386084387348e-06
1822,2.0051231786055723e-09,2.2116508091585274e-06
1823,1.9765373782121287e-09,2.06152847148644e-06
1824,0.0,2.3031743943136007e-06
1825,0.0,2.2682820279840143e-06
1826,0.0,2.0936579581132264e-06
1827,1.8434546111834038e-09,2.4020213889031083e-06
1828,1.8344602503717056e-09,2.3398539639174487e-06
1829,0.0,2.14243677731929e-06
1830,2.0873671680021744e-09,2.3649869973496607e-06
1831,0.0,2.5226571196412806e-06
1832,9.470978667991403e-09,2.2094439060538207e-06
1833,0.0,2.4198199461977765e-06
1834,0.0,2.1712119160355314e-06
1835,0.0,2.237161439211377e-06
1836,1.6129799718100912e-08,2.204405966210743e-06
1837,4.174734336004349e-09,2.4790965369447804e-06
1838,0.0,1.9302590779091133e-06
1839,0.0,2.193924812488035e-06
1840,1.2739377330817092e-09,1.9733294394086442e-06
1841,1.926164561183441e-09,1.965971849315906e-06
1842,2.683306021822318e-09,2.302276566723549e-06
1843,1.1813822142769936e-09,2.3598110558964436e-06
1844,2.7442805805577564e-09,2.009911167277778e-06
1845,0.0,2.1528519571489824e-06
1846,3.5127007969038004e-09,2.2498848668561777e-06
1847,9.707802561820245e-09,2.0645260718765712e-06
1848,8.045221711050488e-10,2.324264613662308e-06
1849,8.379414939696517e-10,2.310204639144331e-06
1850,4.073397619208663e-09,2.230864179608716e-06
1851,5.8044946626978344e-09,2.253433834198404e-06
1852,1.9531636308300904e-09,1.9752995648048e-06
1853,1.1346670270029335e-08,2.3469691718958074e-06
1854,1.0391328908454511e-09,2.1063223840656065e-06
1855,5.306937111981824e-09,2.309048245052736e-06
1856,0.0,2.231886227832547e-06
1857,9.763018171682347e-10,2.246958558771439e-06
1858,1.468102750479261e-09,2.0915571639079644e-06
1859,1.5276520048956854e-09,2.475305528548688e-06
1860,2.288591982591015e-09,2.335736887459916e-06
1861,5.187560159214399e-09,2.0806830889341654e-06
1862,4.969785055708442e-09,2.2897153648671065e-06
1863,4.994620717013731e-09,1.887467220740291e-06
