year,certaines_DET oies_NOUN,certaines_DET fois_NOUN
1800,0.0,4.7162465932615305e-08
1801,0.0,2.214499801311831e-07
1802,0.0,5.594600338554301e-08
1803,0.0,4.095712213825209e-08
1804,0.0,4.449331747480301e-08
1805,0.0,3.1271653710973624e-08
1806,0.0,8.645007376628655e-09
1807,0.0,1.4804166781345884e-07
1808,0.0,9.064295980465431e-09
1809,0.0,7.228897658251299e-08
1810,0.0,7.956431069544578e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,7.468182694481129e-08
1813,0.0,2.271835946032752e-07
1814,0.0,0.0
1815,0.0,5.664169400176888e-08
1816,0.0,0.0
1817,0.0,2.490997452753163e-08
1818,0.0,6.199012059227016e-08
1819,0.0,6.210630232317271e-09
1820,0.0,2.8479554714522237e-08
1821,0.0,3.5501356965284e-08
1822,0.0,1.804610860745015e-08
1823,0.0,3.95307486744656e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,0.0
1826,0.0,1.3211976845894924e-08
1827,0.0,1.2904182611350734e-08
1828,0.0,2.7516903755575584e-09
1829,0.0,9.430493719264632e-09
1830,7.305785310052215e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,1.50587169400751e-08
1834,0.0,4.667265462998671e-09
1835,0.0,9.832014313815307e-09
1836,0.0,2.352262562510532e-08
1837,0.0,2.365682849614359e-08
1838,0.0,2.209256688701089e-08
1839,0.0,1.747868882961967e-08
1840,0.0,6.3696887764308485e-09
1841,0.0,7.704658244733764e-09
1842,0.0,8.720744570922534e-09
1843,0.0,3.5441467538532834e-09
1844,4.390849017710252e-09,1.0428266472573e-08
1845,8.928364714222425e-09,1.2276501426544684e-08
1846,0.0,1.8734404250153602e-08
1847,0.0,9.168480197274675e-09
1848,0.0,1.6090443422100975e-09
1849,0.0,1.3407063681469822e-08
1850,0.0,2.9192682937662084e-08
1851,0.0,7.094382414862821e-09
1852,0.0,1.9531636752390114e-08
1853,0.0,1.0152284346531815e-08
1854,0.0,2.5978321716024766e-08
1855,5.306937111981824e-10,2.1227748447927297e-08
1856,2.0708756931497874e-09,1.91556009943028e-08
1857,0.0,2.7336451324799782e-08
