year,aurais_VERB été_VERB,aurais_VERB fêté_VERB
1800,8.489244152087849e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,7.161088433349505e-08,0.0
1803,5.265916058760922e-08,0.0
1804,2.1010733064485976e-07,0.0
1805,4.264316544322355e-08,0.0
1806,5.76333825108577e-08,0.0
1807,7.117387923472052e-08,0.0
1808,6.345007363961486e-08,0.0
1809,1.0843346842648316e-07,0.0
1810,1.0296557917399696e-07,0.0
1811,1.0279014617253779e-07,0.0
1812,2.1337666566978442e-07,0.0
1813,8.052076339026826e-08,0.0
1814,4.090680150170556e-08,0.0
1815,8.091670622434322e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.401186011662503e-07,0.0
1818,1.6093589749743842e-07,0.0
1819,1.0765091928988113e-07,0.0
1820,1.4239776646718383e-07,0.0
1821,1.5383922402634198e-07,0.0
1822,1.5439448475262907e-07,0.0
1823,1.2254531611688435e-07,0.0
1824,1.4063257935958973e-07,0.0
1825,6.956300069305144e-08,0.0
1826,1.0921900894800274e-07,0.0
1827,1.2258972503786936e-07,0.0
1828,1.1832268853595451e-07,0.0
1829,1.5174521195149282e-07,0.0
1830,1.972561989305177e-07,0.0
1831,1.9489007740958186e-07,0.0
1832,1.5424164701016707e-07,0.0
1833,2.5020636940098484e-07,0.0
1834,1.540197587246439e-07,0.0
1835,1.8378304389443656e-07,0.0
1836,1.1492482343555821e-07,0.0
1837,1.3219992922586243e-07,0.0
1838,1.2561201856442494e-07,0.0
1839,1.2794399140148016e-07,0.0
1840,1.6624886711724685e-07,0.0
1841,1.2712686725535605e-07,0.0
1842,1.9185638677754469e-07,0.0
1843,1.671655809332151e-07,0.0
1844,1.2733461574043758e-07,0.0
1845,1.8358950626407022e-07,0.0
1846,1.293844746896866e-07,0.0
1847,8.898818748548365e-08,0.0
1848,1.1424214818589462e-07,0.0
1849,1.6088476684217312e-07,0.0
1850,1.0726613908218496e-07,0.0
1851,1.6123597390560462e-07,0.0
1852,1.3411722932232806e-07,0.0
1853,1.1167512781184996e-07,0.0
1854,1.0547199025268128e-07,0.0
1855,1.347962097497657e-07,0.0
1856,1.289120064029703e-07,0.0
1857,1.6157794391347124e-07,0.0
1858,1.1940569777380006e-07,0.0
1859,1.598942418468141e-07,0.0
1860,1.5516653206759656e-07,0.0
1861,1.362913479852068e-07,0.0
1862,1.2288923301184695e-07,0.0
1863,1.2536497706605587e-07,0.0
1864,1.4432130512886943e-07,0.0
1865,1.3885190242035605e-07,0.0
1866,1.5618617510426702e-07,0.0
1867,1.305406271967513e-07,0.0
1868,9.830349512185421e-08,0.0
1869,2.0217768792463175e-07,0.0
1870,1.594065537346978e-07,0.0
1871,1.4869648623516696e-07,0.0
1872,1.9291012165467691e-07,0.0
1873,1.5264311059581814e-07,0.0
1874,1.6131444624534197e-07,0.0
1875,2.1512941827950272e-07,0.0
1876,2.0072769757462083e-07,0.0
1877,2.0904677455746423e-07,0.0
