year,vingt - six âmes,vingt - six femmes
1800,0.0,0.0
1801,0.0,7.844948690660658e-09
1802,0.0,1.2317521225213568e-08
1803,0.0,0.0
1804,0.0,2.7184055007012375e-09
1805,0.0,0.0
1806,0.0,6.319863299353301e-09
1807,0.0,9.34484578607453e-09
1808,0.0,0.0
1809,0.0,2.4709592150173876e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,3.909968793180951e-09
1819,0.0,0.0
1820,0.0,7.769235921273321e-09
1821,0.0,0.0
1822,0.0,6.578857458805487e-09
1823,0.0,0.0
1824,0.0,8.268784768006299e-09
1825,0.0,1.4416056792754262e-08
1826,0.0,9.61059121173946e-10
1827,0.0,1.0060654531685032e-09
1828,0.0,4.009243159686093e-09
1829,0.0,1.6857889084676003e-08
1830,0.0,1.0272528827570682e-08
1831,0.0,0.0
1832,1.4826272431989196e-09,5.633983590769276e-08
1833,0.0,1.774329128068075e-08
1834,0.0,0.0
1835,2.489881634204494e-09,2.489881634204494e-09
1836,2.2030468560529926e-09,4.406093712105985e-09
1837,1.4422877114839139e-08,5.313691708863644e-09
1838,0.0,4.817570342652289e-09
1839,0.0,4.5855470531819265e-09
1840,1.3917078600655941e-09,2.7834157201311882e-09
1841,7.01979030459654e-10,1.0529685567917113e-08
1842,5.868166397249297e-09,1.393689519346708e-08
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,1.7671799579233038e-09
1848,0.0,0.0
1849,0.0,9.174211390572395e-10
1850,0.0,7.430066562008619e-10
1851,0.0,1.411713745902432e-09
1852,0.0,2.85341283934315e-09
1853,0.0,2.614816807522402e-09
1854,0.0,4.546547138772894e-09
1855,3.4906726398276078e-09,0.0
1856,0.0,0.0
1857,0.0,1.0699394703550524e-09
1858,0.0,6.43318553983363e-09
1859,0.0,7.803964585662015e-09
