year,vieux_ADJ airs_NOUN,vieux_ADJ fers_NOUN
1800,2.2009151834367913e-08,1.2576657937302116e-08
1801,1.6668277424969347e-08,5.2386017301842e-08
1802,4.475680270843441e-09,2.9091921760482364e-08
1803,5.851017803593095e-08,4.6808139586573816e-08
1804,3.213406074564773e-08,5.19088700912107e-08
1805,1.7057265822018053e-08,4.5486043376286034e-08
1806,2.0171682990621775e-08,5.187004603612877e-08
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,6.798221985349073e-09,4.985362878073829e-08
1809,4.0662548883574345e-08,9.262025457701384e-08
1810,2.3401266702194334e-08,7.722418615685456e-08
1811,7.521229861140455e-09,9.526891631139733e-08
1812,2.6672082320544632e-09,4.5342538612658245e-08
1813,8.627225156487839e-09,2.5881675469463516e-08
1814,9.440030979135372e-09,2.2026739543434815e-08
1815,8.091670444798638e-09,4.5852800667489646e-08
1816,3.244645441213834e-08,3.0128852301913867e-08
1817,1.71256075987003e-08,5.1376822796100896e-08
1818,1.668964877410417e-08,2.026600220972341e-08
1819,1.6561680027393777e-08,1.9666995143552413e-08
1820,3.322614716694261e-08,2.4919611263385377e-08
1821,4.2404398215012407e-08,3.4515210245444905e-08
1822,4.0102463572111446e-08,4.511527151862538e-08
1823,8.894418535021487e-09,4.249555340951616e-08
1824,1.431589158329416e-08,4.7158231097910175e-08
1825,1.6730341556581152e-08,6.427973175959778e-08
1826,2.6423952803611428e-08,6.694067877788257e-08
1827,2.765181922326221e-08,6.636436883367125e-08
1828,1.7427371545863934e-08,4.494427585655103e-08
1829,4.115124596637543e-08,3.8579290873030914e-08
1830,3.235419043789989e-08,3.444155827203588e-08
1831,3.897801548191637e-08,2.8064171431196883e-08
1832,4.8707889277466165e-08,4.329590197471589e-08
1833,6.718504863556518e-08,4.6334513115198206e-08
1834,4.0138484536100805e-08,4.387229424196448e-08
1835,5.445423312266939e-08,7.714349692378164e-08
1836,3.024337402735e-08,4.2340726480460944e-08
1837,3.896418832027848e-08,5.148839221646995e-08
1838,1.5149188570262595e-08,7.763958920214975e-08
1839,3.5656523067473245e-08,4.47454411300896e-08
1840,5.987507023519356e-08,2.4841785517537573e-08
1841,8.667740569734406e-08,4.55858959469424e-08
1842,5.500777433553594e-08,5.9032732480091e-08
1843,3.6622846977252266e-08,2.7762482091020502e-08
1844,4.390849023261367e-08,3.677336124496833e-08
1845,4.464182268293371e-08,4.519984675432909e-08
