year,plusieurs_DET iles_NOUN,plusieurs_DET fils_NOUN
1800,3.772997292372793e-08,1.980823611802407e-07
1801,3.5717738544605027e-08,2.500241578218265e-07
1802,4.2518962573012686e-08,2.864435373339802e-07
1803,4.8758479920252285e-08,1.950339174605631e-07
1804,5.6852570651244605e-08,1.8538882784469024e-07
1805,4.264316544322355e-08,3.4683108651734074e-07
1806,2.881669125542885e-08,2.507052192513015e-07
1807,3.9857373401730456e-08,1.1387820109121094e-07
1808,3.852325791697808e-08,1.4956088056905514e-07
1809,3.6144488291256494e-08,3.027100978769681e-07
1810,5.616304221689461e-08,2.0125089417177833e-07
1811,6.267691565753353e-08,2.7577844718962297e-07
1812,2.1337665856435706e-08,2.827240592750968e-07
1813,2.0130191291656274e-08,3.2495879520588744e-07
1814,1.8880061958270744e-08,3.2410775130387037e-07
1815,6.473336511270134e-08,2.211723284517575e-07
1816,3.7081662185300956e-08,2.6420683951755564e-07
1817,3.113746771532533e-08,1.8059731132780144e-07
1818,2.2650237685439834e-08,2.1219695334195876e-07
1819,1.7596785029105888e-08,2.0288058744100113e-07
1820,5.933240565525466e-08,3.215816306578745e-07
1821,2.0709125858608957e-08,3.1556761648232623e-07
1822,3.8097340393505874e-08,2.476327125577882e-07
1823,2.8659791428964354e-08,2.6189120294617396e-07
1824,5.642145595174952e-08,2.711598421356598e-07
1825,5.547428960639422e-08,3.090710378739203e-07
1826,5.7251897223054016e-08,5.478566293959375e-07
1827,5.253845775099464e-08,2.6914436251912477e-07
1828,4.769596506637441e-08,3.6047144647000096e-07
1829,8.144517060770795e-08,2.5719529350709536e-07
1830,6.36646975138433e-08,3.183234882353503e-07
1831,1.8709447990872263e-08,3.227379696824073e-07
1832,6.764984983309574e-08,3.1795428112602053e-07
1833,1.8881314556296047e-07,2.8727397261008036e-07
1834,6.627516691004587e-08,2.688344933332587e-07
1835,6.277362984974388e-08,2.3218679956471533e-07
1836,3.427582545567631e-08,3.293167454287982e-07
1837,6.331680624249714e-08,2.3239356128357258e-07
1838,7.385229161549489e-08,2.3796850889823418e-07
1839,6.571986554959608e-08,2.551888407253955e-07
1840,7.452535866203647e-08,2.439590769398592e-07
1841,7.961480319451653e-08,3.2616386924644303e-07
1842,4.494537542143462e-08,2.9784696486956364e-07
1843,5.670634461996116e-08,2.770341407387633e-07
1844,5.762989474522584e-08,3.5565878420129593e-07
1845,6.361459825576787e-08,2.628287409933705e-07
1846,5.1519611243833197e-08,3.342920322779719e-07
1847,5.3932235566378495e-08,2.993239034410067e-07
1848,4.58577624762313e-08,1.7297227294932327e-07
1849,4.1897074698482584e-08,2.145130209019186e-07
1850,6.856885992334583e-08,2.3422036576903338e-07
1851,4.385618246338652e-08,2.6507191996927304e-07
1852,4.882909210301989e-08,2.9232350118313377e-07
1853,6.808002450675588e-08,2.2812780198222526e-07
1854,4.98783807589831e-08,2.384809953959177e-07
1855,4.139410947345823e-08,3.2478455125328765e-07
1856,3.20985731327994e-08,2.9717067534518193e-07
1857,2.782460128969433e-08,2.73852646559547e-07
1858,2.8383320527236577e-08,2.3538582261117824e-07
1859,2.291478007343528e-08,3.0960414498792943e-07
1860,2.1512764236675253e-08,2.3480953847965225e-07
1861,2.735258886055192e-08,3.046512464521811e-07
1862,2.3945328053720516e-08,2.6656118823353836e-07
1863,2.347471755870245e-08,1.5233593053665118e-07
1864,2.397363974004918e-08,2.488463803906882e-07
1865,1.7415324904401785e-08,2.6122986618304367e-07
1866,2.773399376820862e-08,1.990035614629626e-07
1867,1.4073153309368536e-08,3.0766826064621e-07
1868,1.7783546413241424e-08,2.76138957255867e-07
1869,1.3185502134582805e-08,1.963174720565064e-07
1870,1.548193129252695e-08,2.746609388815102e-07
1871,1.5931766128574054e-08,2.761506152637594e-07
1872,1.5723081503438152e-08,3.416746651163649e-07
1873,1.855661307947898e-08,2.5500377809350994e-07
1874,1.5533983432902687e-08,1.917849569710306e-07
1875,1.2587359599081083e-08,1.7507873462108137e-07
1876,1.3301232337781244e-08,2.599786350643285e-07
1877,1.6699003069220453e-08,2.0657285726422003e-07
1878,1.872117438850296e-08,2.258619148931551e-07
1879,1.7106110861142554e-08,2.2543409583519747e-07
1880,1.1552123257985158e-08,2.0665465427782692e-07
1881,1.95230204225183e-08,2.2590924203536034e-07
1882,1.2645231750596508e-08,2.222898665138473e-07
1883,1.958995032858013e-08,2.053785204125802e-07
1884,1.3203393933736152e-08,2.8255263107013207e-07
1885,1.1602144245337342e-08,2.8747534885908976e-07
1886,2.452316216761119e-08,2.794349833745713e-07
1887,2.0239666442822823e-08,2.7029747839968365e-07
1888,1.394935211784798e-08,2.4284554456244223e-07
1889,1.5662841745811562e-08,1.9609877988102653e-07
1890,1.1797895993481688e-08,2.2219369899545427e-07
1891,1.72103943318902e-08,2.3903325097052175e-07
1892,1.567128071755519e-08,2.1939793271030794e-07
1893,1.4780199342201428e-08,2.5126340125192215e-07
1894,1.3233232509790582e-08,1.732923369246464e-07
1895,4.213030146971164e-09,1.6310445216660696e-07
1896,2.181900704556483e-08,2.0580630610833595e-07
1897,2.0976169134989675e-08,2.0684832646722384e-07
1898,1.1316709569442196e-08,2.2690002676739596e-07
1899,1.326618814800895e-08,2.2331416715815067e-07
1900,1.3496738171525635e-08,1.7026654042240352e-07
1901,8.383108651699445e-09,1.6151456039281697e-07
1902,1.1784681341886483e-08,6.078931571451562e-07
1903,1.1340462346964841e-08,1.98188080835493e-07
1904,1.289910045443321e-08,3.466633158311083e-07
1905,1.445012559608827e-08,1.8372301680003034e-07
1906,9.259532418592897e-09,1.7953203668152895e-07
1907,1.388567694160514e-08,1.9799946926468692e-07
1908,3.437972351250096e-09,2.0775175557652403e-07
1909,1.0451868481808901e-08,2.4259337561005623e-07
1910,5.344150788566537e-09,2.1162837260391143e-07
1911,1.1172785918667216e-08,2.186673841997333e-07
1912,3.125652625612929e-09,1.828506857037837e-07
1913,4.242391882236518e-09,2.2219527284761398e-07
1914,6.027069343605973e-09,2.698787726629348e-07
1915,1.1780761588475741e-08,2.0027295022373437e-07
1916,1.3184954461564757e-08,1.5052823698624707e-07
1917,1.4256351876795748e-08,2.138452736000218e-07
1918,3.44591288836682e-09,1.9297111997218508e-07
1919,1.8415696745321952e-09,1.813946091111518e-07
1920,2.2716695191604686e-09,1.4084351107612747e-07
1921,3.786373714564917e-09,1.8401775636611717e-07
1922,1.2542490324118916e-08,1.748570669368732e-07
1923,5.307974060286824e-09,1.592392249172292e-07
1924,7.734974771800296e-09,1.7919357686579929e-07
1925,5.499089184013428e-09,1.3197813175658268e-07
1926,5.573069228326233e-09,1.5604594061358057e-07
1927,7.804457302640344e-09,1.4828468408722983e-07
1928,4.5704163786908225e-09,1.953853006053663e-07
1929,7.798284240578823e-09,1.2254447323556406e-07
1930,1.4705044848462023e-08,1.0083459223153568e-07
1931,6.843213995466613e-09,1.687992776666647e-07
1932,4.383814644626227e-09,1.249387224788734e-07
1933,1.1470662197865522e-09,1.789423329512374e-07
1934,8.38710612072191e-09,1.3539185239608287e-07
1935,1.3165112555668657e-08,1.4960354999260517e-07
1936,1.576212937948185e-08,1.1639725983059179e-07
1937,3.777335333410292e-09,1.5864808267096464e-07
1938,5.186085783037697e-09,1.2576258501262316e-07
1939,0.0,1.376464515701059e-07
1940,1.01431314458722e-08,1.0650288118085882e-07
1941,1.1806010835613279e-08,1.6528415081040748e-07
1942,0.0,1.2136847260535433e-07
1943,1.4516176261025748e-08,1.3064558856967778e-07
1944,3.2131861615880553e-09,9.639558484764166e-08
1945,1.3071024262956144e-08,1.1328220894668561e-07
1946,8.352662561605939e-09,1.1832938273670379e-07
1947,8.344609669919123e-09,1.2874540789020728e-07
