year,mieux_ADV in_ADJ
1800,2.2009151834367913e-08
1801,9.524730337773235e-09
1802,4.475680270843441e-09
1803,2.7304748684287006e-08
1804,9.887403784603066e-09
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,1.4234775136401367e-08
1808,4.5321479902327155e-09
1809,1.129515236897305e-08
1810,1.1700633351097167e-08
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,1.8540831092650478e-08
1817,2.80237220096069e-08
1818,1.7881765401739358e-08
1819,1.5526575580793178e-08
1820,2.610625848831205e-08
1821,9.861488514673056e-09
1822,1.303330066093622e-08
1823,4.941343334508019e-09
1824,3.3684450784221553e-09
1825,1.1447076175841175e-08
1826,5.284790383086602e-09
1827,1.3825909306319772e-08
1828,1.1006761724274838e-08
1829,7.715858174606183e-09
1830,7.305785310052215e-09
1831,1.7150327380477393e-08
1832,4.058990921151917e-09
1833,1.853380560135065e-08
1834,1.7735608537350345e-08
1835,5.294161553592858e-09
1836,4.032449929525228e-09
1837,1.3915782304252389e-08
1838,1.3255539776935166e-08
1839,6.292327547896548e-09
1840,8.917564464638872e-09
1841,6.420548537278137e-09
1842,4.024959032733477e-09
1843,8.269675610961258e-09
1844,3.2931368743049916e-09
1845,1.2834524554250493e-08
1846,4.0981511517657054e-09
1847,7.550513103637968e-09
1848,7.24069959545659e-09
1849,5.02764896381791e-09
1850,6.788996032014438e-09
1851,4.514607354622058e-09
1852,1.3672145193766028e-08
1853,1.0152284346531815e-08
1854,2.0782657816909023e-09
1855,3.1841622671890946e-09
1856,6.73034605824796e-09
1857,1.9526035899275485e-08
1858,3.9149408159744326e-09
1859,4.073738679721828e-09
1860,5.950338888283113e-09
1861,6.6023493339173456e-09
1862,9.487771457372673e-09
1863,9.989241434027463e-09
1864,7.1920918109924514e-09
1865,7.0602665935837194e-09
1866,3.4059290943133647e-09
1867,3.88224918879132e-09
1868,6.915823469455518e-09
1869,6.348574999037737e-09
1870,8.027668307875047e-09
1871,1.0621176826930423e-08
1872,7.861540751719076e-09
1873,5.387403856360606e-09
1874,6.572069999322139e-09
1875,6.865832347102696e-09
1876,1.813804439976252e-09
1877,6.80329748092845e-09
1878,1.1474268646338714e-08
1879,3.0546627449723474e-09
1880,3.2089231272180996e-09
1881,7.669758161910067e-09
1882,7.320923423037584e-09
1883,3.791603475633565e-09
1884,5.941527270181268e-09
1885,5.156508553483263e-09
1886,5.808117542471791e-09
1887,5.223139698529167e-09
1888,4.4384300679212174e-09
1889,5.012109394186837e-09
1890,8.520702365899524e-09
1891,7.0116419337296065e-09
1892,1.8805537127519756e-09
1893,4.926733243593162e-09
1894,4.411077725308132e-09
1895,4.213029924926559e-09
1896,4.717623180994224e-09
1897,4.078699600285063e-09
1898,2.26334195829736e-09
1899,6.080336234504102e-09
1900,3.633737311048435e-09
1901,3.353243460679778e-09
1902,4.419255628107521e-09
1903,5.940242076007962e-09
1904,2.6873125946735854e-09
1905,3.096455536422127e-09
1906,2.572092316910357e-09
1907,5.65712765521198e-09
1908,6.384805573134145e-09
1909,5.5009836685826485e-09
1910,4.275320542035388e-09
1911,5.852411444351446e-09
1912,3.646594803896619e-09
1913,9.545381374209683e-09
1914,7.366418142140674e-09
1915,1.1780761921542648e-09
1916,0.0
1917,2.1932848870420685e-09
1918,4.594550517822427e-09
1919,2.762354567309444e-09
1920,3.028892692213958e-09
1921,6.815472630705699e-09
1922,7.377935484775833e-10
1923,2.1231896241147297e-09
1924,1.289162443462999e-09
1925,6.598906754362588e-09
1926,0.0
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,3.342121912552898e-09
1930,0.0
1931,2.2810713318222042e-09
1932,2.1919073223131136e-09
1933,3.4411986593596566e-09
1934,5.990790086229936e-09
1935,0.0
1936,0.0
1937,1.2591118148108649e-09
1938,0.0
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,0.0
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,0.0
1950,0.0
1951,5.330700769690111e-09
1952,1.0544803918932644e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,9.385607846468247e-10
1956,8.72114158667614e-10
1957,0.0
1958,8.272243445794913e-10
1959,7.750747821333448e-10
1960,2.076250060767393e-09
1961,1.3896318540318475e-09
1962,6.341956404476434e-10
1963,3.2330267352165265e-09
1964,5.475571551727398e-09
1965,1.0944086747954884e-09
1966,0.0
1967,1.4791006197611978e-09
1968,1.7965663401398047e-09
1969,9.083515606356229e-10
1970,9.197450023812337e-10
1971,2.0553589941130213e-09
1972,1.0260293725750103e-09
1973,5.513203782392395e-10
1974,5.625571675160757e-10
1975,3.4268881066168433e-09
1976,2.856763492431469e-09
1977,1.1753563677885381e-09
1978,3.5643548113029055e-09
1979,4.096381456264453e-09
1980,1.1370301367108482e-09
1981,6.325549528618524e-10
1982,6.828252629986764e-09
1983,1.2630632095778083e-09
1984,3.479405208395292e-09
1985,4.210890747202711e-09
1986,2.3977941854269602e-09
1987,1.8332451112712533e-09
1988,5.996553809062277e-10
1989,5.488122178931576e-10
1990,1.089730194969718e-09
1991,1.1722930404189924e-09
1992,0.0
1993,2.2156829704300662e-09
1994,2.1099706426497278e-09
1995,2.1689803286761844e-09
1996,2.6690460952494277e-09
1997,1.917957792585412e-09
1998,9.536258449571733e-10
1999,1.3710603763428253e-09
2000,1.3254094488601709e-09
2001,1.7524847129024579e-09
2002,4.38122149670761e-10
2003,4.1669229178253886e-10
2004,1.3214374039449694e-09
2005,1.3511248786457486e-09
2006,1.2353669198716943e-09
2007,7.988958938831558e-10
2008,0.0
2009,1.430457752249481e-09
2010,0.0
2011,7.64794394481072e-10
2012,3.404252713057332e-10
2013,5.578250084070646e-10
2014,2.1654451842767486e-10
2015,4.433150790905671e-10
2016,2.0713400439298368e-10
2017,1.0062445321423752e-09
2018,1.0325866828253538e-09
2019,0.0
