year,affaires_NOUN in_ADJ
1800,0.0
1801,7.143547975374531e-09
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,1.8072244145628247e-08
1810,2.3401267590372754e-09
1811,3.259199843341776e-08
1812,0.0
1813,0.0
1814,2.2026739543434815e-08
1815,0.0
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,3.5599443393152796e-09
1821,9.86148829262845e-10
1822,1.2030739071633434e-08
1823,3.9530747564242574e-09
1824,1.2631669044083083e-08
1825,3.522177216552791e-09
1826,4.40399205992037e-09
1827,1.013900075008678e-08
1828,5.503380862137419e-09
1829,4.286587973467704e-09
1830,1.2524203008013046e-08
1831,4.677361609140007e-09
1832,2.705993873419743e-09
1833,3.4750886612755494e-09
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,3.36037508930076e-09
1837,7.653680356156656e-09
1838,1.199310784016916e-08
1839,2.0974426639952526e-09
1840,0.0
1841,0.0
1842,2.683306021822318e-09
1843,5.906911071384968e-10
1844,7.1351298203126134e-09
1845,2.7901139176833567e-09
1846,2.9272506640865004e-09
1847,4.853901280910122e-09
1848,1.3676876908785829e-08
1849,1.4245005175439474e-08
1850,5.431196825611551e-09
1851,1.2898877521649865e-09
1852,3.2552727180501506e-09
1853,4.180352064508952e-09
1854,1.1430461910322265e-08
1855,2.653468555990912e-09
1856,5.694908100650764e-09
1857,1.0251168802710708e-08
1858,5.3830437884982985e-09
1859,4.582956236731661e-09
1860,5.034902272882391e-09
1861,4.715963619617014e-09
1862,3.6143890103090826e-09
1863,4.994620828036034e-10
1864,4.315255264231155e-09
1865,6.118897832863013e-09
1866,2.432806400776144e-09
1867,2.91168689159349e-09
1868,4.44588676984381e-09
1869,5.8602228625304065e-09
1870,1.1468097582678638e-09
1871,4.248470908407853e-09
1872,6.652073336610442e-09
1873,8.380406590902112e-09
1874,5.377148060148329e-09
1875,2.860763514966891e-09
1876,3.627608879952504e-09
1877,3.710889595609501e-09
1878,3.0195443923020093e-09
1879,1.832797580370027e-09
1880,5.134277003548959e-09
1881,3.4862537301449947e-09
1882,2.6621540527571597e-09
1883,1.7062214752172622e-08
1884,2.6406787867472303e-09
1885,3.2228177904158883e-09
1886,1.936039106809062e-09
1887,3.264462256069578e-09
1888,3.1703073499755874e-09
1889,5.01210956072029e-09
1890,6.554386478008212e-09
1891,5.736797703548291e-09
1892,1.8805537127519756e-09
1893,6.158416554491453e-10
1894,6.301539290376468e-10
1895,5.416753268150387e-09
1896,2.3588115349859606e-09
1897,2.330685422435863e-09
1898,6.790025985914383e-09
1899,3.3165470370022376e-09
1900,6.748368974740515e-09
1901,7.824234593556412e-09
1902,9.329539640834383e-09
1903,2.1600881083827517e-09
1904,3.7622376325430196e-09
1905,2.5803795211665204e-09
1906,4.629766015007419e-09
1907,4.1142746431965804e-09
1908,6.3848060172233545e-09
1909,4.400786846048277e-09
1910,2.67207544979442e-09
1911,5.320374252271165e-09
1912,2.6047106693738442e-09
1913,5.833288629908395e-09
1914,7.366418142140674e-09
1915,4.712304768617059e-09
1916,5.493730803607377e-09
1917,3.2899273305631027e-09
1918,1.378365155346728e-08
1919,6.445494027396137e-09
1920,2.3473917920568965e-08
1921,1.5145495080304272e-08
1922,1.3280284205663406e-08
