year,aux_ADP oeufs_NOUN,aux_ADP feux_NOUN
1800,6.917161954334006e-08,7.011487035413211e-07
1801,6.667310969987739e-08,6.524440152588795e-07
1802,4.699464284385613e-08,7.049196426578419e-07
1803,3.1400460898112215e-07,6.592146704065271e-07
1804,7.662737999680758e-08,9.393033408855445e-07
1805,7.960057502032214e-08,8.215916507126053e-07
1806,8.645007376628655e-09,1.0143475535073776e-06
1807,1.4234775580490577e-08,4.2419631185453e-07
1808,1.8128592405020072e-08,6.843543403078911e-07
1809,4.518061036407062e-09,7.771065071437988e-07
1810,5.8503168531842675e-08,6.365145068798483e-07
1811,5.0141537144554604e-08,8.649414695582891e-07
1812,1.3336040716183106e-08,7.148118044142393e-07
1813,5.4639092583741444e-08,4.284854959735185e-07
1814,1.0698702368472368e-07,6.450688019299378e-07
1815,3.7761129112467984e-08,5.097752246996379e-07
1816,3.012885052555703e-08,3.3837015500637335e-07
1817,5.916119061311065e-08,5.760431402990207e-07
1818,3.814776827759658e-08,4.851919310766561e-07
1819,3.726378139390363e-08,5.455003240228962e-07
1820,2.4919610375206958e-08,3.5362113592896094e-07
1821,5.916893086599373e-09,3.8755647846500096e-07
1822,1.804610860745015e-08,5.393781492557537e-07
1823,3.656594182999129e-08,4.536153213052785e-07
1824,8.421112696055388e-09,5.768462187916157e-07
1825,2.993850611865412e-08,5.882036226978471e-07
1826,1.673516958344834e-08,5.848501842820042e-07
1827,9.032927417162995e-08,6.000444692233486e-07
1828,2.2013523004460467e-08,4.7329075414381805e-07
1829,1.371708191477694e-08,4.406612461593795e-07
1830,2.713577385016208e-08,5.187107490201015e-07
1831,3.1182412207897414e-09,6.127343823436604e-07
1832,1.2176972319366541e-08,7.170883549179052e-07
1833,5.096796495962508e-08,7.540942270622963e-07
1834,4.760610750054184e-08,5.460700833737064e-07
1835,1.285724948729694e-08,4.454658864005978e-07
1836,2.2178474501366452e-08,4.852381643161152e-07
1837,1.669893889832963e-08,5.065344694799023e-07
1838,2.524864739505972e-08,4.942422684450776e-07
1839,3.705481832483315e-08,5.383435794925617e-07
1840,1.2739376997750185e-08,5.649913994432154e-07
1841,2.1829864138567245e-08,4.7062621355564715e-07
1842,1.2074877098200432e-08,4.340247468093139e-07
1843,2.067418880535854e-08,4.5246937752096983e-07
1844,3.0187086219601866e-08,4.758582612396367e-07
1845,1.0602433431206038e-08,4.4865032666763227e-07
1846,2.4588905578326603e-08,4.988035016140202e-07
1847,3.235934187273415e-08,3.9154804376551056e-07
1848,4.263967390283341e-08,3.6766663669141053e-07
1849,3.192557191944445e-07,4.147810450660927e-07
1850,3.1229382635444836e-08,6.32734447947314e-07
1851,1.3543821397732358e-08,4.134090119123357e-07
1852,1.2370036106545967e-08,4.2253440390993546e-07
1853,2.1498954394516545e-08,4.1206330969600913e-07
1854,1.1430461910322265e-08,4.5150324901044314e-07
1855,1.0083180512765466e-08,5.604125696834217e-07
1856,1.656700471253103e-08,6.166032573418079e-07
1857,1.2691923734209354e-08,4.988902233549197e-07
1858,1.810660127388175e-08,5.04537993606391e-07
1859,1.8841041837802663e-08,5.713418396169345e-07
1860,4.9433585891378584e-08,4.929626946648114e-07
1861,2.4523011954435958e-08,4.848010703994987e-07
1862,1.2198563326126788e-08,4.386964764790946e-07
1863,1.1487628237549785e-08,6.697786680831541e-07
1864,2.0137857159596706e-08,4.6556809252251696e-07
1865,1.6003270930653457e-08,4.0337655349276247e-07
1866,1.800276755448138e-08,4.276873770692191e-07
1867,1.552899675516528e-08,4.67325747877112e-07
1868,2.1735446775750233e-08,3.428272741246019e-07
1869,2.051078074050139e-08,5.782086578420831e-07
1870,1.6055336615750093e-08,5.326931074023378e-07
1871,1.911811908783534e-08,5.937238150011126e-07
1872,2.8422494247060115e-08,5.914297602771512e-07
1873,1.975381419550004e-08,4.938453841418777e-07
1874,1.852128866941527e-08,3.9073943636225295e-07
1875,1.773673402594156e-08,4.3140315142409236e-07
1876,1.6928840995689143e-08,3.8815413638815244e-07
1877,2.3502301438327322e-08,4.453067496967833e-07
1878,1.5701630662334765e-08,4.3239876212908257e-07
1879,1.8327975470633362e-08,3.9038587651418766e-07
1880,1.4119261759759638e-08,4.569506621976416e-07
1881,1.6036767469529423e-08,4.274147125116201e-07
1882,2.4624924765959122e-08,3.913366599661572e-07
1883,1.9589950550624735e-08,3.9685449326753997e-07
1884,2.178559999066465e-08,4.192077440734465e-07
1885,2.7716233141905633e-08,3.777142492111807e-07
1886,1.677900607344185e-08,3.76236930499374e-07
1887,2.1545451422966266e-08,3.623553115339462e-07
1888,1.6485597775783845e-08,4.6413298537828496e-07
1889,2.7566601890072207e-08,3.3455831172091166e-07
1890,1.769684393471138e-08,3.532814378814919e-07
1891,2.039750490734349e-08,3.3592139914162544e-07
1892,2.1939793759528925e-08,3.359922757795175e-07
1893,6.220000881018706e-08,3.565723165621648e-07
1894,2.7726772655611853e-08,3.5162588574166875e-07
1895,2.1667012406467734e-08,3.544964082280444e-07
1896,4.304831285883992e-08,3.3907915586439685e-07
1897,2.5054868624252435e-08,3.5659486119499206e-07
1898,1.923840697859447e-08,3.321454276061786e-07
1899,1.6029977345510815e-08,3.1230818997585175e-07
1900,1.8687791869531623e-08,3.213261807744061e-07
1901,1.5089594740391732e-08,3.1296939173586225e-07
1902,1.964113566232939e-08,3.3046209946263616e-07
1903,2.6461078883599498e-08,3.0727253097495577e-07
1904,2.579820090886642e-08,3.0796601269145185e-07
1905,2.477164318115399e-08,2.859060628246368e-07
1906,4.629766126029722e-08,3.806696433628076e-07
1907,2.9314207394826042e-08,3.5125620634346433e-07
1908,3.0941750717161653e-08,4.1157439589767364e-07
1909,3.630649092478677e-08,3.311592173815825e-07
1910,2.4583093671814993e-08,2.757581882839588e-07
1911,2.1813534423209546e-08,3.1124187849229656e-07
1912,2.9172759097306766e-08,4.068557970526854e-07
1913,2.969674284258872e-08,3.0174010667849416e-07
1914,2.7456650120161186e-08,3.4019459160816723e-07
1915,3.534228543156104e-08,3.216147947959769e-07
1916,2.966614820465452e-08,3.1204392136885417e-07
1917,2.4126132980306636e-08,3.78341646012359e-07
1918,2.756730221875614e-08,3.3999674631246535e-07
1919,3.314825314237879e-08,3.9501668780417276e-07
1920,2.2716694747515476e-08,3.4983711039160426e-07
1921,3.7106463346425755e-08,3.9756924152811735e-07
1922,3.6889676535700744e-08,3.7184796131128905e-07
1923,3.3971033097657255e-08,4.256995298490551e-07
1924,1.933743609683347e-08,5.105083360490426e-07
1925,5.389107027298223e-08,4.069325871824958e-07
1926,5.015762494231524e-08,3.8677100366868444e-07
1927,5.6861045205636174e-08,4.5377346324926293e-07
1928,6.398583118905066e-08,4.193357128201569e-07
1929,2.1166771890790415e-08,4.077388675582938e-07
1930,2.835972989778668e-08,3.676261126628333e-07
1931,3.649714130915527e-08,3.5698765898928286e-07
1932,4.6030052880396966e-08,4.1755835500367766e-07
1933,5.391211344019098e-08,3.3264919530040515e-07
1934,6.949316322391041e-08,3.6543819348366924e-07
1935,3.4708023122220766e-08,4.0213434981950513e-07
1936,7.517323252770325e-08,3.8435345572906954e-07
1937,6.29555889641864e-08,3.336646310359015e-07
1938,3.630259959308546e-08,4.40817280455974e-07
1939,6.72938211820906e-08,3.991747306031357e-07
1940,1.2678914629304927e-07,3.676885245162964e-07
1941,8.854507527189526e-08,4.161618609721529e-07
1942,1.0923162463427616e-07,4.2175544034961376e-07
1943,4.645176421291808e-08,4.964532269724486e-07
1944,1.1888788264968753e-07,4.851911157288669e-07
1945,4.1391577276783664e-08,4.117372549572451e-07
1946,4.315542145860718e-08,4.371226669519501e-07
1947,4.1723048349595615e-08,6.091565065702298e-07
1948,5.979538308942267e-08,4.664039998658609e-07
1949,6.479225422850732e-08,6.057094372735605e-07
1950,4.4668517329427004e-08,4.4881224425807886e-07
1951,4.904244754744269e-08,4.2432379210310955e-07
1952,4.217921489857446e-08,4.0070255380442177e-07
1953,5.063698715890297e-08,4.891317724187161e-07
1954,6.547599129547166e-08,4.4171863677888723e-07
1955,9.10403965548312e-08,3.979497780193242e-07
1956,3.488456634670456e-08,4.011725209807082e-07
1957,3.8874164776103726e-08,3.4103246804306764e-07
1958,5.707847910985109e-08,4.6738176884275617e-07
1959,5.1154935065689244e-08,3.821118781388577e-07
1960,4.706166573109627e-08,3.5573082612927465e-07
1961,4.029932254567825e-08,3.828435790609319e-07
1962,4.566208766654256e-08,3.4753919919694454e-07
1963,5.3668242627757934e-08,4.073613482091787e-07
1964,5.293052529609099e-08,3.796396361721577e-07
1965,7.496699661047046e-08,4.1696970320970195e-07
