year,ces_DET airs_NOUN,ces_DET fers_NOUN
1800,4.181738866293472e-07,3.898763836218677e-07
1801,4.238504889286787e-07,2.6907363093187087e-07
1802,3.6700578220916213e-07,2.3497321421928064e-07
1803,4.0567054426787763e-07,2.2233867191800982e-07
1804,7.786330371573058e-07,2.1257918625394723e-07
1805,6.02690079176682e-07,2.6438762557035034e-07
1806,7.405889590472725e-07,2.2765186713513685e-07
1807,3.3024679169102455e-07,1.9074599322266295e-07
1808,3.3991110370834576e-07,2.2887346950994925e-07
1809,3.998484032763372e-07,2.5527044655859754e-07
1810,4.5632472378542843e-07,1.4508786350120317e-07
1811,4.061464267124393e-07,4.5127381298470937e-07
1812,6.027890364634914e-07,8.028297031614784e-07
1813,6.039057396378666e-07,2.703197119480194e-07
1814,7.457624633389059e-07,4.1850805843068883e-07
1815,2.643279088943018e-07,9.979726867115346e-08
1816,3.036061109185084e-07,1.6686748161021114e-07
1817,4.110145797042719e-07,2.5377035939300185e-07
1818,3.9339886015454795e-07,3.659801386390882e-07
1819,4.5958660876976865e-07,2.8361876758253857e-07
1820,5.541646501683317e-07,3.4294130912826404e-07
1821,5.216727174683911e-07,1.3806083387635226e-07
1822,4.4513735986129177e-07,2.035200026284656e-07
1823,3.014219576158439e-07,2.4706717027811465e-07
1824,3.7558162802042716e-07,2.9979160487414447e-07
1825,5.151184421237076e-07,2.2013608003135232e-07
1826,3.8138572833190665e-07,2.20199616762784e-07
1827,2.7283126868837826e-07,2.719095597569776e-07
1828,3.6689204740980585e-07,2.7241735267580225e-07
1829,3.7379047057584103e-07,1.7146352249142183e-07
1830,5.89681221185856e-07,2.8075087854517733e-07
1831,2.806417143119688e-07,2.915555583626883e-07
1832,4.4784197683611637e-07,2.5301042683167907e-07
1833,5.965568661281395e-07,2.0155514235398186e-07
1834,3.2857548859510644e-07,2.1749457346231793e-07
1835,4.363901808801529e-07,2.6168284250616125e-07
1836,3.790502951517283e-07,2.439632211803655e-07
1837,2.845777480331435e-07,1.982998867333663e-07
1838,3.1118958787601514e-07,2.2281931322254422e-07
1839,4.1809022022221143e-07,2.663752098897021e-07
1840,3.40141363963653e-07,2.426851395398444e-07
1841,3.6918153512033314e-07,1.6115576784159202e-07
1842,3.481589700982113e-07,1.22761248277925e-07
1843,3.691819294715515e-07,2.8766658033418935e-07
1844,3.9956725217393796e-07,1.8715994087870058e-07
1845,3.7499130378648715e-07,2.516682862108155e-07
1846,3.4424467898475086e-07,2.962377756432488e-07
1847,2.998632275819091e-07,2.5024558425457144e-07
1848,3.041093847855336e-07,2.0273958867278452e-07
1849,3.578010066007664e-07,1.9943008311429367e-07
1850,2.966791328162799e-07,2.145322675062289e-07
1851,2.7281125092315506e-07,2.0122248756138106e-07
1852,5.546984809257083e-07,2.2070748428859588e-07
1853,3.702597801691354e-07,2.430576238054982e-07
1854,5.268403597824545e-07,2.202961706387896e-07
1855,3.5184992697168127e-07,2.170537278800566e-07
1856,4.498977546063543e-07,2.0708757553222767e-07
1857,4.266438917710502e-07,2.7092375276538405e-07
1858,3.4402541970735e-07,1.977045087642182e-07
1859,5.356966497060967e-07,2.7395893198445265e-07
1860,3.712096017238764e-07,2.4991424751874547e-07
1861,4.456585642742539e-07,2.136331573865391e-07
1862,3.194216411372963e-07,3.2393960580634484e-07
1863,3.041724134789092e-07,2.407407215798685e-07
1864,3.490561972796513e-07,2.7953263526114824e-07
1865,4.2079188133925527e-07,2.6923149576418837e-07
1866,3.649209681100274e-07,2.9193677164585097e-07
1867,3.3532926302370925e-07,2.853453224815894e-07
