year,quelques_DET oies_NOUN,quelques_DET foies_NOUN
1800,5.0306631749208464e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,4.4857802805609026e-08,1.950339223455444e-09
1804,2.4718509905596875e-08,0.0
1805,5.4014676953428875e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,3.852325747288887e-08,0.0
1809,3.162642769893864e-08,0.0
1810,1.2870697219113936e-07,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,2.5881675469463516e-08
1814,0.0,1.8880061958270744e-08
1815,4.315557688983063e-08,8.091670444798638e-09
1816,1.8540831092650478e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,3.695565098382758e-08,0.0
1819,1.035105001712111e-09,0.0
1820,3.5599443393152796e-09,4.746592452420373e-09
1821,9.861488514673056e-09,0.0
1822,1.804610860745015e-08,0.0
1823,8.894418535021487e-09,0.0
1824,1.431589158329416e-08,2.5263338088166165e-09
1825,3.522177216552791e-09,8.805443041381977e-10
1826,1.8496766784892316e-08,0.0
1827,1.013900030599757e-08,9.217273055917019e-10
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,9.430493552731178e-09,0.0
1830,9.39315203396518e-09,1.0436835395921662e-08
1831,3.1182412207897414e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,2.0850531967653296e-08,2.3167257001688313e-09
1834,1.8669061851994684e-08,9.334530925997342e-10
1835,7.563087933704082e-09,0.0
1836,1.949017514046858e-08,6.72075017860152e-09
1837,1.7394727436226276e-08,6.957890930081589e-10
1838,3.787297142565649e-09,0.0
1839,4.894032734625853e-09,1.1885507689157748e-08
1840,4.458782232319436e-09,0.0
1841,4.494383976094696e-09,6.420548537278137e-10
1842,6.708265054555795e-10,1.341653010911159e-09
1843,1.594865972620596e-08,5.906911071384968e-10
1844,4.9397050894128824e-09,0.0
1845,1.562463802784464e-08,8.37034175305007e-09
1846,8.196302303531411e-09,5.854501328173001e-10
1847,1.0786447290911383e-08,0.0
1848,1.6090443422100975e-09,0.0
1849,4.189707469848258e-09,0.0
1850,1.8330290174617403e-08,0.0
1851,9.029214709244116e-09,0.0
1852,1.9531636308300904e-09,0.0
1853,2.388772735173461e-09,3.5831591027601917e-09
1854,8.832629572186335e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,3.1063135952358323e-09,1.4496129630003907e-08
1857,0.0,4.881509085841174e-10
1858,8.80861672492017e-09,9.787352039936081e-10
1859,3.055304009791371e-09,9.165912473463322e-09
1860,1.327383358784573e-08,9.154367819341758e-10
1861,1.8863854922557266e-09,4.715963730639317e-10
1862,4.066187636597718e-09,4.517986262886353e-10
1863,6.493007298491449e-09,0.0
1864,1.102787461348953e-08,6.712618905169165e-09
1865,0.0,3.294791106611683e-09
1866,8.758103242634263e-09,0.0
1867,5.338092634588065e-09,0.0
1868,2.3711396401893126e-08,5.9278488784286765e-09
1869,9.767038400276817e-09,9.767038289254515e-10
