year,rides_NOUN fines_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,3.1271653710973624e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,9.217273055917019e-10
1828,8.255071293206129e-09
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,7.392825018825988e-09
1837,2.0873671680021744e-09
1838,5.680945491803868e-09
1839,9.788065469251706e-09
1840,0.0
1841,6.420548537278137e-10
1842,0.0
1843,1.7720733769266417e-09
1844,1.097712254427563e-09
1845,1.2834524554250493e-08
1846,9.367202125076801e-09
1847,3.775256551818984e-09
1848,1.045878850192139e-08
1849,8.379414495607307e-09
1850,6.788996032014438e-10
1851,0.0
1852,8.463708844885787e-09
1853,1.5527023222716707e-08
1854,6.234797567117312e-09
1855,9.021793090369101e-09
1856,1.5531567143511893e-09
1857,9.763017949637742e-09
1858,9.787352261980686e-09
1859,7.638259802433822e-09
1860,5.034902272882391e-09
1861,1.1789909493131745e-08
1862,4.517986262886353e-10
1863,5.9935452156878455e-09
1864,3.835782358407869e-09
1865,2.8241067262513297e-09
1866,4.865612801552288e-09
1867,1.1161466417775046e-08
1868,1.975949626142892e-09
1869,1.2697149998075474e-08
1870,0.0
1871,6.37270636261178e-09
1872,7.861540751719076e-09
1873,1.0176207432266438e-08
1874,1.3741600746186577e-08
1875,5.721527251978387e-09
1876,7.859819461941697e-09
1877,5.566334504436554e-09
1878,6.039088784604019e-09
1879,2.2604503158163425e-08
1880,5.776061406947974e-09
1881,3.4862537301449947e-09
1882,7.986462158271479e-09
1883,3.791603475633565e-09
1884,1.1883054540362536e-08
1885,1.2891271383708158e-09
1886,3.872078213618124e-09
1887,7.834709769838355e-09
1888,5.07249175996094e-09
1889,1.8795409673089125e-09
1890,6.554386366985909e-09
1891,8.92390783491237e-09
1892,5.014809900671935e-09
1893,5.542574843531156e-09
1894,2.142523314319078e-08
1895,4.213029924926559e-09
1896,6.486732040400511e-09
1897,3.4960281336537946e-09
1898,1.6975064687230201e-09
1899,1.2713430308508578e-08
1900,4.671947717582725e-09
1901,2.4031576728589243e-08
1902,7.856454153909453e-09
1903,1.1880484152015924e-08
1904,1.8811189050893518e-08
1905,6.192911072844254e-09
1906,2.0576738091193647e-09
1907,8.228549397415463e-09
1908,2.0136695866312948e-08
1909,1.265226234892225e-08
1910,1.5498036631811374e-08
1911,4.788336838146279e-09
1912,1.3544495303108306e-08
1913,4.772690687104841e-09
1914,6.027069510139427e-09
1915,1.1780762143587253e-08
1916,1.4283700444650549e-08
