year,quels_PRON ont_VERB,quels_DET fonds_NOUN
1800,5.973912564627426e-07,8.803660467293639e-08
1801,8.000773732419475e-07,2.1430643926123594e-08
1802,5.102275508761522e-07,2.2378401354217203e-08
1803,4.5637936807452206e-07,5.851017670366332e-09
1804,5.413353534322596e-07,6.921182471586462e-08
1805,4.0368863096773566e-07,7.107194099909009e-08
1806,6.426122070024576e-07,2.0171683878800195e-08
1807,5.01064093327841e-07,5.4092147649953404e-08
1808,4.940041264944739e-07,5.891792476120372e-08
1809,4.7439640837865227e-07,4.969867051229926e-08
1810,6.996979351470145e-07,5.3822915901946544e-08
1811,4.613021360455605e-07,5.264861258069686e-08
1812,5.147711874542438e-07,1.8670458068470452e-08
1813,4.6011867027573317e-07,3.4508900625951355e-08
1814,6.38775475181319e-07,6.608021863030444e-08
1815,4.693168875746778e-07,1.0788894222457657e-08
1816,5.029200593753558e-07,5.0987285504788815e-08
1817,4.7017577031738256e-07,5.604744135467854e-08
1818,5.722165212773689e-07,5.0068943213688044e-08
1819,5.154822915187651e-07,5.900098543065724e-08
1820,5.363649577816432e-07,3.2039500830194356e-08
1821,6.429690273535016e-07,5.42381863866126e-08
1822,5.734652290811937e-07,2.90742860897808e-08
1823,6.937646332971781e-07,9.388552835165598e-08
1824,5.498986723750932e-07,2.105278174013847e-08
1825,5.071935262890293e-07,5.19521154984659e-08
1826,5.205518789352936e-07,4.492072036565986e-08
1827,6.45209127014823e-07,3.871254738996299e-08
1828,5.118144059679253e-07,2.5682442839070063e-08
1829,6.146967166387185e-07,6.429882210001736e-08
1830,6.710885571692415e-07,7.097048504434156e-08
1831,5.753154965759677e-07,4.053713453799901e-08
1832,5.006088770187489e-07,4.1942906259251345e-08
1833,4.587117032883725e-07,3.243415902520752e-08
1834,5.992768663531933e-07,6.067445035284891e-08
1835,6.753837240580651e-07,4.764745398233572e-08
1836,5.746241313886458e-07,6.115882911217341e-08
1837,6.679575363932599e-07,4.383471452484855e-08
1838,5.863998566724149e-07,4.79724295843198e-08
1839,6.348259660171607e-07,7.830452108947838e-08
1840,6.427015932786162e-07,5.350538323511955e-08
1841,6.29213772640469e-07,2.247191943638427e-08
1842,5.661775688281523e-07,3.4212151334145346e-08
1843,7.448614951499621e-07,4.37111435935833e-08
1844,5.274507515196092e-07,3.51267914755482e-08
1845,7.070148839716239e-07,3.682950611150204e-08
1846,6.949293265279266e-07,6.322861656471446e-08
1847,7.199953699910111e-07,7.550513281273652e-08
1848,7.771684238377929e-07,1.1343762501558885e-07
1849,9.158700464695357e-07,3.6869423958307834e-08
1850,7.05376706378047e-07,8.961474584623375e-08
1851,6.642922016908415e-07,5.0305623222612894e-08
1852,6.158975978109993e-07,6.054807144550978e-08
1853,5.965959957165978e-07,2.388772735173461e-08
1854,5.964622857845825e-07,3.4291385730966795e-08
