year,gros_ADJ fils_NOUN
1800,1.8864987794131594e-08
1801,1.4287095950749062e-08
1802,1.7902721083373763e-08
1803,9.751696339321825e-09
1804,4.943701981119375e-08
1805,2.842877755426798e-08
1806,1.0950342499427279e-07
1807,5.97860605466849e-08
1808,1.3596443970698147e-08
1809,7.680704072754452e-08
1810,5.3822915901946544e-08
1811,3.259199843341776e-08
1812,2.0004061695999553e-07
1813,1.1502966401621961e-07
1814,6.293354282149721e-09
1815,6.74305908887618e-08
1816,1.6223226673162117e-07
1817,7.005930380277192e-08
1818,5.602953234706831e-08
1819,2.7947834824182394e-08
1820,4.034603762193001e-08
1821,6.01550809165019e-08
1822,2.4061478143266868e-08
1823,2.8659792761231984e-08
1824,6.905312321947576e-08
1825,7.396572243578703e-08
1826,4.227832306469281e-08
1827,6.083400155842966e-08
1828,7.062672102708945e-08
1829,4.029392641768936e-08
1830,3.652892677230568e-08
1831,4.2096257146795324e-08
1832,2.4353944638733083e-08
1833,3.7067612312924325e-08
1834,3.827157635249989e-08
1835,6.277362984974388e-08
1836,5.981467721127842e-08
1837,5.0096815584765864e-08
1838,1.0730675015224733e-08
1839,7.271134450093086e-08
1840,6.11490094115652e-08
1841,3.9165344301039795e-08
1842,4.628702754416736e-08
1843,6.674809327478215e-08
1844,6.970472554712615e-08
1845,3.682950477923441e-08
1846,6.26431639894065e-08
1847,6.633665350364026e-08
1848,3.539897619475596e-08
1849,4.692472543865733e-08
1850,6.44954596396019e-08
1851,6.255955753431408e-08
1852,1.23049304079359e-07
1853,5.6136158832487126e-08
1854,1.0651112314352673e-07
1855,8.862585332281014e-08
1856,1.9155599773057475e-07
1857,1.5230308131330972e-07
1858,1.2038443036876956e-07
1859,1.2068450372382244e-07
1860,7.918528410755243e-08
1861,1.400641208570974e-07
1862,1.2514822603226783e-07
1863,6.592899381985262e-08
1864,6.712619260440533e-08
1865,9.507825282639715e-08
1866,7.833636905818508e-08
1867,1.392756843188181e-07
1868,1.5017216470347705e-07
1869,6.885762138253426e-08
1870,9.633201614178688e-08
1871,9.346636176132961e-08
1872,7.801067880564005e-08
1873,1.2989629416537696e-07
1874,8.424198938428162e-08
1875,8.067353007845668e-08
1876,1.0943286810061181e-07
1877,1.3606594917447978e-07
1878,1.1595050231072435e-07
1879,1.5028940303363214e-07
1880,1.0846160214406098e-07
1881,1.3875290427733944e-07
1882,1.5174278455987178e-07
1883,1.4028932993070953e-07
1884,1.3269410636951307e-07
1885,1.2955727868302347e-07
1886,1.3100531404131033e-07
1887,1.6191733387405094e-07
1888,1.642219238373599e-07
1889,1.1089291862553807e-07
1890,1.3764211193034726e-07
1891,1.7019167941612068e-07
1892,1.4542949222651202e-07
1893,1.8660001943615612e-07
1894,1.3989416913773312e-07
1895,1.1555740120350322e-07
1896,1.1735087923625542e-07
1897,1.2061297671728255e-07
1898,1.2165462426327878e-07
1899,1.46480825691242e-07
1900,1.0537838068813699e-07
1901,1.1401027699697863e-07
1902,1.7480610381426231e-07
1903,1.0746438316999729e-07
1904,8.760638792182363e-08
1905,9.082935614745935e-08
1906,9.979717618957551e-08
1907,1.1725683241037288e-07
1908,8.005564189339509e-08
1909,7.536347368386487e-08
1910,8.60408264635737e-08
1911,9.523469657324313e-08
1912,7.397378176676739e-08
1913,1.537867058143405e-07
1914,1.372832514334732e-07
1915,9.54241694550717e-08
1916,1.0767712810277885e-07
1917,1.0198774735847849e-07
1918,1.0222874635701373e-07
1919,5.064316571656846e-08
1920,7.7993985936331e-08
1921,5.982470696608289e-08
1922,5.385892920539703e-08
1923,7.643482291541659e-08
1924,7.21930950575711e-08
1925,4.3992713472107425e-08
1926,4.458455471478828e-08
1927,7.246996025500607e-08
1928,7.084145348112969e-08
1929,4.121950425428622e-08
1930,4.411513399027456e-08
1931,5.2464642408267537e-08
1932,5.5893636607962094e-08
1933,4.588265012372972e-08
1934,2.995395043114968e-08
1935,4.4282650435434334e-08
1936,4.243650053581405e-08
1937,3.903246792447135e-08
1938,2.852347158466273e-08
1939,3.364691281149135e-08
1940,5.0715657229361e-08
1941,4.132103725851266e-08
1942,3.6410540360520827e-08
1943,3.4838823381733164e-08
1944,8.032965581605822e-08
1945,5.010559434026618e-08
1946,3.6194869323935563e-08
1947,4.172304812755101e-08
1948,2.717971980814582e-08
1949,4.0249735766551e-08
1950,4.2541444145172136e-08
1951,1.204738424576135e-07
1952,4.639713679921442e-08
1953,3.016671712430252e-08
1954,1.9545073115523337e-08
1955,3.00339455527876e-08
1956,1.6570168570595456e-08
1957,3.0922631566454584e-08
1958,2.1507833736222892e-08
1959,2.0927018784533402e-08
1960,3.598833331341922e-08
1961,1.667558180429296e-08
1962,3.170978291056059e-08
1963,4.590897695333496e-08
1964,4.319617546988397e-08
1965,2.134096988015699e-08
1966,3.600398557068729e-08
1967,3.993571773275306e-08
1968,2.8295919329845987e-08
1969,3.224647968091965e-08
1970,2.4833115785938276e-08
