year,obligations_NOUN in_ADJ
1800,9.432493897065797e-09
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,3.1271653710973624e-08
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,2.3732962262101864e-09
1821,8.875339574387908e-09
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,1.6842225392110777e-09
1825,0.0
1826,0.0
1827,1.1060727445055818e-08
1828,2.7516904310687096e-09
1829,8.573175946935407e-09
1830,4.174734336004349e-09
1831,2.182768810143898e-08
1832,4.058990921151917e-09
1833,9.266902800675325e-09
1834,0.0
1835,3.781543966852041e-09
1836,6.720750067579218e-10
1837,2.0873671680021744e-09
1838,6.312161904276081e-10
1839,4.894032734625853e-09
1840,6.369688665408546e-10
1841,1.2841097074556274e-09
1842,1.341653010911159e-09
1843,0.0
1844,0.0
1845,0.0
1846,2.9272506640865004e-09
1847,1.0786447290911383e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,0.0
1851,5.8044946626978344e-09
1852,7.812654523320361e-09
1853,1.1943863675867306e-09
1854,5.195664454227256e-10
1855,7.429711956774554e-09
1856,5.177189232874468e-10
1857,2.4407544874094356e-09
1858,4.893676019968041e-10
1859,1.5276520048956854e-09
1860,0.0
1861,8.017138286575687e-09
1862,4.517986262886353e-10
1863,2.9967726078439227e-09
1864,1.9178911792039344e-09
1865,9.41368871743009e-10
1866,4.865612912574591e-10
1867,9.7056229719783e-10
1868,4.93987406535723e-10
1869,9.767038289254515e-10
1870,6.880858549607183e-09
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,7.183205141814142e-09
1874,1.7923826867161097e-09
1875,2.2886108563824337e-09
1876,0.0
1877,6.184815992682502e-10
1878,2.4156354694326865e-09
1879,3.665595160740054e-09
1880,3.8507077526617195e-09
1881,5.5780060570498335e-09
1882,2.6621540527571597e-09
1883,9.479008689083912e-09
1884,5.281357573494461e-09
1885,2.5782542767416317e-09
1886,2.5813855497602844e-09
1887,3.264462256069578e-09
1888,1.268122939990235e-09
1889,0.0
1890,1.9663159989136147e-09
1891,0.0
1892,1.2537024751679837e-09
1893,3.079208221734575e-09
1894,2.520615716150587e-09
1895,2.4074457982692365e-09
1896,3.5382172747233653e-09
1897,5.826713556089658e-10
1898,2.8291773368493978e-09
1899,1.6582735185011188e-09
1900,6.2292638824956725e-09
1901,0.0
1902,1.4730852093691738e-09
1903,1.0800440541913758e-09
1904,5.374625189347171e-10
1905,0.0
1906,4.115347618238729e-09
1907,2.057137349353866e-09
1908,2.9468334439286537e-09
1909,5.500983557560346e-10
1910,2.137660271017694e-09
1911,2.6601871816467337e-09
1912,5.209421227725386e-10
1913,2.6514948014977335e-09
1914,6.696743715117748e-10
1915,4.712304768617059e-09
1916,1.0987462051303964e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.8415696745321952e-09
1920,1.514446346106979e-09
1921,2.27182422873895e-09
1922,1.4755870969551665e-09
1923,1.0615948120573648e-09
1924,1.289162443462999e-09
1925,9.898360353588487e-09
1926,5.57306911730393e-09
1927,6.689534814974252e-09
1928,9.14083297942625e-09
1929,1.1140406153131721e-08
1930,5.2518016602221e-09
1931,3.4216069977333063e-09
1932,3.2878609834696704e-09
1933,1.1470662197865522e-09
1934,0.0
1935,1.196828414151696e-09
1936,7.274828739411987e-09
1937,1.3850230295986421e-08
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,1.4757513433494296e-08
1942,3.034211770724937e-09
1943,0.0
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,3.9268033269479474e-09
1950,1.0635361480382244e-09
1951,0.0
1952,4.217921456550755e-09
1953,0.0
