year,plumes_NOUN fines_ADJ
1800,1.226224086714467e-07
1801,4.524246932646747e-08
1802,5.370816325012129e-08
1803,5.460949736857401e-08
1804,2.4718509905596875e-08
1805,1.7057265822018053e-08
1806,9.509508203109363e-08
1807,0.0
1808,2.4926814390369145e-08
1809,0.0
1810,2.8081521108447305e-08
1811,4.7634459932055506e-08
1812,0.0
1813,1.4378708446116661e-08
1814,6.293354282149721e-09
1815,0.0
1816,3.244645441213834e-08
1817,2.3353100786493997e-08
1818,7.74876554032744e-08
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,2.465372084259343e-08
1822,1.0025615893027862e-08
1823,1.2847492847356534e-08
1824,8.421112696055388e-10
1825,7.92489873724378e-09
1826,2.906634755106552e-08
1827,9.217273055917019e-10
1828,3.393751413227619e-08
1829,7.715858174606183e-09
1830,2.6092090266160994e-08
1831,1.091384405071949e-08
1832,1.0823975604701275e-08
1833,2.3167257001688313e-09
1834,7.467624740797874e-09
1835,3.857174846189082e-08
1836,9.409049706032846e-09
1837,1.8090515752078318e-08
1838,1.2624323808552163e-08
1839,1.1885507689157748e-08
1840,1.9109066329292546e-08
1841,9.630822805917205e-09
1842,1.0062397137744483e-08
1843,1.1223130869097986e-08
1844,1.2074834465636286e-08
1845,1.1160455670733427e-08
1846,5.854501328173001e-09
1847,5.3932236454556914e-09
1848,4.02261068899179e-09
1849,2.513824481908955e-09
1850,5.431196825611551e-09
1851,1.2898877521649865e-09
1852,8.463708844885787e-09
1853,2.8665272822081533e-08
1854,2.5458755104068587e-08
1855,1.4328730202350926e-08
1856,5.694908100650764e-09
1857,4.393358121745905e-09
1858,2.4468379322684086e-08
1859,2.189634606963864e-08
1860,1.5562426014525954e-08
1861,3.772770984511453e-09
1862,1.7620147119146168e-08
1863,4.495158911765884e-09
1864,7.671564716815737e-09
1865,8.943004559114343e-09
1866,4.865612801552288e-09
1867,1.5043715606566366e-08
1868,1.7289560005906424e-08
1869,8.30198221279943e-09
1870,2.2936195165357276e-09
1871,2.1242354542039266e-09
1872,1.1489944995446422e-08
1873,1.1972009161809183e-08
1874,1.0156835372754358e-08
1875,8.582290766945277e-09
1876,7.255217759905008e-09
1877,7.421779191219002e-09
1878,9.058632732816818e-09
1879,4.887460103297769e-09
1880,1.4761046607247863e-08
1881,1.3247764274471052e-08
1882,2.3293848405714357e-08
1883,8.847074184359371e-09
1884,1.7824581810543805e-08
1885,1.160214413431504e-08
1886,1.677900662855336e-08
1887,5.876032105334161e-09
1888,8.876860135842435e-09
1889,1.6915869593958632e-08
1890,7.2098250147867304e-09
1891,8.286486163910922e-09
1892,1.9432388143059143e-08
1893,2.7097032173628577e-08
1894,1.1972924873759894e-08
1895,1.023164486468886e-08
1896,4.1279202278587945e-09
1897,3.4960281336537946e-09
1898,2.26334195829736e-09
1899,7.738609753005221e-09
1900,1.972600127686519e-08
1901,4.470991132876634e-09
1902,4.419255628107521e-09
1903,8.100330184390714e-09
1904,1.1286712897629059e-08
1905,5.676835002077496e-09
1906,5.144184633820714e-09
1907,8.228549397415463e-09
1908,2.9468334439286537e-09
1909,5.500983557560346e-10
1910,6.412980702030779e-09
1911,9.044636151145369e-09
1912,4.688478938419394e-09
1913,7.954484682048957e-09
1914,8.036092680185902e-09
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,2.1932848870420685e-09
1918,4.594550517822427e-09
1919,9.207848372660976e-10
1920,6.815008557481406e-09
1921,9.844571380313027e-09
1922,8.115729421831475e-09
1923,6.369568872344189e-09
1924,1.933743654092268e-08
1925,1.4297631523163545e-08
1926,6.687683296036084e-09
1927,3.3447675740205796e-09
1928,5.713020723163709e-09
1929,6.684243825105796e-09
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,1.0959536611565568e-09
1933,0.0
1934,2.3963160344919743e-09
1935,9.574627313213568e-09
1936,9.699771652549316e-09
