year,quels_DET fils_NOUN
1800,1.5720821977538435e-08
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,1.4378708446116661e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,0.0
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,1.2030739071633434e-08
1823,1.9765373782121287e-09
1824,5.052667617633233e-09
1825,8.805443041381977e-10
1826,7.927186018719112e-09
1827,1.2904182611350734e-08
1828,9.172301140836225e-09
1829,2.571952872898464e-09
1830,1.3567886369969528e-08
1831,0.0
1832,8.117981842303834e-09
1833,4.6334514003376626e-09
1834,2.6136685704614138e-08
1835,0.0
1836,3.36037508930076e-09
1837,9.045257765016856e-09
1838,6.312161904276081e-10
1839,5.5931801412612e-09
1840,1.910906599622564e-09
1841,3.852329122366882e-09
1842,3.3541325272778977e-09
1843,4.1348376944583265e-09
1844,1.2623690981428126e-08
1845,1.2834524554250493e-08
1846,3.5127007969038004e-09
1847,3.775256551818984e-09
1848,8.045221711050488e-10
1849,2.76520690789539e-08
1850,1.425689166723032e-08
1851,9.674158363282004e-09
1852,3.2552727180501506e-09
1853,8.957897534855874e-09
1854,1.7665258589261157e-08
1855,2.812676669350367e-08
1856,5.694908100650764e-09
1857,8.786716465536415e-09
1858,3.4255731584664773e-09
1859,7.129042689513199e-09
1860,5.0349023839046936e-09
1861,1.3204698667834691e-08
1862,6.776979422085105e-09
1863,2.4973103585068657e-09
1864,9.109982990196386e-09
1865,8.001635798393636e-09
1866,1.9462451650298362e-09
1867,1.0190904120577216e-08
1868,6.421836395986702e-09
1869,1.51389094593668e-08
1870,1.2614907340946502e-08
1871,2.0180236148803488e-08
1872,5.442605255367994e-09
1873,4.190203295451056e-09
1874,1.1351757756017378e-08
1875,5.149374426860476e-09
1876,1.209202959984168e-08
1877,1.1132669008873108e-08
1878,3.6234530931267273e-09
1879,1.5273313280772527e-08
1880,9.626769603698904e-09
1881,2.091752326904839e-09
1882,5.989846840748214e-09
1883,8.21514056781325e-09
1884,2.6406787867472303e-09
1885,9.023889857573408e-09
1886,6.453463874400711e-09
1887,7.83470954779375e-09
1888,1.2047167929907232e-08
1889,5.012109283164534e-09
1890,1.3108772956016423e-09
1891,7.649063604731055e-09
1892,4.387958441043338e-09
1893,1.3548516308858893e-08
1894,1.0712616793639995e-08
1895,1.1435367319734269e-08
1896,1.5921977736255144e-08
1897,1.3984112534615178e-08
1898,1.1316709680464498e-08
1899,1.3818945987509323e-08
1900,1.661137005726232e-08
1901,6.706486588292648e-09
1902,7.365425602756659e-09
1903,4.320176216765503e-09
1904,2.6873125946735854e-09
1905,1.5482276793932215e-08
1906,1.6461390472954918e-08
1907,1.5942814179936704e-08
1908,1.1296195090437777e-08
1909,1.3752458727367411e-08
1910,1.6566866656297918e-08
1911,1.0108710757350536e-08
1912,5.730363183964471e-09
1913,1.1666577037772186e-08
1914,1.4063161579702665e-08
1915,7.068456930880984e-09
1916,1.4283700444650549e-08
1917,8.773139548168274e-09
1918,1.6080927700556913e-08
1919,9.207848483683279e-09
1920,1.2872794385998532e-08
1921,3.0290989716519334e-09
1922,1.770704471937279e-08
1923,9.554353308516284e-09
1924,6.445812328337297e-09
1925,1.3197813286680571e-08
1926,1.4489980437737415e-08
1927,7.804457524684949e-09
1928,1.4853853924634564e-08
1929,3.342121912552898e-09
1930,4.201441528017824e-09
1931,0.0
1932,7.6716757391182e-09
1933,8.02946331646126e-09
1934,1.1981580172459871e-09
1935,2.2739739868882225e-08
1936,1.2124714121597435e-08
1937,5.0364472592434595e-09
1938,1.4261735792331365e-08
1939,1.070583532936098e-08
1940,3.803674331059881e-08
1941,1.1806010391524069e-08
1942,1.8205270180260413e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,1.0728783861324587e-08
1948,6.523132700664291e-09
1949,1.668891336237266e-08
1950,2.0207186812726263e-08
1951,8.529121631184466e-09
1952,1.4762725042416491e-08
1953,5.386913803917537e-09
1954,8.795282280260608e-09
1955,7.508486277174597e-09
1956,8.72114158667614e-09
1957,1.0602045463770082e-08
1958,2.4816730892496253e-09
1959,8.525822714489095e-09
1960,5.536666680683311e-09
1961,8.337791124191085e-09
1962,1.5854891288746842e-08
1963,9.05247421467692e-09
1964,7.909158605823308e-09
1965,7.660860390501512e-09
1966,1.273987182415226e-08
1967,5.423369309198733e-09
1968,8.982831700699023e-09
1969,9.083515606356229e-10
1970,7.817832520240486e-09
1971,8.221435976452085e-09
1972,7.182205497002769e-09
1973,7.718485517393958e-09
1974,7.875800456247362e-09
1975,5.140332159925265e-09
1976,1.1427053858703573e-08
1977,5.289103655048422e-09
1978,1.544553729360132e-08
1979,9.363157138508882e-09
1980,1.1938816379952755e-08
1981,8.855769562110538e-09
1982,3.724501262958313e-09
1983,6.315316047889041e-09
1984,9.278413592994639e-09
1985,5.414002357539971e-09
1986,1.4386764779494854e-08
1987,3.0554083707556856e-09
1988,9.594486094499644e-09
1989,7.683370828459601e-09
1990,5.4486510858708925e-09
1991,4.689172272698272e-09
1992,2.8100714644097025e-08
1993,2.4372512896775334e-08
1994,1.5297286992677073e-08
1995,2.4401029641296645e-08
1996,2.829188883168854e-08
1997,1.965906815115659e-08
1998,1.5258013519314773e-08
1999,1.3710603319339043e-08
2000,1.0603275590881367e-08
2001,2.1029816998918704e-08
2002,1.3143663935011318e-08
2003,1.4167537809584019e-08
2004,1.5416769638676442e-08
2005,1.1259374321781479e-08
2006,1.935408189268628e-08
2007,1.2782334302130494e-08
2008,1.0643599335224962e-08
2009,1.9549589502787512e-08
2010,1.322662068758973e-08
2011,1.2619107092604054e-08
2012,1.7021263509775508e-08
2013,1.3666712650461932e-08
2014,1.2343037703033133e-08
2015,2.2830726198463935e-08
2016,2.0299132597045855e-08
2017,1.4338985110384783e-08
2018,1.4198067166404371e-08
2019,1.581612352197226e-08
