year,personnes_NOUN in_ADJ,personnes_NOUN fines_ADJ
1800,9.432493897065797e-09,0.0
1801,4.7623651688866175e-09,1.4287095950749062e-08
1802,8.951360541686881e-09,6.713520406265161e-09
1803,9.751696339321825e-09,3.900678446910888e-09
1804,1.4831105232815389e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,2.574139479349924e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.401186056071424e-08,0.0
1818,7.152706427149269e-09,5.960588467246453e-09
1819,2.173720581311045e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,7.88919063410276e-09,0.0
1822,1.303330066093622e-08,0.0
1823,7.906149512848515e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,1.2327619813845558e-08,3.522177216552791e-09
1826,1.3211976401805714e-08,0.0
1827,1.1060727445055818e-08,0.0
1828,8.255071293206129e-09,0.0
1829,3.600733933240008e-08,1.714635211591542e-09
1830,1.0436835395921662e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.705993873419743e-09,0.0
1833,4.633451511359965e-09,1.1583628500844156e-09
1834,5.600718555598405e-09,9.334530925997342e-10
1835,6.050470346963266e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,1.461157062010443e-08,0.0
1838,4.418513555037862e-09,2.5248647617104325e-09
1839,9.088918062616358e-09,0.0
1840,1.4013314952876499e-08,0.0
1841,6.420548537278137e-09,6.420548537278137e-10
1842,1.0062397137744483e-08,0.0
1843,1.594865928211675e-08,0.0
1844,9.879410178825765e-09,0.0
1845,9.48638767539478e-09,0.0
1846,1.8148954339380907e-08,5.854501328173001e-10
1847,1.4022381478184798e-08,0.0
1848,7.24069959545659e-09,8.045221711050488e-10
1849,5.02764896381791e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,1.6768540334055615e-08,0.0
1852,2.6042181744401205e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,9.352196184142514e-09,0.0
1855,4.776243400783642e-09,0.0
1856,1.2425253714809514e-08,0.0
1857,2.9289055625270066e-09,4.881509085841174e-10
1858,6.361778659424999e-09,7.829881631948865e-09
1859,4.073738679721828e-09,0.0
1860,6.408057640072684e-09,9.154367819341758e-10
1861,3.3011746669586728e-09,4.715963730639317e-10
1862,5.421583626485926e-09,0.0
1863,3.995696662428827e-09,0.0
1864,7.192092255081661e-09,0.0
1865,9.413688495385486e-09,0.0
1866,1.3623715933164249e-08,0.0
