year,mes_DET hôtes_NOUN,mes_DET fautes_NOUN
1800,3.081281310102213e-07,6.256887292721558e-07
1801,2.5954890148227605e-07,8.50082189529644e-07
1802,1.7902721083373763e-07,9.331793364708574e-07
1803,1.1702035496163887e-07,6.982214308948187e-07
1804,2.546006363512987e-07,7.168367588405999e-07
1805,1.194008660831969e-07,8.613919741939924e-07
1806,2.1900685265308084e-07,6.771922471671132e-07
1807,7.971474502710407e-08,5.750849059182883e-07
1808,4.7587553009265093e-08,8.769706578704017e-07
1809,1.016563739852927e-07,7.454800652340055e-07
1810,3.8612090236256336e-07,1.24728761186077e-06
1811,2.93327994782544e-07,5.064294987811024e-07
1812,2.4271594867286694e-07,5.121039592381749e-07
1813,2.243078540686838e-07,7.505685506448145e-07
1814,3.083743536080874e-07,6.98562331535868e-07
1815,2.2117233200447117e-07,7.147642584470759e-07
1816,2.2248996955909206e-07,7.068691587619469e-07
1817,1.6347170905817165e-07,1.13807442403413e-06
1818,1.8000977952681296e-07,6.818913451667186e-07
1819,1.0765091984499264e-07,6.510810521831445e-07
1820,1.8630375464567805e-07,8.911727231719624e-07
1821,2.2385578546391116e-07,1.0798329768135773e-06
1822,2.1555074170009902e-07,9.123310320546807e-07
1823,4.071666950267172e-07,8.924066463578129e-07
1824,2.012645943239022e-07,1.1006394657897545e-06
1825,1.4705090478628335e-07,9.413018853265953e-07
1826,4.342336197282748e-07,8.931296351377682e-07
1827,2.663791782708813e-07,6.62721924782339e-07
1828,2.8158965292846005e-07,6.888398091930981e-07
1829,3.0691969943319464e-07,6.669931114089422e-07
1830,3.6320189167327044e-07,7.535395241120568e-07
1831,4.443493750727612e-07,7.733238511775653e-07
1832,3.0577730747438636e-07,7.306183658073451e-07
1833,4.737704095703066e-07,7.622027293763267e-07
1834,3.3324274184565184e-07,9.922606727386096e-07
1835,3.1084290696981043e-07,9.990839586748734e-07
1836,4.059332923134207e-07,8.616001831995845e-07
1837,2.539630266085169e-07,6.728280421697264e-07
1838,2.051452554496791e-07,7.404165955904318e-07
1839,2.6497692218185875e-07,8.061171037354598e-07
1840,2.503287692690037e-07,4.809114995119046e-07
1841,2.613163232467741e-07,6.060997623791309e-07
1842,2.1868944166669735e-07,6.003897130568703e-07
1843,3.5854949942404346e-07,5.62337914900013e-07
1844,2.151515952064642e-07,5.966066036755535e-07
1845,2.1539679906368292e-07,6.188473040680265e-07
1846,2.593544117246438e-07,6.018427285425787e-07
1847,1.6017874848728297e-07,5.112776202409464e-07
1848,1.8745366858752277e-07,4.64209298556284e-07
1849,3.988601555704463e-07,4.625437135530319e-07
1850,3.007525108955633e-07,4.2567006364180315e-07
1851,2.5862249231067835e-07,4.6500452555164884e-07
1852,2.819066242665258e-07,7.812654274630404e-07
1853,2.2932218257665227e-07,5.810689494012422e-07
1854,1.8912218280320303e-07,5.283990467397359e-07
1855,2.6746964465473866e-07,5.88539329271498e-07
1856,2.604126088101566e-07,5.813983401381506e-07
1857,3.1241657971747827e-07,6.785297532729828e-07
1858,2.5055620245240107e-07,7.732008393546153e-07
1859,3.2538986616259535e-07,6.28374204225679e-07
1860,3.149102507649104e-07,5.739788857539452e-07
1861,3.2823108497836984e-07,5.833647103159478e-07
1862,2.8192234857726817e-07,6.194159372086006e-07
1863,3.2664819116234867e-07,6.483017944702851e-07
1864,2.838478909694686e-07,6.050946446123362e-07
1865,3.2100679092650353e-07,6.73078754509504e-07
1866,2.700415233647391e-07,5.47868015843278e-07
1867,2.377877645898252e-07,5.037218180348191e-07
1868,2.242702841215305e-07,4.826257020695834e-07
1869,2.656634379150091e-07,6.299739627735335e-07
1870,2.064257529355018e-07,5.69391035654121e-07
1871,3.2819436768249943e-07,3.398776788898772e-07
1872,2.842249440249134e-07,4.825776591665942e-07
1873,2.340527727184849e-07,4.3218953410528727e-07
1874,2.1508592773500368e-07,4.3375661995526116e-07
1875,3.1582830217757873e-07,4.3540821081933245e-07
1876,2.6783844830902126e-07,4.407544764717386e-07
1877,2.3007515359552144e-07,4.780862754572013e-07
1878,1.9204302237341153e-07,5.181537936493896e-07
1879,2.559807299462591e-07,4.0199360462622735e-07
1880,2.4195280090566484e-07,4.1138394779594023e-07
1881,1.8895495301762821e-07,3.569923769930483e-07
1882,2.1496893509720394e-07,4.259446413357182e-07
1883,1.870524322100664e-07,3.583065106838035e-07
1884,2.4558312006206506e-07,3.274441624512292e-07
1885,2.1270597816425152e-07,2.6556019805390463e-07
1886,1.9747599466768406e-07,2.6394666408080525e-07
1887,3.179586265389389e-07,3.3950408506733254e-07
1888,2.3016431427436146e-07,2.7391454615610655e-07
1889,2.1301464592227148e-07,3.640044470287762e-07
1890,1.7172492583483745e-07,2.575873949695051e-07
1891,1.4214511168120225e-07,2.498694247066169e-07
1892,2.2880070593700452e-07,2.933663925119845e-07
1893,2.327881407637733e-07,2.715861748825432e-07
1894,2.8545972341476045e-07,2.3819818029124917e-07
1895,2.2930920984265413e-07,2.6903206196138285e-07
1896,2.140621582213953e-07,2.7185304340981986e-07
1897,1.5906927419706562e-07,2.0160428781945683e-07
1898,1.9464740219632404e-07,3.4063297671416137e-07
1899,2.581379074939605e-07,2.896451061218386e-07
1900,1.6870922614486972e-07,2.4657501906943935e-07
1901,1.944881109494645e-07,2.2019630963043824e-07
1902,1.5221880289573164e-07,2.1212425682648473e-07
1903,2.0628841568282041e-07,2.2788929321393425e-07
1904,2.55832162565639e-07,2.466952935264999e-07
1905,1.8578732152718658e-07,2.5907011425019277e-07
1906,1.630706538691129e-07,2.757282965282215e-07
1907,1.8874235685473195e-07,3.1577059012022346e-07
1908,2.1266314043089096e-07,2.745466565201582e-07
1909,1.996857070807323e-07,2.9155213443488037e-07
1910,2.1376602532541256e-07,2.602601312240438e-07
1911,2.0377033038698755e-07,2.511216625755708e-07
1912,1.838925705044403e-07,3.5580348090036296e-07
1913,2.11058985399859e-07,3.054522030865314e-07
1914,2.283589672913422e-07,3.1072891593098007e-07
1915,2.509302330366836e-07,2.2147833078633994e-07
1916,2.494153843457525e-07,2.6260035212999355e-07
1917,2.4784118757281703e-07,2.8512704730587757e-07
1918,2.182411513729221e-07,2.4236254603238194e-07
1919,2.642652532358625e-07,3.0477977164267145e-07
1920,2.2792417908590323e-07,2.354964094841705e-07
1921,2.385415438510563e-07,2.900362137125967e-07
1922,2.870017024036997e-07,2.508498093689582e-07
1923,2.8026104459399903e-07,3.1635524244677526e-07
1924,2.526758446919075e-07,3.2486892731498074e-07
1925,2.9475116036792315e-07,3.607402270233706e-07
1926,2.0063048999929833e-07,2.875703710714106e-07
1927,2.0737558603656225e-07,2.8430523002498376e-07
1928,2.0681134316191674e-07,2.5480072896044703e-07
1929,2.1723792720251822e-07,2.5511530510335945e-07
1930,1.701583807189877e-07,2.615397272087705e-07
1931,2.0529642164035522e-07,2.4749625193720703e-07
1932,2.389178934691927e-07,2.608369791268217e-07
1933,1.8353059871856203e-07,1.8811886404179745e-07
1934,1.4617527810401043e-07,2.2165923319050762e-07
1935,1.7354012182835277e-07,2.704832207101049e-07
1936,1.3337185933437468e-07,1.9763284742069231e-07
1937,2.077534535516179e-07,1.6746186470850688e-07
1938,1.5428604660527867e-07,1.5817561660469437e-07
1939,1.7129336526977568e-07,1.6976395844636727e-07
1940,1.6989745788009714e-07,1.6989745343920504e-07
1941,2.479262199983623e-07,2.656352364738268e-07
1942,2.548737878527163e-07,3.0342117440795846e-07
1943,2.554846965097113e-07,2.2645234332152597e-07
1944,1.7029886656416693e-07,2.9882630414590494e-07
1945,1.808158316407571e-07,2.9845504023739977e-07
1946,3.062642903728374e-07,2.491877690857791e-07
1947,2.574908180008606e-07,3.6001029979360055e-07
1948,2.7832033921981747e-07,3.4790040115417753e-07
1949,1.9535846540463808e-07,2.719311229526511e-07
1950,1.627210295396253e-07,2.616299017432766e-07
1951,3.2730504173628105e-07,2.771964457970455e-07
1952,2.319856839960721e-07,2.783828101371455e-07
1953,2.3917897351566353e-07,2.6826829113701933e-07
1954,2.5799495873002343e-07,2.677675006168556e-07
