year,deux_DET acteurs_NOUN,deux_DET facteurs_NOUN
1800,2.106590231143457e-07,2.3581233676850388e-07
1801,1.2620267497709392e-07,2.7383600809116615e-07
1802,8.056224487518193e-08,2.304975339484372e-07
1803,1.7162984988772223e-07,7.80135707145746e-08
1804,6.426812149129546e-08,2.817910171870608e-07
1805,1.9331569056646458e-07,1.1087222873129576e-07
1806,1.7578182109900808e-07,3.7749865100522584e-07
1807,1.5088861937684328e-07,6.547996918015997e-07
1808,2.470020614708801e-07,4.804076638720289e-07
1809,1.4683698879025542e-07,1.9879468826644597e-07
1810,7.488405895372807e-08,4.3994384357759486e-07
1811,1.027901510575191e-07,2.607359714801305e-07
1812,1.8937179069311583e-07,1.360276229434021e-07
1813,2.1568061936427796e-07,2.70319702622146e-07
1814,1.4474714760126517e-07,2.23414072575423e-07
1815,9.440282511263831e-08,2.7241958377999254e-07
1816,5.5622491501594595e-08,1.321034233114915e-07
1817,1.7436982169272142e-07,1.71256075987003e-07
1818,1.2040388930323331e-07,6.675859509641668e-08
1819,8.798392170383806e-08,1.0972112873819384e-07
1820,1.2222475831435986e-07,8.899861114741725e-08
1821,1.4496387734652671e-07,9.664258726616026e-08
1822,1.7244059336007922e-07,9.023054303725075e-08
1823,1.1266263122422515e-07,1.3341627891350072e-07
1824,1.549484673901702e-07,4.378978601948802e-08
1825,1.7522831363692148e-07,1.4440927031955653e-07
1826,1.3652375940864658e-07,1.585437132689549e-07
1827,9.585963844926937e-08,9.217273344575005e-08
1828,5.503380595683893e-08,1.320811311988912e-07
1829,1.0373543224417858e-07,8.315980437600956e-08
1830,9.914994070214789e-08,3.298040014421133e-07
1831,1.8241711785549342e-07,1.3720261904381914e-07
1832,1.2041672547979942e-07,1.0823975316043288e-07
1833,7.181849959181363e-08,1.1699465041203894e-07
1834,1.2041545005558874e-07,6.814207864636046e-08
1835,6.579886502322552e-08,1.4974914108734083e-07
1836,6.653542916623678e-08,1.0954822471376247e-07
1837,1.0506415448752193e-07,1.669893752165308e-07
1838,7.763959075646198e-08,1.1993107951191462e-07
1839,5.103776778980773e-08,1.2514740044267114e-07
1840,9.299745329371945e-08,2.4013726829252846e-07
1841,7.76886350806194e-08,2.3756029987609395e-07
1842,4.8970334898257306e-08,2.2271440514032292e-07
1843,7.61991509889981e-08,2.551785512339144e-07
1844,5.872760411307354e-08,1.9703935028037023e-07
1845,3.5155435451628136e-08,2.7622129100679516e-07
1846,4.2737858363395276e-08,1.0713737452761052e-07
1847,7.334783980184056e-08,2.572567687764149e-07
1848,6.033916427616859e-08,1.592953964291155e-07
1849,6.452149392544015e-08,2.161889038898579e-07
1850,3.666057679652113e-08,2.65449756398084e-07
1851,4.708090406424503e-08,2.8119552086813826e-07
1852,9.179868953879122e-08,1.4909148959851848e-07
1853,5.1955806767978174e-08,1.7079725012081326e-07
1854,6.858276968557675e-08,2.8680067371000817e-07
1855,7.535850343742823e-08,1.586774125428292e-07
1856,6.109083461325326e-08,2.2365457219564178e-07
1857,4.6374336593046905e-08,1.8793809641870496e-07
1858,8.22137575795523e-08,1.409378711514364e-07
1859,7.28180804543399e-08,1.7924450879114318e-07
1860,6.865776036590887e-08,1.2175309227480113e-07
1861,4.6688039212483545e-08,2.192923198585106e-07
1862,5.692662741196841e-08,1.68972683067814e-07
1863,1.063854204730319e-07,2.727063002083696e-07
1864,6.04135705906117e-08,2.4261323661178835e-07
1865,8.095772230376497e-08,2.1227868707285324e-07
1866,8.952727625910484e-08,2.3063005105683487e-07
1867,6.988048362188692e-08,2.0381807885883063e-07
1868,6.91582355827336e-08,3.660446685760377e-07
1869,7.422949366286957e-08,2.554080575922768e-07
1870,1.0091926139210727e-07,3.0333119305225864e-07
1871,4.248470997225695e-08,2.156099050409921e-07
1872,4.4145575195386755e-08,2.6971133371134215e-07
1873,6.345164793586378e-08,3.3521624365207003e-07
1874,8.722929489834996e-08,3.3876034244428865e-07
1875,1.0584825105297568e-07,3.3699794244057557e-07
1876,7.557518388878748e-08,4.256394490198545e-07
1877,1.3482899063887999e-07,3.5191601988060484e-07
1878,9.54176000433904e-08,3.315459746744409e-07
1879,1.1607717920192329e-07,4.2887462292640066e-07
1880,8.150664410067066e-08,3.516979791839958e-07
1881,8.994535072304188e-08,4.5112123991941644e-07
1882,1.0914831438668671e-07,4.5855604913214165e-07
