year,trois_DET arts_NOUN,trois_DET phares_NOUN
1800,3.144164395507687e-08,0.0
1801,3.095537337571841e-08,0.0
1802,5.594600338554301e-08,0.0
1803,9.751696339321825e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.5585899399160894e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.2775641372874134e-08,0.0
1808,6.798221985349073e-09,0.0
1809,2.4849335478194234e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,1.401186100480345e-08,4.670620334934483e-09
1818,2.384235475716423e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,3.085285271708926e-08,0.0
1821,9.86148829262845e-10,0.0
1822,9.023054303725075e-09,0.0
1823,5.929612356680991e-09,0.0
1824,2.7789671008804362e-08,0.0
1825,1.0566531649658373e-08,7.924898959288385e-09
1826,1.0569580766173203e-08,3.5231937367541377e-09
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.7516903755575584e-09,9.172301251858528e-10
1829,9.430493552731178e-09,1.7146351893870815e-08
1830,1.4611570398059825e-08,0.0
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,1.0823975493678972e-08,6.764984572527055e-09
1833,2.0850531967653296e-08,1.1583628500844156e-09
1834,3.640467127752345e-08,9.334530925997342e-10
1835,2.3445572594482655e-08,7.563087933704082e-10
1836,1.5457725766054864e-08,0.0
1837,4.87052354003481e-09,2.7831563720326358e-09
1838,1.5780404538645598e-08,1.2624323808552163e-09
1839,8.38977065598101e-09,5.5931801412612e-09
1840,3.821813265858509e-08,1.3376346252869098e-08
1841,8.346713542550788e-09,4.494383976094696e-09
1842,1.0733224087289273e-08,2.0124795163667386e-09
1843,1.8311423488626133e-08,0.0
1844,9.330554107123135e-09,3.841992946007622e-09
1845,1.3392547515422848e-08,5.580227835366713e-09
1846,4.27378594736183e-08,1.7563503984519002e-09
1847,1.88762818709165e-08,5.393223645455691e-10
1848,1.126331028444838e-08,8.84974404868899e-09
1849,4.1897072478036534e-09,2.513824481908955e-09
1850,7.467895635215882e-09,2.0366988096043315e-09
1851,9.674158363282004e-09,1.9348316282474798e-09
1852,1.1718981340891332e-08,2.6042181744401205e-09
1853,1.0152284346531815e-08,2.9859659189668264e-09
1854,9.871762074453727e-09,7.27393034694046e-09
1855,1.3798036491152743e-08,6.368324534378189e-09
1856,3.1063134287023786e-09,2.0708756931497874e-09
1857,1.0739319711294826e-08,9.763018171682347e-10
1858,5.872411001917044e-09,4.893676130990343e-09
1859,2.4442432078330967e-08,2.5460866748261424e-09
1860,1.0985241161165504e-08,1.4189270286513178e-08
1861,1.131831339762357e-08,4.715963730639317e-10
1862,1.1746764450037972e-08,1.3102160245637151e-08
1863,1.2986014041871385e-08,1.9978483312144135e-09
1864,1.1507347408290514e-08,1.102787461348953e-08
1865,1.8827376990770972e-08,1.882737743486018e-09
1866,6.325297008391573e-09,1.265059373922739e-08
1867,1.747012134956094e-08,1.94112459439566e-09
1868,2.321740755206747e-08,1.1361710683388537e-08
1869,8.301982323821733e-09,3.4184634012390802e-09
1870,2.1789386295267832e-08,9.747882501187632e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,1.4513614199351821e-08,6.047339295989218e-10
1873,1.6162211291526063e-08,1.7958012854535355e-09
1874,4.182226343019124e-09,2.9873046258899194e-09
1875,2.0597497041308088e-08,5.7215269744226305e-09
1876,1.753344314181504e-08,3.02300739996042e-09
1877,1.6699003291265058e-08,4.947852683123699e-09
1878,8.4547240319921e-09,4.22736201599605e-09
1879,8.553055264037823e-09,4.887460103297769e-09
1880,2.5029599504122757e-08,8.343200130767059e-09
1881,6.275256814181063e-09,1.3945014920579979e-08
1882,1.3310770041741193e-08,1.4641846846075168e-08
1883,1.579834707499117e-08,6.319339107552224e-09
1884,2.3766108192546653e-08,8.582206056928499e-09
1885,1.5469526104539e-08,1.160214413431504e-08
1886,1.7424351739236954e-08,2.0005737733086448e-08
1887,1.1752064210668323e-08,6.528924734183761e-09
1888,1.0779045211961602e-08,1.4583414253976912e-08
1889,6.891650361495749e-09,7.51816386923565e-09
1890,2.6217545912032847e-09,1.3764211992395303e-08
1891,7.011642266796514e-09,4.461953917456185e-09
1892,3.1342561879199593e-09,1.2537024751679837e-08
1893,4.310891643655168e-09,1.662772503019383e-08
1894,1.071261657159539e-08,4.4110775032635274e-09
1895,1.023164486468886e-08,1.444467434552621e-08
1896,1.2383760683576384e-08,2.240870994318911e-08
1897,7.574727511894253e-09,5.826713334045053e-09
1898,7.921697076085366e-09,8.487532565659706e-09
1899,9.39688327150634e-09,3.8693048765026106e-09
1900,8.824790675987515e-09,4.671947717582725e-09
1901,6.706486921359556e-09,2.235495566438317e-09
1902,8.838511089681589e-09,9.329539363278627e-09
1903,5.400220270956879e-09,1.6200660812870638e-09
1904,1.5048950530172078e-08,1.3436562973367927e-08
1905,1.3934049469810361e-08,4.64468330463319e-09
1906,1.3889298322578014e-08,1.131720617220111e-08
1907,6.685696163355459e-09,2.0571372938427146e-09
1908,9.331638795018193e-09,3.929111258571538e-09
1909,1.1001967337165297e-08,9.351672325408344e-09
1910,2.0842187531400214e-08,3.206490406526541e-09
1911,9.044636040123066e-09,5.852411444351446e-09
1912,8.335073964360618e-09,1.1981668990301841e-08
1913,5.302989658506618e-09,1.113627856597077e-08
1914,7.366418142140674e-09,5.357394972094198e-09
1915,8.246533234057551e-09,3.534228465440492e-09
1916,3.2962386153911893e-09,1.3184954461564757e-08
1917,8.773139548168274e-09,2.1932848870420685e-09
1918,4.594550517822427e-09,1.1486376294556067e-09
1919,1.1049418269237776e-08,2.762354567309444e-09
1920,9.843901249695364e-09,7.572231730534895e-09
1921,1.2116395886607734e-08,1.2873670240942658e-08
1922,1.475587119159627e-08,7.377935484775833e-10
1923,1.2739137744688378e-08,1.0615948120573648e-09
1924,7.734974771800296e-09,2.578324886925998e-09
1925,1.2097995494286806e-08,2.1996355847875293e-09
1926,1.1146138456652466e-08,4.458455382660986e-09
1927,1.2264147031260109e-08,8.919380123373344e-09
1928,2.7422499715434867e-08,5.713020723163709e-09
1929,7.798284462623428e-09,1.0026365737658693e-08
1930,1.260432402894196e-08,2.100720708497761e-09
1931,2.167017765231094e-08,1.1405356659111021e-09
1932,8.767629289252454e-09,5.479768305782784e-09
1933,9.176529758292418e-09,3.4411986593596566e-09
1934,1.677421224144382e-08,2.3963160344919743e-09
1935,1.795242621227544e-08,4.787313656606784e-09
1936,1.2124714565686645e-08,1.2124714565686645e-09
1937,1.1332006444320086e-08,1.1332006333297784e-08
1938,5.186085783037697e-09,5.186085672015395e-09
1939,4.588215141154706e-09,4.588215141154706e-09
1940,5.0715658339584024e-09,1.7750480640899013e-08
1941,2.9515025978810172e-08,1.7709015143196893e-08
1942,6.068423541449874e-09,3.034211770724937e-09
1943,1.161294105322952e-08,5.806470415592457e-09
1944,1.6065930807940276e-08,9.639558484764166e-09
1945,1.3071024262956144e-08,2.178504043826024e-09
1946,1.6705326011390298e-08,1.1136883415474585e-08
1947,2.3841741914054637e-09,0.0
1948,1.848220954059343e-08,7.61032148410834e-09
1949,1.4725512254010198e-08,2.945102384188658e-09
1950,2.9779012589159493e-08,4.2541445921528975e-09
1951,1.3859822178829972e-08,6.396841278899501e-09
