year,des_DET in_ADJ,des_DET fines_ADJ
1800,9.432493897065797e-09,0.0
1801,9.524730337773235e-09,0.0
1802,2.9091921760482364e-08,6.713520406265161e-09
1803,3.900678446910888e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,9.036122072814123e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,3.259199843341776e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.026038169513413e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,3.085285271708926e-08,1.1866481131050932e-09
1821,1.2819934447350079e-08,0.0
1822,7.017931125119503e-09,0.0
1823,8.894418535021487e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,1.3208164340028361e-08,1.2327619813845558e-08
1826,1.3211976401805714e-08,0.0
1827,8.295545583791863e-09,0.0
1828,4.586150570418113e-09,0.0
1829,2.4862210068476998e-08,8.57317605795771e-10
1830,1.0436835395921662e-08,0.0
1831,1.0913843828674885e-08,0.0
1832,6.764984572527055e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.4935249259551142e-08,9.334530925997342e-10
1835,6.050470346963266e-09,7.563087933704082e-10
1836,1.3441500135158435e-09,8.064899859050456e-09
1837,1.3915782193230086e-08,1.3915781860163179e-09
1838,6.312161904276081e-09,0.0
1839,6.292327547896548e-09,0.0
1840,1.2102408852854296e-08,8.917564464638872e-09
1841,2.247191943638427e-08,0.0
1842,4.695785538189057e-09,9.391571076378114e-09
1843,9.451057714215949e-09,8.269675610961258e-09
1844,3.2931368743049916e-09,2.195424464446205e-08
1845,8.37034175305007e-09,0.0
1846,1.9319854382970902e-08,3.5127007969038004e-09
1847,9.707802561820245e-09,1.0786447290911383e-09
1848,2.252662056889676e-08,1.6090443422100975e-09
1849,1.5082946669409125e-08,0.0
1850,3.394498016007219e-09,0.0
1851,4.514607354622058e-09,0.0
1852,1.7578472011337e-08,1.3021090872200602e-09
1853,4.180352286553557e-09,2.388772735173461e-09
1854,1.0391328686409906e-08,5.195664343204953e-09
1855,5.837630823180007e-09,9.021793090369101e-09
1856,3.1063134287023786e-09,5.177189343896771e-09
1857,1.269192401176511e-08,4.881509085841174e-10
1858,7.34051397444091e-09,0.0
1859,1.3748867822016564e-08,6.110608019582742e-09
1860,7.323494255473406e-09,2.746310290291376e-09
1861,3.772770984511453e-09,5.659156698811785e-09
1862,4.066187830886747e-09,9.035972525772706e-10
1863,6.99246927027275e-09,2.497310414018017e-09
1864,7.671564716815737e-09,6.712618905169165e-09
1865,3.765475542483188e-09,2.3534221238463715e-09
1866,1.5083399418358567e-08,1.5083399418358567e-08
1867,7.76449837758264e-09,3.396968040192405e-09
1868,3.704905637835765e-08,1.2349684830326169e-08
1869,3.906815315701806e-09,2.24641887314192e-08
1870,9.747882945276842e-09,1.0321287824410774e-08
1871,8.496941816815706e-09,2.442870794538976e-08
1872,5.442605477412599e-09,6.047339518033823e-09
1873,9.577607151811662e-09,1.1972009161809183e-08
1874,7.766991494406739e-09,1.8521287614703397e-08
1875,1.4303817685856757e-08,2.1169650921137873e-08
1876,7.255217759905008e-09,1.5719638923883394e-08
1877,7.4217790801967e-09,1.4225077116236662e-08
1878,8.454723976480949e-09,5.435179861734696e-09
1879,1.710611030603104e-08,4.887460214320072e-09
1880,8.984985200299889e-09,5.134277003548959e-09
1881,1.5339516323820135e-08,1.045876096839038e-08
1882,1.1314154724217929e-08,1.1314154946262533e-08
1883,1.3902545781263598e-08,1.4534479952921231e-08
1884,9.902545450302114e-09,7.922036360241691e-09
1885,4.511945039809007e-09,8.379326621454908e-09
1886,1.5488312854472497e-08,5.1627709884982664e-09
1887,8.48760173255414e-09,1.3710741486594458e-08
1888,6.974675947901687e-09,1.0779045211961602e-08
1889,5.638623234993645e-09,1.3156786771162388e-08
1890,2.621754646714436e-09,8.520702365899524e-09
1891,1.1473596073230397e-08,7.0116419337296065e-09
1892,1.0029619579299265e-08,6.8953633913793055e-09
1893,1.1085149687062312e-08,3.571881657116194e-08
1894,5.041231432301174e-09,1.07126170156846e-08
1895,7.22233739480771e-09,7.22233739480771e-09
1896,1.7691086373616827e-09,7.076434771491336e-09
1897,4.661370844871726e-09,1.5149455578900017e-08
1898,4.526684027617023e-09,1.9238406423482957e-08
1899,3.3165470370022376e-09,7.185851913504848e-09
1900,6.74836919678512e-09,1.1939421895590385e-08
1901,6.706486921359556e-09,1.1736351446245408e-08
1902,3.928227076954727e-09,1.276673788908056e-08
1903,9.720396931811592e-09,1.4580594509538969e-08
1904,6.987012746151322e-09,6.987012746151322e-09
1905,6.192911072844254e-09,1.186974607492175e-08
1906,9.773950260250075e-09,1.1317205839134203e-08
1907,2.5714217422034835e-09,2.2114226894132116e-08
1908,4.4202499438483756e-09,1.276961114626829e-08
1909,9.901770070541716e-09,1.595285298305882e-08
1910,6.412980702030779e-09,7.481811059584231e-09
1911,5.3203743632934675e-09,1.755723388896513e-08
1912,6.251305251225858e-09,8.856016364688912e-09
1913,2.121195885607108e-09,1.4848371532316662e-08
1914,6.027069510139427e-09,1.4732836284281348e-08
1915,3.534228465440492e-09,7.0684572639478915e-09
1916,6.592477230782379e-09,2.197492410260793e-09
1917,4.386569774084137e-09,1.64496359866817e-08
1918,1.378365155346728e-08,8.040463406189247e-09
1919,1.0128633542993981e-08,2.117805053547528e-08
1920,5.300562211374427e-09,3.028892692213958e-09
1921,3.0290989716519334e-09,1.060184651180407e-08
1922,9.591316185719734e-09,5.90234855435412e-09
1923,4.246379248229459e-09,1.6985516992917837e-08
1924,7.734974438733389e-09,1.675911143195208e-08
1925,1.0998178368026856e-08,1.979671959695395e-08
1926,4.458455382660986e-09,1.560459372829115e-08
1927,7.804457524684949e-09,1.0034302277972529e-08
1928,5.713020501119104e-09,1.1426041446327417e-08
1929,4.4561625500705304e-09,1.5596569369336066e-08
1930,2.100720708497761e-09,1.9956846175617216e-08
1931,4.5621426636444085e-09,1.9389106320488736e-08
1932,9.863582839386709e-09,1.3151443600811774e-08
1933,1.1470662197865522e-09,2.1794258842078307e-08
1934,7.188948103475923e-09,2.516131836216573e-08
1935,2.393656828303392e-09,2.5133397585364037e-08
1936,7.274828739411987e-09,2.3036957230715416e-08
1937,1.2591118370153254e-08,2.392312481447334e-08
1938,2.5930428915188486e-09,1.8151300351654243e-08
1939,7.647025235257843e-09,1.070583532936098e-08
1940,7.607348528892999e-09,3.550096194793184e-08
1941,5.9030051957620344e-09,5.9030050181263505e-08
1942,0.0,3.034211704111556e-08
1943,0.0,2.9032352077962287e-09
1944,3.2131861615880553e-09,0.0
1945,4.357008087652048e-09,1.5249527862692958e-08
1946,1.6705325123211878e-08,4.1763312808029696e-09
1947,4.7683483828109274e-09,1.3112957830685446e-08
1948,3.2615663503321457e-09,1.0871888278529696e-08
1949,2.945102384188658e-09,1.7670615193310368e-08
1950,1.0635361036293034e-08,9.571825110299415e-09
1951,9.595261474260042e-09,9.595261474260042e-09
1952,4.2179215675730575e-09,1.687168627029223e-08
1953,3.232148326759443e-09,1.1851209791302608e-08
1954,7.818028890937967e-09,1.8567819282111486e-08
1955,8.447047505910632e-09,3.003394510869839e-08
1956,5.232684952005684e-09,1.5698054411927842e-08
1957,7.951534097827562e-09,5.301022731885041e-09
1958,6.617794756635931e-09,2.1507833736222892e-08
1959,6.200598368089061e-09,1.3951345856355601e-08
1960,3.460416619915918e-09,9.689166802218097e-09
1961,7.64297514166401e-09,1.459113452284555e-08
1962,4.43936931660005e-09,1.6489087428794846e-08
1963,1.939815863494232e-09,9.052474325699222e-09
1964,3.041984220075733e-09,5.475571551727398e-09
1965,8.755269398363907e-09,1.3680108601477059e-08
1966,4.985167278981351e-09,8.30861190959098e-09
1967,4.437302081328198e-09,1.824224188373691e-08
1968,6.737123747768692e-09,1.1677681044375277e-08
1969,6.358460841182634e-09,4.087581828571274e-09
1970,5.518470125309705e-09,1.195668489217816e-08
1971,9.762954888969944e-09,7.193756701440179e-09
1972,3.0780880067027283e-09,6.156176013405457e-09
1973,2.205281512956958e-09,5.513203671370093e-09
1974,5.063014563155832e-09,5.06301445213353e-09
1975,1.7134440533084216e-09,7.4249242310031605e-09
1976,7.427584769459372e-09,1.199840671262109e-08
1977,8.22749424145286e-09,7.639816779203557e-09
1978,5.940591130126904e-09,8.910887139279566e-09
1979,7.607565244427406e-09,7.607565355449708e-09
1980,4.548120602354544e-09,7.390696055153967e-09
1981,8.223214609248686e-09,1.2651099334792804e-08
1982,2.483000915987077e-09,9.932003663948308e-09
1983,3.157658134966823e-09,5.68378455412244e-09
1984,6.3789091786503604e-09,9.278413592994639e-09
1985,6.617113634810323e-09,4.812446441349039e-09
1986,7.792831269171074e-09,1.019062523255343e-08
1987,4.888653315493485e-09,7.944062296871834e-09
1988,1.798966087207532e-09,1.0194141530917022e-08
1989,4.939309961038418e-09,8.232182935330457e-09
1990,3.2691906959314565e-09,5.993515905799995e-09
1991,2.344586136349136e-09,7.033758298025106e-09
1992,2.2039776670368383e-09,6.61193322315512e-09
1993,5.539207315052863e-09,2.7696036575264316e-09
1994,2.637463358823311e-09,5.802419378309054e-09
1995,1.0844901643380922e-09,6.506941097050856e-09
1996,3.2028553142993132e-09,3.736664533349199e-09
1997,4.315405033317177e-09,1.006927874414032e-08
1998,4.291316191284977e-09,5.2449422582867555e-09
1999,7.769341614505265e-09,6.398281821029528e-09
2000,3.976228346580513e-09,7.510653543540968e-09
2001,1.7524847129024579e-09,7.448060029835446e-09
2002,3.9430991805033955e-09,6.571832411594869e-09
2003,2.5001538617175356e-09,7.500461585152607e-09
2004,4.845270407116686e-09,7.488145131739898e-09
2005,1.3511248786457486e-09,5.404499514582994e-09
2006,1.6471559671771274e-09,7.000412693969338e-09
2007,1.5977917877663117e-09,7.988959188631739e-09
2008,2.554463834902876e-09,4.257439734089985e-09
2009,4.76819250749827e-10,8.582746513496886e-09
2010,6.140930874920514e-09,7.55806894847666e-09
2011,1.1471915639660324e-09,7.265546830836911e-09
2012,3.404252713057332e-10,1.2595735121578855e-08
2013,1.952387529424726e-09,9.483025142920098e-09
2014,6.496335691608124e-10,9.527958783062118e-09
2015,1.7732603163622684e-09,1.1969506996667434e-08
2016,1.2428040818690533e-09,9.942432210863217e-09
2017,2.515611330355938e-10,8.553078523210189e-09
2018,0.0,1.135845340005659e-08
2019,2.550987698857199e-09,8.673358087296634e-09
