year,aucunes_DET femmes_NOUN
1800,1.2576657937302116e-08
1801,5.476719877606229e-08
1802,6.713520406265161e-09
1803,1.1702034896643454e-08
1804,1.2359254952798437e-08
1805,1.1371510844071508e-08
1806,0.0
1807,0.0
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,1.4378708002027452e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,1.71256075987003e-08
1818,9.536941902865692e-09
1819,1.035105001712111e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,4.210758675071702e-08
1823,8.894418535021487e-09
1824,1.0105335235266466e-08
1825,8.805443041381977e-10
1826,6.165588928297439e-08
1827,6.452091128039683e-08
1828,7.337841001486822e-09
1829,8.57317605795771e-10
1830,1.1480519646056564e-08
1831,0.0
1832,1.3529969367098715e-09
1833,6.950177322551099e-09
1834,1.3068342852307069e-08
1835,2.0420337421001022e-08
1836,1.8146025126952736e-08
1837,4.87052354003481e-09
1838,3.1560809077291196e-08
1839,1.3283802502428443e-08
1840,1.9109066329292546e-08
1841,1.926164472365599e-08
1842,7.379091560011375e-09
1843,2.953455480181333e-09
1844,2.085653250105679e-08
1845,8.928364714222425e-09
1846,2.0490753982471688e-08
1847,2.3730184040005042e-08
1848,1.930853166243196e-08
1849,0.0
1850,1.3577992064028876e-09
1851,1.9348316282474798e-09
1852,1.1718981340891332e-08
1853,7.763511611358354e-09
1854,6.754363734984281e-09
1855,3.1841622671890946e-09
1856,7.765783571755946e-09
1857,2.3431244500216053e-08
1858,1.1744822003834088e-08
1859,3.5645213447565993e-09
1860,1.373155145145688e-09
1861,7.073945429425521e-09
1862,1.3102160245637151e-08
1863,4.495158911765884e-09
1864,1.965838514195184e-08
1865,1.694463946932956e-08
1866,1.9462451650298362e-09
1867,6.308654931785895e-09
1868,1.877152122631287e-08
1869,4.883519144627257e-10
1870,5.734048791339319e-10
1871,2.1242354542039266e-09
1872,6.652073114565837e-09
1873,1.2570609442263958e-08
1874,5.377148060148329e-09
1875,6.865832347102696e-09
1876,3.627608791134662e-08
1877,4.329371083855449e-09
1878,9.058632954861423e-09
1879,1.4662380642960215e-08
1880,1.0268554007097919e-08
1881,2.8587281875047665e-08
1882,1.1314154946262533e-08
1883,7.58320695126713e-09
1884,1.9805090900604227e-09
1885,4.511945039809007e-09
1886,1.5488312854472497e-08
1887,4.570247291724172e-09
1888,1.9021844099853524e-09
1889,8.771191772893872e-09
1890,1.0487018364813139e-08
1891,1.9122660788184476e-08
1892,3.1342561879199593e-09
1893,1.847525021858587e-09
1894,1.3233232287745977e-08
1895,1.023164486468886e-08
1896,6.486732040400511e-09
1897,1.1070755867592652e-08
1898,5.6583546736987955e-09
1899,1.0502398950507086e-08
1900,3.114631885736685e-09
1901,5.029864968975062e-09
1902,4.419255628107521e-09
1903,5.400220270956879e-09
1904,5.912087708281888e-09
1905,6.708986699521802e-09
1906,1.0802787109298606e-08
1907,7.199980611716228e-09
1908,1.5716445034286153e-08
1909,3.300590023513905e-09
1910,3.206490406526541e-09
1911,1.649316061502759e-08
1912,1.5628263128064646e-08
1913,2.6514948014977335e-09
1914,2.678697486047099e-09
1915,4.712304768617059e-09
1916,8.789969641043172e-09
1917,5.483212106582869e-09
1918,1.2635013924011673e-08
1919,4.603924352863942e-09
1920,8.329454459499175e-09
1921,1.5145494858259667e-09
1922,1.4755870969551665e-09
1923,5.307974060286824e-09
1924,0.0
1925,2.1996355847875293e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,3.4278122562625413e-09
1929,7.798284684668033e-09
1930,5.2518016602221e-09
1931,1.596749932275543e-08
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,1.1981580172459871e-09
1935,2.393656828303392e-09
1936,1.091224355320719e-08
1937,1.6368453259474336e-08
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,0.0
1946,6.960552134671616e-09
1947,0.0
1948,1.0871887834440486e-09
1949,3.9268033269479474e-09
1950,0.0
1951,3.1984206394497505e-09
1952,1.0544803918932644e-09
1953,5.386913581872932e-09
1954,1.9545072227344917e-09
1955,1.8771215692936494e-09
1956,8.72114158667614e-10
1957,0.0
1958,8.272243445794913e-10
1959,6.975672928177801e-09
1960,4.844583401109048e-09
1961,4.86371165564492e-09
1962,9.512934440181198e-09
1963,1.939815863494232e-09
1964,4.258777774879263e-09
1965,2.188817349590977e-09
1966,4.431259803538978e-09
1967,6.409436092980059e-09
1968,9.431973424511852e-09
1969,5.450109252791435e-09
1970,6.438214850135182e-09
1971,7.193756701440179e-09
1972,2.565073486948677e-09
1973,2.7566018356850464e-09
1974,3.3753431161187564e-09
1975,6.8537762132336866e-09
1976,0.0
1977,3.526069214387917e-09
1978,3.5643548113029055e-09
1979,0.0
1980,3.411090521154847e-09
1981,6.325549417596221e-09
1982,2.483000915987077e-09
1983,3.157658134966823e-09
1984,1.739702604197646e-09
1985,0.0
1986,3.5966913891627428e-09
1987,3.0554083707556856e-09
1988,5.396898483667201e-09
1989,6.585746614717891e-09
1990,0.0
1991,4.68917216167597e-09
1992,3.856960972825618e-09
1993,3.323524566667402e-09
1994,3.164955852952289e-09
1995,5.4224509327127635e-09
1996,1.067618438099771e-09
1997,1.917957792585412e-09
1998,2.3840645013706308e-09
1999,2.285100553223174e-09
2000,1.0161472552283612e-08
2001,1.3143635069212678e-09
2002,3.9430991805033955e-09
2003,2.9168460979889232e-09
2004,2.2023955992267474e-09
2005,2.251874686720612e-09
2006,2.8825228870488218e-09
2007,1.5977917877663117e-09
2008,4.257439678578834e-10
2009,4.76819250749827e-10
2010,4.723793023408973e-10
2011,0.0
2012,6.808505426114664e-10
2013,1.6734750252211938e-09
2014,1.9489005964601347e-09
2015,2.881548111233201e-09
2016,2.6927420293532123e-09
2017,0.0
2018,2.323319980845895e-09
2019,1.2754939326953263e-09
