year,vastes_ADJ eaux_NOUN
1800,2.5153315874604232e-08
1801,2.6193008650921e-08
1802,0.0
1803,3.705644502360883e-08
1804,5.6852570651244605e-08
1805,1.7057265822018053e-08
1806,3.1698359492793315e-08
1807,2.8469550272802735e-08
1808,6.798221985349073e-09
1809,9.036122072814123e-09
1810,4.680253518074551e-09
1811,1.7549536934780008e-08
1812,1.0668833283489221e-07
1813,5.463909147351842e-08
1814,1.2586708564299443e-08
1815,0.0
1816,1.3905623319487859e-08
1817,2.1796227045456362e-08
1818,2.026600220972341e-08
1819,1.1386155129855524e-08
1820,1.0679833017945839e-08
1821,6.903041693817613e-09
1822,1.4035862250239006e-08
1823,2.9648061783404955e-09
1824,3.2000230021367315e-08
1825,4.226612659863349e-08
1826,9.688783109140786e-09
1827,6.452091305675367e-09
1828,1.9261833017480967e-08
1829,1.457439946506156e-08
1830,2.817945699007396e-08
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,2.20088942626262e-08
1834,1.4001796166951408e-08
1835,1.9664028627630614e-08
1836,2.016225053580456e-08
1837,1.1132625488130543e-08
1838,1.199310784016916e-08
1839,9.788065469251706e-09
1840,1.4013314952876499e-08
1841,2.118781061710706e-08
1842,2.1466448174578545e-08
1843,1.6539351221922516e-08
1844,9.330554107123135e-09
1845,1.0602432709561072e-08
1846,8.196302303531411e-09
1847,1.1865092020002521e-08
1848,1.609044275596716e-08
1849,8.379414495607307e-09
1850,5.431196825611551e-09
1851,5.8044946626978344e-09
1852,1.8229528109259263e-08
1853,1.851298847554972e-08
1854,1.0391328908454511e-09
1855,1.4859423913549108e-08
1856,9.318940286107136e-09
1857,1.2203773103180993e-08
1858,2.104280660830682e-08
1859,8.147477359443656e-09
1860,1.373155189554609e-08
1861,1.7920662287451705e-08
1862,2.1234535907410645e-08
1863,1.1487627737949424e-08
1864,1.8699438442126848e-08
1865,1.9298061815220535e-08
1866,1.5083399418358567e-08
1867,9.220341823379385e-09
1868,1.5807597009143137e-08
1869,5.371870948067681e-09
