year,tes_DET oeufs_NOUN,tes_DET feux_NOUN
1800,0.0,1.6035239625011855e-07
1801,0.0,3.7622685056248883e-07
1802,0.0,6.937304419807333e-08
1803,0.0,1.6577883954482786e-07
1804,0.0,1.8291696601835383e-07
1805,0.0,2.245873442774382e-07
1806,0.0,1.7290015286164362e-07
1807,0.0,7.971474680346091e-08
1808,0.0,5.21197005554086e-08
1809,0.0,9.487928487317276e-08
1810,2.3401267590372754e-09,1.0530570682121265e-07
1811,0.0,5.966842877569434e-07
1812,0.0,1.0935553529378694e-07
1813,0.0,2.1568062891219597e-07
1814,0.0,6.293354370967563e-08
1815,0.0,4.5852800667489646e-08
1816,0.0,6.95281165974393e-08
1817,0.0,1.7281294173443484e-07
1818,0.0,1.275565963965164e-07
1819,0.0,1.0454560239736566e-07
1820,0.0,1.7918386685522592e-07
1821,0.0,1.4200543763109863e-07
1822,2.0051231786055723e-09,9.925359734097583e-08
1823,0.0,9.190898575539563e-08
1824,0.0,2.004224803897614e-07
1825,0.0,1.3560382328137166e-07
1826,0.0,1.7263649354504196e-07
1827,0.0,8.019027752936836e-08
1828,0.0,6.879226077671774e-08
1829,8.57317605795771e-10,9.773420472924954e-08
1830,0.0,9.288784230676583e-08
1831,0.0,6.860130330466063e-08
1832,0.0,9.470978712400324e-08
1833,0.0,9.151066215906667e-08
1834,0.0,7.00089790584002e-08
1835,0.0,5.7479468296151026e-08
1836,0.0,4.301280043250699e-08
1837,0.0,4.731365921273323e-08
1838,0.0,5.428459326495272e-08
1839,0.0,4.6842883349995645e-08
1840,0.0,3.3122379505812205e-08
1841,0.0,4.36597287212237e-08
1842,3.3541325272778977e-09,2.750388583550034e-08
1843,5.906911071384968e-10,2.953455480181333e-08
1844,0.0,4.281077714551884e-08
1845,0.0,4.8547982522961775e-08
1846,0.0,3.2785206105501175e-08
1847,0.0,2.480882876909618e-08
1848,0.0,4.1030632391692023e-08
1849,0.0,4.357295679824347e-08
1850,0.0,1.2152303074941528e-07
1851,0.0,4.901573280591265e-08
1852,0.0,2.734429060957666e-08
1853,0.0,2.1498954838605755e-08
1854,0.0,5.7152307775254485e-08
1855,0.0,5.041590256382733e-08
1856,0.0,3.9346639280068985e-08
1857,0.0,2.0990489568717408e-08
1858,0.0,2.985142433242771e-08
1859,0.0,4.124660524240653e-08
1860,4.577183909670879e-10,2.6089948951257824e-08
1861,4.715963730639317e-10,2.6409396447490963e-08
1862,0.0,9.623311036932591e-08
1863,0.0,4.4452123759697315e-08
