year,des_DET humeurs_NOUN,des_DET fumeurs_NOUN
1800,9.778351781619676e-07,1.8864987794131594e-08
1801,1.57872405281978e-06,2.3811825844433088e-09
1802,1.4210285144145018e-06,1.7902721083373763e-08
1803,1.583675395266937e-06,1.950339223455444e-09
1804,1.2779468896439994e-06,4.943701892301533e-09
1805,1.2309660668563538e-06,1.990014353303593e-08
1806,8.21275698115187e-07,8.645007376628655e-09
1807,6.320240402146737e-07,8.825560593450632e-08
1808,6.91152547194207e-07,4.5321479902327155e-09
1809,6.79968170658185e-07,2.259030518203531e-09
1810,6.552354978595076e-07,2.3401267590372754e-08
1811,1.0103519514359505e-06,2.757784400841956e-08
1812,7.921608498051569e-07,1.0668832928217853e-08
1813,1.0093853148873677e-06,5.751483289628823e-09
1814,1.0793102518391606e-06,3.1466771410748606e-09
1815,1.5050507078395725e-06,5.394447111228828e-09
1816,8.297021665271131e-07,4.6352077731626196e-09
1817,7.581973262560382e-07,0.0
1818,1.5795559846765173e-06,9.536941902865692e-09
1819,7.483809305597333e-07,2.3807414706311647e-08
1820,8.330269833933812e-07,1.542642635854463e-08
1821,8.046974649955629e-07,1.577838115718322e-08
1822,5.273474101841202e-07,2.3058916553964082e-08
1823,4.842516561076593e-07,1.1859224713361982e-08
1824,4.749507702683786e-07,8.421112696055388e-10
1825,3.900811229584633e-07,8.805443041381977e-10
1826,3.3206099914195875e-07,1.76159691278599e-08
1827,3.8067337726488404e-07,4.608636583469661e-09
1828,4.5769782719418117e-07,1.559291185060374e-08
1829,4.7666860192308036e-07,2.0575622983187714e-08
1830,3.0684297502858726e-07,2.0873670791843324e-08
1831,4.2096255370438485e-07,4.365537620287796e-08
1832,3.3148424982698543e-07,2.705993917828664e-08
1833,3.1623306995243183e-07,8.108539617524002e-09
1834,3.4164383810875165e-07,1.9602515166639023e-08
1835,7.124428833549246e-07,1.4369867074037757e-08
1836,4.308000791652944e-07,1.612980005116782e-08
1837,4.098197621260624e-07,1.3915782304252389e-08
1838,3.5979322410284453e-07,1.325553999897977e-08
1839,3.0972233666659577e-07,1.8876983531868063e-08
1840,3.1721049786881395e-07,1.0191501864653674e-08
1841,4.494383887276854e-07,2.7608358710295988e-08
1842,3.3340076877053093e-07,3.5553803456878086e-08
1843,3.6681916393277447e-07,2.5990408047960045e-08
1844,3.4029080397957046e-07,4.2261923516306865e-08
1845,2.7510523903373496e-07,2.343695709727811e-08
1846,3.020922711982621e-07,1.8148954561425512e-08
1847,1.7959434472913927e-07,1.1325769655456952e-08
1848,3.0089130426125266e-07,1.850401076808339e-08
1849,2.714930329439369e-07,3.351765998083067e-08
1850,2.6137634723255587e-07,2.1724787302446202e-08
1851,2.986090144041498e-07,3.0312362842011e-08
1852,2.506559915183004e-07,3.971432804839026e-08
1853,5.464317762715609e-07,1.6721408258035808e-08
1854,3.299246980059678e-07,3.844791829354932e-08
1855,3.852836414353078e-07,4.9354515141430966e-08
1856,4.322953017776854e-07,2.3815070804289462e-08
1857,2.489569599362085e-07,4.002837622474331e-08
1858,3.538127892888099e-07,1.663849763522407e-08
1859,2.1743579647903744e-07,5.397703906062645e-08
1860,2.2977463753903749e-07,4.668727759948865e-08
1861,2.6739513536711e-07,4.527325092595902e-08
1862,2.841813473430932e-07,3.343309989967125e-08
1863,2.6521436691240297e-07,4.64499730346013e-08
1864,3.135752191241181e-07,4.2193605054308136e-08
1865,2.7676244629404323e-07,5.1304605286350835e-08
1866,2.5398499059470225e-07,6.276640790447985e-08
1867,3.663872778503219e-07,6.066014535122122e-08
1868,2.603313529192519e-07,3.8037031191429094e-08
1869,2.1243308623297708e-07,4.9323542250512276e-08
1870,3.3372165253453545e-07,3.268407766654491e-08
1871,2.952687323531933e-07,2.0180237036981907e-08
