year,diverses_ADJ eaux_NOUN
1800,2.5153315874604232e-08
1801,3.095537337571841e-08
1802,4.923248297927785e-08
1803,3.90067853572873e-08
1804,9.887403784603066e-09
1805,1.9900143755080535e-08
1806,4.3225035994964855e-08
1807,2.2775640928784924e-08
1808,6.571614363792833e-08
1809,1.5813214071513926e-08
1810,1.6380887757350138e-08
1811,6.267691787797958e-08
1812,4.5342538612658245e-08
1813,5.7514832008109806e-08
1814,1.4160046646338742e-07
1815,5.933891955578474e-08
1816,4.8669683394564345e-08
1817,3.580808893843823e-08
1818,2.8610825708597076e-08
1819,4.7614829412623294e-08
1820,7.71321246872958e-08
1821,2.859831660373402e-08
1822,1.9048670196752937e-08
1823,1.4824030003524058e-08
1824,6.315834788495067e-08
1825,6.251864625994585e-08
1826,2.818555067118922e-08
1827,5.622536392024813e-08
1828,8.255071293206129e-08
1829,3.086343414171466e-08
1830,6.470838087579978e-08
1831,5.924658252887127e-08
1832,9.335678896604804e-08
1833,5.560141858040879e-08
1834,7.28093425550469e-08
1835,7.941242330389287e-08
1836,3.024337402735e-08
1837,2.365682938432201e-08
1838,3.913540269628868e-08
1839,2.6567605004856887e-08
1840,4.267691267045848e-08
1841,5.714288064950779e-08
1842,2.6162233268678392e-08
1843,4.902736350231862e-08
1844,3.0735943568060975e-08
1845,4.631589112236156e-08
1846,2.9272506196775794e-08
1847,4.853901458545806e-08
1848,5.792559676365272e-08
1849,7.206296714912241e-08
1850,3.86972773824823e-08
1851,9.41618054639548e-08
1852,7.356916142953196e-08
1853,8.300985476772382e-08
1854,5.975014244485877e-08
1855,6.10297732350773e-08
1856,3.7793480345271746e-08
1857,6.980557909486151e-08
1858,8.319249067412215e-08
1859,9.06406825151862e-08
1860,5.9045670797175376e-08
1861,5.847795137015055e-08
1862,7.996835915680123e-08
1863,4.145535142940915e-08
1864,8.966141384902926e-08
1865,5.41287112909572e-08
1866,6.37395296543275e-08
1867,3.2513838732484146e-08
1868,6.718228529045689e-08
1869,6.250904693860804e-08
1870,7.51160400547235e-08
1871,4.0360472297606975e-08
1872,1.0461896815527894e-07
1873,4.968383748860106e-08
1874,7.348769270887345e-08
1875,4.062284375550007e-08
1876,4.413590914964516e-08
1877,4.205674775104029e-08
1878,6.1598702083554e-08
1879,4.154341226580982e-08
1880,2.5671385017744797e-08
1881,5.996356577941953e-08
1882,7.121261802467416e-08
1883,5.3714381609282214e-08
1884,7.922036093788165e-08
1885,1.1795513055190554e-07
1886,1.1164492352833122e-07
1887,8.81404808028563e-08
1888,6.086990111953128e-08
1889,5.012109305368995e-08
1890,7.603088292285065e-08
1891,5.673055980537356e-08
1892,4.325273650351846e-08
1893,5.2962381147381166e-08
1894,5.986462214835342e-08
1895,7.643640742571733e-08
1896,8.196870027177283e-08
1897,5.884980680548324e-08
1898,7.412445246490762e-08
1899,7.95971288880537e-08
1900,5.762068977510637e-08
1901,6.930036278163243e-08
1902,5.057592461499283e-08
1903,8.640352433531007e-08
1904,6.288311293900506e-08
1905,6.296125898419547e-08
1906,4.989858837234351e-08
1907,6.274268571360153e-08
1908,6.139236496949252e-08
1909,7.811396551815619e-08
1910,7.1077202790093e-08
1911,4.788336838146279e-08
1912,4.167537070998151e-08
1913,6.681766923088972e-08
1914,3.750176347239176e-08
1915,4.476689596799588e-08
1916,5.6036057571873243e-08
1917,1.973956464951243e-08
1918,5.168869421368072e-08
1919,2.6702760891339494e-08
1920,2.0445026116533427e-08
1921,5.1494681851949053e-08
1922,4.0578644444622114e-08
1923,3.715581797791856e-08
1924,2.1915761649893284e-08
1925,2.1996356736053713e-08
1926,2.7865345586519652e-08
1927,3.0102906833917586e-08
1928,2.170947865920425e-08
1929,2.6736975300423182e-08
1930,3.571225093423891e-08
1931,3.307553431142196e-08
1932,5.041386874626852e-08
1933,5.1617981000617874e-08
1934,3.2350264689284813e-08
1935,3.4708023122220766e-08
1936,3.3949201672101026e-08
1937,2.7700460147883632e-08
1938,2.8523472250796544e-08
1939,3.211750509990452e-08
1940,4.057252622757801e-08
1941,6.198155277914452e-08
1942,3.6410540360520827e-08
1943,3.4838823381733164e-08
1944,1.6065930807940276e-08
1945,2.178504132643866e-08
1946,1.6705325123211878e-08
1947,1.7881307101674793e-08
1948,3.3702851842676296e-08
1949,2.7487622844546422e-08
1950,4.679559140186029e-08
1951,3.411648485940333e-08
1952,1.8980646387944944e-08
1953,3.3398865895151175e-08
1954,2.247683283940205e-08
1955,3.378819002364253e-08
1956,1.4825940475304833e-08
