year,deux_DET airs_NOUN,deux_DET fers_NOUN
1800,1.131899196593622e-07,2.2323567350213125e-07
1801,4.286128785224719e-08,1.9049460320275102e-07
1802,3.1329761895904085e-08,4.2518962573012686e-08
1803,9.166594594489652e-08,5.655983770225248e-08
1804,6.921182338359699e-08,5.6852570651244605e-08
1805,1.2224374312808095e-07,9.665784261869703e-08
1806,4.8988376022407465e-08,6.627838899930794e-08
1807,6.547996633798903e-08,2.562259560079383e-08
1808,1.1556977064230978e-07,2.945896149242344e-08
1809,6.09938268780752e-08,6.325285362152044e-08
1810,3.97821557918121e-08,6.084329839950442e-08
1811,8.77476873384353e-08,5.766276700569506e-08
1812,5.3344166417446104e-08,1.440292436427626e-07
1813,1.5241430628698538e-07,4.3136125782439194e-08
1814,8.81069599500961e-08,1.6362720600682223e-07
1815,5.664169400176888e-08,4.5852800667489646e-08
1816,4.6352077731626196e-09,7.184571870766376e-08
1817,3.42512151974006e-08,2.335310045342709e-08
1818,6.079800130009971e-08,3.457141417584353e-08
1819,4.5544620519422097e-08,3.415846450138815e-08
1820,5.3399165977907614e-08,4.034603406921633e-08
1821,1.4792232327920374e-08,4.43766958735381e-08
1822,5.514088741165324e-08,9.223566621585633e-08
1823,1.680056804787e-08,5.336650910070517e-08
1824,6.06320114115988e-08,1.1621135787009962e-07
1825,3.78634048558979e-08,7.308517946391646e-08
1826,2.9947145208097936e-08,1.1009980083187543e-07
1827,5.7147091836462494e-08,5.346018516760864e-08
1828,7.888178754633657e-08,5.503380623439469e-08
1829,6.086954873474326e-08,7.287199910166464e-08
1830,4.5922077696047836e-08,5.740259689801519e-08
1831,5.145097770054008e-08,6.392394169552063e-08
1832,2.8412935559885e-08,9.606278439378002e-08
1833,4.865123881536704e-08,7.992703654480238e-08
1834,4.853956059314157e-08,8.961150044228816e-08
1835,4.0840674842002045e-08,9.605121675804185e-08
1836,5.578222345148376e-08,8.064899859050456e-08
1837,6.88831186534955e-08,6.470838531669187e-08
1838,4.229148320433751e-08,8.268932338850732e-08
1839,3.2859933885021064e-08,6.502071603353698e-08
1840,4.33138822586443e-08,9.873017603467815e-08
1841,7.512042010660025e-08,6.356342741042909e-08
1842,3.8237111255057243e-08,6.641182359601316e-08
1843,6.143187425422525e-08,6.55667129478843e-08
1844,3.45779343491337e-08,4.8848196154693824e-08
1845,4.7431936656128215e-08,5.636030220301791e-08
