year,leurs_DET eaux_NOUN
1800,2.37384421630793e-06
1801,2.4002320841987057e-06
1802,2.9673759058823634e-06
1803,2.1278201174368405e-06
1804,3.220821721328093e-06
1805,2.1748014358280443e-06
1806,1.948008243601862e-06
1807,2.334503134804322e-06
1808,2.0893201906346803e-06
1809,2.069272007076961e-06
1810,2.2114197371081445e-06
1811,1.9028712952007254e-06
1812,2.02974537266698e-06
1813,1.9785103546610117e-06
1814,1.9540865867639923e-06
1815,1.801745327156823e-06
1816,1.5921939109375671e-06
1817,1.3046598770216633e-06
1818,1.6534673044077408e-06
1819,1.3715141626846616e-06
1820,1.664867284034699e-06
1821,1.3411623509540505e-06
1822,1.7695212051194176e-06
1823,1.4280482449890997e-06
1824,1.7524335866880847e-06
1825,1.8350543555811782e-06
1826,1.8408687090243347e-06
1827,1.3263655525008744e-06
1828,1.5528705574752166e-06
1829,1.8449474730175552e-06
1830,1.7147720896559804e-06
1831,1.8849768714801485e-06
1832,1.4341768022063661e-06
1833,2.2703911355392847e-06
1834,1.9247802338639985e-06
1835,1.8537128951834347e-06
1836,1.6707784595837438e-06
1837,1.6810264291677868e-06
1838,1.8191650958954142e-06
1839,1.5234424424193094e-06
1840,1.603250655790589e-06
1841,1.357303966997847e-06
1842,1.4758182649288187e-06
1843,1.3916682206627229e-06
1844,1.4314167691154012e-06
1845,1.4346766352701934e-06
1846,1.3178481932385466e-06
1847,1.2911377176294536e-06
1848,1.242986698457571e-06
1849,1.4136072472581418e-06
1850,1.3306432302684357e-06
1851,1.3118157955460674e-06
1852,1.3424744675916145e-06
1853,1.461928928137013e-06
1854,1.3550292843333978e-06
1855,1.4100531942062844e-06
1856,1.3900753312867664e-06
1857,1.4498081668534724e-06
1858,1.3071008506670978e-06
1859,1.2455456204207849e-06
1860,1.2436208720600916e-06
1861,1.342634897483208e-06
1862,1.3874736257690756e-06
1863,1.2971030667330297e-06
1864,1.458556289080093e-06
1865,1.2684945289720417e-06
1866,1.2431641103205493e-06
1867,1.1714686873887104e-06
1868,1.3061026660210473e-06
1869,1.3317356568620653e-06
1870,1.406562120109811e-06
1871,1.1173478124959502e-06
1872,1.1465755296313773e-06
1873,1.2187505653571407e-06
1874,1.3251683341763965e-06
1875,1.2764727213010474e-06
1876,1.4395560707924915e-06
1877,1.478171014923646e-06
1878,1.2029865033014175e-06
1879,1.3183924245652179e-06
1880,1.2457039346713827e-06
1881,1.3680059565146507e-06
1882,1.1893173095245402e-06
1883,1.2802980187132107e-06
1884,1.1658596577035496e-06
1885,1.3155542504250661e-06
1886,1.0938621457512454e-06
1887,1.1477849781726945e-06
1888,1.0512739123669235e-06
1889,1.122712486534283e-06
1890,1.1135903026371352e-06
1891,9.873666328985564e-07
1892,1.2223599092919812e-06
1893,1.1091308387278787e-06
1894,1.182798868626378e-06
1895,1.0255718585483464e-06
1896,1.116897330177835e-06
1897,9.142113661653184e-07
1898,1.0864041177782724e-06
1899,9.535072944544254e-07
1900,1.0812963360251615e-06
1901,1.02273922308882e-06
1902,8.376944222732163e-07
1903,9.909404106167585e-07
1904,9.486213539133814e-07
1905,1.0636324176971357e-06
1906,1.0067168751959343e-06
1907,1.030111567601466e-06
1908,1.0613511740587e-06
1909,8.565031279772484e-07
1910,1.091810023723383e-06
1911,9.816089772129999e-07
1912,8.710152243907032e-07
1913,8.452965651883915e-07
1914,9.187932459298054e-07
1915,8.505709878647849e-07
1916,8.097759307545971e-07
1917,8.246751193041746e-07
1918,7.546549269932257e-07
1919,6.832223444774854e-07
1920,6.565124976987136e-07
1921,7.345565116168018e-07
1922,8.366578896357169e-07
1923,7.484243660371703e-07
1924,8.792087937692372e-07
1925,9.579412996174597e-07
1926,7.612812815693815e-07
1927,7.726413127073783e-07
1928,8.032506730870637e-07
1929,8.656096017745085e-07
1930,7.100435919227266e-07
1931,7.00288884658562e-07
1932,8.121016694673244e-07
1933,6.744749416753848e-07
1934,6.110605959008808e-07
1935,6.259412757003702e-07
1936,7.068708445245875e-07
1937,7.013253018328669e-07
1938,6.210337772927232e-07
1939,7.310556071615792e-07
1940,7.50591727438632e-07
1941,7.644391892824842e-07
1942,7.555187195862345e-07
1943,6.067761706418651e-07
1944,5.815866721547991e-07
1945,5.315549813644793e-07
1946,5.554520754458281e-07
1947,4.816031857757253e-07
1948,4.7510149592255857e-07
1949,6.253434357006427e-07
1950,6.26422774985258e-07
1951,6.51411619756459e-07
1952,6.35851671759724e-07
1953,6.572034489948919e-07
1954,5.482392735345343e-07
1955,5.302868579803999e-07
1956,5.119310024781498e-07
1957,5.48655819443411e-07
1958,5.931198465702892e-07
1959,5.138746086430501e-07
1960,4.830741744399347e-07
1961,4.947089333739996e-07
1962,4.718415551607791e-07
1963,4.972395082347703e-07
1964,5.305220174278702e-07
1965,4.492547596157692e-07
1966,4.7248308021607954e-07
1967,4.5457693609307626e-07
1968,5.048351185976685e-07
1969,5.068601822699748e-07
1970,4.796470083334725e-07
1971,4.83523194816371e-07
1972,5.022413542832282e-07
1973,4.972909701805861e-07
1974,4.7029780070317884e-07
1975,4.2836102398524645e-07
1976,4.86221148676691e-07
1977,4.266543554010127e-07
1978,4.556433665925397e-07
1979,3.9149702502072614e-07
1980,4.349140336756818e-07
1981,3.529656584788654e-07
1982,4.1714415122129367e-07
1983,3.8333967289361226e-07
1984,4.0477079465972565e-07
1985,3.9702681675635176e-07
1986,3.3089560824706155e-07
1987,3.8375929101164274e-07
1988,3.1601838568207086e-07
1989,3.709970526344364e-07
1990,4.173666727780301e-07
1991,3.1182993787126634e-07
1992,3.818391354215578e-07
1993,3.1628873653488654e-07
1994,3.492001487970242e-07
1995,3.134176509433928e-07
1996,3.4484074618035265e-07
1997,3.2988873677197716e-07
1998,3.156501664491884e-07
1999,3.656160831866373e-07
2000,3.127966237137514e-07
2001,3.0537047379652904e-07
2002,3.369159262689436e-07
