year,certains_DET arts_NOUN,certains_DET phares_NOUN
1800,2.138031907072957e-07,0.0
1801,1.262026785298076e-07,0.0
1802,2.215461734067503e-07,0.0
1803,1.6967951932400638e-07,0.0
1804,7.662737822045074e-08,0.0
1805,1.8762993203580436e-07,0.0
1806,1.1238509411981568e-07,0.0
1807,1.366538477931556e-07,0.0
1808,9.064295980465431e-08,0.0
1809,1.897585681920333e-07,0.0
1810,8.190443878675069e-08,0.0
1811,1.0780430237389282e-07,0.0
1812,5.601137331723294e-08,0.0
1813,1.4378708579343424e-07,0.0
1814,1.1957372869630944e-07,0.0
1815,8.631115377966125e-08,0.0
1816,9.502176112619054e-08,0.0
1817,9.341240581051125e-08,0.0
1818,1.287487094714379e-07,0.0
1819,1.5837106825955516e-07,0.0
1820,1.198514629763281e-07,0.0
1821,9.960103142248045e-08,0.0
1822,9.42407893944619e-08,0.0
1823,7.609668983832307e-08,0.0
1824,9.768490372152883e-08,0.0
1825,7.572681326450947e-08,0.0
1826,9.864942285275902e-08,0.0
1827,8.387718669622402e-08,0.0
1828,1.2474329480482993e-07,0.0
1829,1.4488666977285902e-07,0.0
1830,6.888311787633938e-08,0.0
1831,6.548306430431694e-08,0.0
1832,1.2582871122823747e-07,2.705993873419743e-09
1833,9.730247718664486e-08,0.0
1834,1.278830694673161e-07,0.0
1835,1.474802147072296e-07,0.0
1836,6.855165390895479e-08,0.0
1837,9.949783930096601e-08,0.0
1838,7.322107919982557e-08,0.0
1839,1.58706493280647e-07,0.0
1840,8.344292168338541e-08,0.0
1841,7.447836170015876e-08,0.0
1842,8.519496930148307e-08,6.708265054555795e-10
1843,1.1045923831165538e-07,0.0
1844,8.287727304434611e-08,0.0
1845,8.14713265739897e-08,0.0
1846,7.962121628679597e-08,5.854501328173001e-10
1847,7.820174552364278e-08,0.0
1848,6.436177102386864e-08,0.0
1849,5.781796286186136e-08,0.0
1850,5.906426547852561e-08,2.0366988096043315e-09
1851,7.997303996809535e-08,1.2898877521649865e-09
1852,1.0351767087968256e-07,1.9531636308300904e-09
1853,8.002388751648937e-08,1.7915795513800958e-09
1854,7.793496870078798e-08,1.558699391779328e-09
1855,5.73149208094037e-08,1.5920811335945473e-09
1856,6.730346002736809e-08,5.177189121852166e-09
1857,5.906625943907784e-08,0.0
1858,7.193703849273092e-08,4.893676019968041e-10
1859,8.453007716013872e-08,0.0
1860,6.453829115571352e-08,0.0
1861,6.413710473829326e-08,2.3579818653196583e-09
1862,1.0346188705767645e-07,2.710791813242963e-09
1863,6.343168590383641e-08,4.495158911765884e-09
1864,5.0344643343080975e-08,9.589455896019672e-10
1865,1.0213851941998087e-07,0.0
1866,4.525020003143254e-08,4.865612912574591e-10
1867,4.367530337390235e-08,0.0
1868,4.841076517436704e-08,0.0
1869,6.592751178313705e-08,1.0255390314739543e-08
1870,4.587239077480376e-08,1.4335122422437507e-08
1871,3.3987767267262825e-08,0.0
1872,5.321658669288354e-08,1.8142017887967654e-09
1873,8.619846347812654e-08,5.986004469882289e-10
1874,5.556386495353394e-08,4.182226565063729e-09
1875,4.1194995414883806e-08,5.149374260327022e-09
1876,8.343500290663997e-08,6.650616279912924e-09
1877,4.453067670162625e-08,1.8554447978047506e-09
1878,6.280652076195992e-08,6.039088673581716e-10
1879,6.659164597522249e-08,6.10932526790009e-10
1880,6.161132515281054e-08,8.343199908722454e-09
1881,7.39085828649344e-08,2.789003084036068e-09
1882,3.5273542087210785e-08,3.9932310791357395e-09
1883,6.635305815905213e-08,0.0
1884,7.327883810859248e-08,3.9610181801208455e-09
1885,4.576401479994274e-08,6.445635691854079e-10
1886,3.549405036551434e-08,1.936039106809062e-09
1887,5.876032305174306e-08,5.876032105334161e-09
1888,5.7699594435689505e-08,1.0779044989916997e-08
1889,3.633779471767795e-08,6.265136853755848e-09
1890,3.473824827793237e-08,1.3108772956016423e-09
1891,3.888274235919198e-08,0.0
1892,1.6924984080901595e-08,0.0
1893,3.571881679320654e-08,1.847525021858587e-09
1894,3.7179081147087345e-08,6.301539290376468e-10
1895,3.4907965629216164e-08,2.4074457982692365e-09
1896,4.5996825681626774e-08,7.66613794667137e-09
1897,4.0786996224895233e-08,8.740070556179091e-09
1898,4.300349853991747e-08,1.0185038590293516e-08
1899,3.924580660452648e-08,1.6582735185011188e-08
1900,6.592637524782674e-08,6.7483690857628176e-09
1901,3.8003424962518295e-08,1.173635155726771e-08
1902,3.535404291543642e-08,2.455141867585553e-09
1903,2.754112315983548e-08,2.7001101354784396e-09
1904,3.3860138692887176e-08,3.2247751136083025e-09
1905,3.35449330535198e-08,2.5803795211665204e-09
1906,3.035068818491027e-08,1.5432553013283723e-09
1907,4.0628463260361514e-08,2.057137349353866e-09
1908,2.504808493952737e-08,7.858222517143076e-09
1909,5.005895165055563e-08,4.950885368337765e-09
