year,leurs_DET in_ADJ,leurs_DET fines_ADJ
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,1.729001475325731e-08,0.0
1807,8.540865792383556e-09,1.1387820464392462e-08
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,9.270415546325239e-09,0.0
1817,7.784366928831332e-09,0.0
1818,1.5497530370112145e-08,0.0
1819,7.24573512300708e-09,5.175524897538253e-09
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,9.861488514673056e-09,9.861488514673056e-09
1822,6.015369535816717e-09,3.0076847679083585e-09
1823,1.087095569118901e-08,0.0
1824,8.421112696055388e-09,0.0
1825,7.924898959288385e-09,0.0
1826,1.4092774947016551e-08,7.0463874735082754e-09
1827,1.013900075008678e-08,0.0
1828,1.2841221419535032e-08,1.4675682002973645e-08
1829,7.715858174606183e-09,1.714635211591542e-09
1830,1.1480519646056564e-08,0.0
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,5.791814139399776e-09,4.6334514003376626e-09
1834,9.334531370086552e-09,2.8003592777992026e-09
1835,1.3613558280667348e-08,1.5126175867408165e-09
1836,1.008112526790228e-08,1.3441500135158435e-09
1837,5.5663127440652715e-09,1.3915781860163179e-09
1838,1.7674054220151447e-08,5.049729523420865e-09
1839,4.194885327990505e-09,1.3982950353153e-09
1840,5.732719632334238e-09,3.821813088222825e-09
1841,1.926164561183441e-09,1.2841097074556274e-09
1842,7.379091560011375e-09,1.1404051036834062e-08
1843,4.134837805480629e-09,1.535796845253401e-08
1844,6.037417232818143e-09,1.097712254427563e-09
1845,6.696273757711424e-09,0.0
1846,5.269050973311096e-09,8.196302303531411e-09
1847,1.0247124926365814e-08,2.2651539310913904e-08
1848,7.24069959545659e-09,7.24069959545659e-09
1849,7.54147322368226e-09,2.5976186535103807e-08
1850,4.752297222410107e-09,1.765138968323754e-08
1851,5.8044946626978344e-09,1.1608989325395669e-08
1852,4.557382027314816e-09,2.2135854038651814e-08
1853,8.957897534855874e-09,8.360704129017904e-09
1854,4.676098175337984e-09,2.0263090760863633e-08
1855,2.653468555990912e-09,3.502578493908004e-08
1856,3.6240324075009767e-09,1.1907535402144731e-08
1857,2.4407544874094356e-09,1.2691924067276261e-08
1858,5.3830437884982985e-09,1.565976326389773e-08
1859,9.165912473463322e-09,1.6804172275897145e-08
1860,1.1442959468865865e-08,1.5104706818647173e-08
1861,7.545541969022906e-09,1.6505872502126095e-08
1862,7.228778020618165e-09,2.5752521892741242e-08
1863,3.995696662428827e-09,1.048870412745373e-08
1864,5.274200631788517e-09,2.205574922697906e-08
1865,3.294791106611683e-09,2.4946275767323556e-08
1866,1.1677471434268227e-08,2.1895258939252926e-08
1867,1.6014277903764196e-08,2.0867089389753346e-08
1868,6.915823469455518e-09,1.086772305480821e-08
1869,5.371870948067681e-09,1.6115613288292252e-08
1870,1.0321287824410774e-08,2.9243648835830527e-08
1871,3.18635318130589e-09,2.0180236148803488e-08
1872,8.4662747923403e-09,3.62840353318461e-08
1873,5.9860045809045914e-09,1.1373408881354408e-08
1874,4.779687312606029e-09,1.3741601412320392e-08
1875,1.1443054281912168e-09,2.7463329388410784e-08
1876,2.418405919968336e-09,1.813804395567331e-08
1877,4.9478527941460015e-09,2.96871163207868e-08
1878,3.0195443923020093e-09,1.5701630218245555e-08
1879,2.443730107160036e-09,1.588424503040642e-08
1880,5.134277003548959e-09,1.4761046607247863e-08
1881,2.091752326904839e-09,1.743126887276958e-08
1882,2.6621540527571597e-09,4.0597847528189845e-08
1883,3.791603475633565e-09,2.5909290046755018e-08
1884,1.9805090900604227e-09,1.9805090900604227e-08
1885,7.7347630522695e-09,2.8360796378024133e-08
1886,9.680196200179125e-09,2.3877817056927597e-08
1887,7.1818169189441505e-09,2.9380160526670807e-08
1888,5.706553452000662e-09,1.8387781963724592e-08
1889,1.2530273485467092e-09,3.633779144252003e-08
1890,5.243509182406569e-09,2.2940351840361473e-08
1891,5.099376032546843e-09,4.8444073086351125e-08
1892,0.0,3.008885940403161e-08
1893,6.15841644346915e-09,1.7859408174558666e-08
1894,4.411077725308132e-09,3.717908314548879e-08
1895,5.416753268150387e-09,2.768562623600701e-08
1896,1.0614652268259306e-08,2.889544148398926e-08
1897,2.330685422435863e-09,3.554295346930303e-08
1898,2.8291773368493978e-09,3.225262190653666e-08
1899,2.7637891975018647e-09,2.1557555740514545e-08
1900,2.07642125715779e-09,4.04902142925323e-08
1901,2.235495566438317e-09,2.738482152153665e-08
1902,4.419255628107521e-09,2.9461703132671602e-08
1903,7.020286574288548e-09,3.6181476925634115e-08
1904,4.299700151477737e-09,3.3860139581065596e-08
1905,7.2250627702885595e-09,2.4255568054076804e-08
1906,5.658602919567102e-09,2.366324958202881e-08
1907,6.685696440911215e-09,2.8799923112998727e-08
1908,2.9468334439286537e-09,3.388858438313491e-08
1909,4.400786846048277e-09,2.6954818821423032e-08
1910,3.206490406526541e-09,3.153048833137717e-08
1911,5.3203743632934675e-09,2.819798339270818e-08
1912,2.6047106693738442e-09,2.2921453179947093e-08
1913,6.893886794756554e-09,3.499973133536116e-08
1914,4.018046340092951e-09,2.6786974693937537e-08
1915,1.1780761921542648e-09,2.3561524287174507e-08
1916,7.69122365795738e-09,2.7468654906215306e-08
1917,4.386569774084137e-09,3.5092558192673096e-08
1918,3.44591288836682e-09,6.89182577673364e-09
1919,4.603924352863942e-09,2.762354567309444e-08
1920,7.572231730534895e-09,1.817335615328375e-08
1921,1.5145494858259667e-09,2.7261890522822796e-08
1922,4.426761179843197e-09,2.4347187377316004e-08
1923,1.0615948120573648e-09,2.7601464669402276e-08
1924,1.289162443462999e-09,1.5469949543600592e-08
1925,4.399271169575059e-09,3.6293987148994233e-08
1926,1.1146138456652466e-09,2.3406890647947876e-08
1927,3.3447675740205796e-09,3.2332752919472796e-08
1928,3.4278122562625413e-09,2.742249938236796e-08
1929,2.2280812750352652e-09,1.893869061575515e-08
1930,5.2518016602221e-09,2.10072066408884e-08
1931,0.0,3.079446386777818e-08
1932,2.1919073223131136e-09,2.301502632917618e-08
1933,3.4411986593596566e-09,1.261772819560747e-08
1934,2.3963160344919743e-09,2.3963160344919743e-08
1935,0.0,1.196828414151696e-08
1936,4.849885826274658e-09,3.03117859701274e-08
1937,2.5182236296217297e-09,2.2664012888640173e-08
1938,0.0,1.8151300906765755e-08
1939,1.5294050470515685e-09,3.6705721129237645e-08
1940,0.0,2.028626333583361e-08
1941,5.9030051957620344e-09,4.132103725851266e-08
1942,0.0,1.517105907566929e-08
1943,8.709705845433291e-09,3.774205836748479e-08
1944,3.2131861615880553e-09,1.927911696952833e-08
1945,0.0,1.742803235060819e-08
1946,5.568441707737293e-09,1.80974355501462e-08
1947,8.344609447874518e-09,2.622591566137089e-08
1948,3.2615663503321457e-09,1.3046265401328583e-08
