year,molécules_NOUN in_ADJ,molécules_NOUN fines_ADJ
1800,0.0,2.829747991484055e-08
1801,1.6668277424969347e-08,1.4287095950749062e-08
1802,0.0,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,0.0,2.4718509905596875e-08
1805,8.528632911009026e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,9.341240669868967e-09,0.0
1818,8.344824387052086e-09,0.0
1819,0.0,0.0
1820,0.0,1.4239777357261119e-08
1821,0.0,0.0
1822,5.012807946513931e-09,0.0
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,1.6842225392110777e-09,0.0
1825,0.0,2.0252519661312363e-08
1826,0.0,5.284790383086602e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,1.8344602503717056e-09
1829,8.57317605795771e-10,3.429270423183084e-09
1830,0.0,0.0
1831,0.0,6.236482441579483e-09
1832,4.058990921151917e-09,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,3.025235173481633e-09,0.0
1836,6.720750067579218e-10,6.720750067579218e-10
1837,0.0,3.478945576063097e-09
1838,0.0,0.0
1839,0.0,4.894032734625853e-09
1840,0.0,0.0
1841,0.0,3.852329122366882e-09
1842,0.0,1.341653010911159e-09
1843,0.0,0.0
1844,1.6465684371524958e-09,4.390849017710252e-09
1845,5.580227946389016e-10,3.9061593959388574e-09
1846,0.0,1.1709002656346001e-09
1847,5.393223645455691e-10,3.775256551818984e-09
1848,0.0,1.6090443422100975e-09
1849,2.513824481908955e-09,5.865590679832167e-09
1850,6.788996032014438e-10,4.073397619208663e-09
1851,0.0,1.0319102017319892e-08
1852,0.0,3.2552727180501506e-09
1853,0.0,2.9859659189668264e-09
1854,0.0,3.117398783558656e-09
1855,1.0613874223963649e-09,3.1841622671890946e-09
1856,0.0,0.0
1857,4.881509085841174e-10,1.0739319655783675e-08
1858,0.0,2.4468380654951716e-09
1859,5.092173349652285e-10,5.092173349652285e-10
1860,0.0,0.0
1861,4.715963730639317e-10,9.431927461278633e-10
1862,0.0,2.2589932147099034e-09
1863,0.0,0.0
1864,0.0,4.794727948009836e-10
1865,4.706844358715045e-10,4.000817810378976e-08
1866,4.865612912574591e-10,2.432806400776144e-09
1867,0.0,2.426405742994575e-09
1868,1.4819622196071691e-09,1.975949626142892e-09
1869,9.767038289254515e-10,4.883519366671862e-09
1870,0.0,3.4404292748035914e-09
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,1.7923826867161097e-09
1875,0.0,1.716458086775674e-09
1876,0.0,6.04601479992084e-09
1877,0.0,3.0924081073635534e-09
1878,0.0,3.0195443923020093e-09
1879,0.0,6.10932526790009e-10
1880,0.0,3.2089231272180996e-09
1881,0.0,2.7890030285249168e-09
1882,0.0,3.9932310791357395e-09
1883,0.0,1.2638677882037541e-09
1884,0.0,0.0
1885,0.0,3.2228177904158883e-09
1886,0.0,6.453463874400711e-10
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,6.265136742733546e-10
1890,0.0,0.0
1891,0.0,2.5496880162734215e-09
1892,6.268512375839919e-10,6.268512375839919e-10
1893,0.0,0.0
1894,0.0,2.520615716150587e-09
1895,6.018614495673091e-10,0.0
1896,0.0,5.89702897624278e-10
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,5.191053142894475e-10,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,2.6873125946735854e-09,0.0
1905,5.160759042333041e-10,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,4.911389073214423e-10,9.822778146428846e-10
1909,0.0,0.0
1910,0.0,2.137660271017694e-09
1911,0.0,0.0
1912,0.0,0.0
1913,5.30298971401777e-10,0.0
1914,6.696743715117748e-10,1.3393487430235496e-09
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,7.377935484775833e-10,0.0
1923,1.0615948120573648e-09,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,2.100720708497761e-09,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,2.5930428915188486e-09
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
