year,deux_DET eaux_NOUN,deux_DET faux_ADJ
1800,3.8673223912155663e-07,5.0306631749208464e-08
1801,3.119349116786907e-07,1.2382149350287364e-07
1802,7.250602038766374e-07,7.161088433349505e-08
1803,2.554944273924775e-07,7.21625545985205e-08
1804,2.644880510160874e-07,9.393033728599676e-08
1805,3.0703080255989335e-07,6.822906328807221e-08
1806,1.556101381083863e-07,8.645007643082181e-08
1807,1.9074599322266295e-07,4.839823830593559e-08
1808,3.580396992219903e-07,2.945896149242344e-08
1809,4.947276579514437e-07,4.5180612140427456e-08
1810,2.0593115834799391e-07,9.828532121503031e-08
1811,2.1310152220621603e-07,6.016984244183732e-08
1812,1.2802598803318688e-07,1.1202274663446588e-07
1813,3.077043686516845e-07,5.463909147351842e-08
1814,9.125363931161701e-08,5.97868634599763e-08
1815,1.4834729711310501e-07,3.776112933451259e-08
1816,3.383701709935849e-07,5.0987283728431976e-08
1817,1.977229260319291e-07,7.472992535895173e-08
1818,2.84916149784209e-07,9.179306426077005e-08
1819,2.6291667154509923e-07,1.1696686819107072e-07
1820,1.96983592104516e-07,6.051905376835975e-08
1821,2.1202200173320307e-07,4.3390548487565184e-08
1822,1.5539704634193185e-07,2.90742860897808e-08
1823,1.9765373338032077e-07,7.807322921493665e-08
1824,1.8779081756292726e-07,1.541063667787057e-07
1825,2.606411271255382e-07,9.33376937961583e-08
1826,3.805049288985174e-07,5.372870504061211e-08
1827,2.562401846262219e-07,4.239945700090786e-08
1828,1.742737225640667e-07,9.44747036157878e-08
1829,2.734843072005333e-07,4.2865881511033876e-08
1830,2.2752301731543412e-07,7.93199514959042e-08
1831,2.229542468423773e-07,5.9246584083183507e-08
1832,2.1783250758744543e-07,3.6530917402188834e-08
1833,2.6294836175111413e-07,7.297685833407286e-08
1834,2.5016544213940506e-07,5.694063709427155e-08
1835,2.9269151013977535e-07,6.958040899007756e-08
1836,2.1371985781115654e-07,8.736975143364134e-08
1837,3.082345728655511e-07,9.671468470529021e-08
1838,2.379685055675651e-07,8.900148618096182e-08
1839,1.8177836125232716e-07,7.620708242228602e-08
1840,1.9554944685751252e-07,9.745623508194967e-08
1841,2.3370796498056734e-07,3.9165344745129005e-08
1842,1.9319803179485007e-07,6.574099975509284e-08
1843,1.9374668625005143e-07,6.084118364668711e-08
1844,1.877087925095111e-07,4.8299340082991193e-08
1845,2.2209307815046486e-07,7.086889608487468e-08
1846,2.3944911009543546e-07,7.02540154939868e-08
1847,1.65032645327301e-07,6.040410571728216e-08
1848,1.5125016261663404e-07,9.332457495681012e-08
1849,1.5585712276333652e-07,4.105913298246833e-08
1850,1.6904599853262425e-07,5.2275267670154335e-08
1851,1.5027193001060368e-07,7.48134931782829e-08
1852,2.0833745395520964e-07,5.989701890030119e-08
1853,2.538071157687227e-07,4.658106700361486e-08
1854,1.8964175563240815e-07,6.962190335357832e-08
1855,2.3668939874710304e-07,4.5108965451845506e-08
1856,1.8275478141926982e-07,3.624032363092056e-08
1857,2.7580525463477557e-07,5.174399753116177e-08
1858,2.025981833408963e-07,8.123502226453638e-08
1859,2.597008528226752e-07,5.0412516827691434e-08
1860,2.4716792201839866e-07,7.140407198846788e-08
1861,2.1316155418560356e-07,6.272231650727988e-08
1862,2.512000492060906e-07,7.816116487369129e-08
1863,2.2625632700723486e-07,7.991393202733121e-08
1864,3.1932889443808676e-07,6.952355668943255e-08
1865,3.0406213258338255e-07,7.907498300596671e-08
1866,3.0604706369175005e-07,6.763201598758428e-08
1867,2.0964146330015865e-07,7.08510476954416e-08
1868,3.7197252522602753e-07,3.7543043118759556e-08
1869,2.500361775403803e-07,7.032267923534619e-08
1870,2.9645032917358094e-07,4.4152176581491176e-08
1871,3.313807326321694e-07,4.142259002470894e-08
1872,2.3100835733202985e-07,6.228759552584506e-08
1873,2.4722197355941944e-07,6.764185345176088e-08
1874,2.4973866263877653e-07,5.138164027584935e-08
1875,3.2269414429464405e-07,6.80861708124425e-08
1876,2.9867314310649817e-07,4.29267066337502e-08
1877,3.6861502650253897e-07,4.4530675591403224e-08
1878,2.6571990474622e-07,4.4085348593903007e-08
1879,3.048553307571922e-07,3.0546625673366634e-08
1880,2.7147488346201953e-07,6.225311088847718e-08
1881,3.158545851533745e-07,3.416528659982987e-08
1882,3.108064907664243e-07,3.394246528287681e-08
1883,3.4756363653798417e-07,8.278333663014337e-08
1884,3.630933216314247e-07,5.6114423330200225e-08
1885,2.945655560582239e-07,5.4787904435471546e-08
1886,3.4913240387624e-07,3.2267317928713624e-08
1887,3.832478638887693e-07,3.133883863526421e-08
1888,3.265416665954035e-07,5.199304098368884e-08
1889,2.618827292799608e-07,4.322944313628341e-08
1890,2.91670203989014e-07,6.685474218670606e-08
1891,2.5305653839069464e-07,5.418086868047567e-08
1892,2.3757662592771567e-07,4.8267543961699744e-08
1893,2.4818419330774333e-07,4.3724757148311255e-08
1894,2.6340435121952055e-07,2.8356926362604895e-08
1895,2.5518925816925275e-07,3.7315410317262376e-08
1896,2.2054888337841305e-07,3.3023361822870356e-08
1897,3.123118581527251e-07,4.370035289191776e-08
1898,2.3878257504605926e-07,5.26226993091683e-08
1899,3.0346405388570474e-07,4.9748203778676725e-08
1900,2.922562937213158e-07,7.47511634813236e-08
1901,2.0957771351692855e-07,3.1855812210324075e-08
1902,2.563168124414261e-07,5.3031064428665786e-08
1903,2.543503780927381e-07,5.6162290817951543e-08
1904,3.257022891389738e-07,3.171028950532673e-08
1905,3.158384638268785e-07,4.7995060203920303e-08
1906,2.6441109790553696e-07,3.858138430956615e-08
1907,3.342848184928471e-07,3.291419758966185e-08
1908,3.153111804987674e-07,3.290630701258124e-08
1909,3.2455802134734313e-07,5.170924610720107e-08
1910,3.014100866671754e-07,3.313373486690807e-08
1911,2.2185960579790276e-07,4.5755217059628706e-08
1912,2.7870402474761136e-07,6.563870869058519e-08
1913,2.487102257475726e-07,5.409049519400355e-08
1914,2.2634993790404678e-07,2.142958016593255e-08
1915,4.1703897180056515e-07,3.180805663305364e-08
1916,2.5820535798359856e-07,3.186363883855847e-08
1917,2.9499682341338485e-07,9.321460514577495e-08
1918,2.6533529240424514e-07,5.3985966808056673e-08
1919,2.0349345597470148e-07,7.274200175544365e-08
1920,2.1126525950876385e-07,5.906340660999376e-08
1921,2.0219235352669784e-07,4.392193519997534e-08
1922,2.7150802139885855e-07,2.7298361793270942e-08
1923,2.590291372506215e-07,3.715581842200777e-08
1924,2.6427831256725653e-07,2.5783248869259978e-08
1925,2.111650161396028e-07,3.629398648286042e-08
1926,3.2546725425852685e-07,5.127223712264595e-08
1927,3.177529165343529e-07,2.341337179689873e-08
1928,2.742249889386983e-07,4.113374862946273e-08
1929,2.428608536497734e-07,4.67897081080082e-08
1930,2.2897855211923002e-07,2.941009036305786e-08
1931,2.2582605918586296e-07,5.7026784183733525e-08
1932,1.9727166034044785e-07,4.4934099996396526e-08
1933,2.7070761943193133e-07,5.850037831933719e-08
1934,2.132721306224994e-07,5.6313426810561396e-08
1935,2.1901960156611722e-07,4.787313745424626e-08
1936,2.012702564613278e-07,4.486144256077296e-08
1937,2.0523522925586235e-07,3.021868422159457e-08
1938,1.9966430764295495e-07,5.8343464615084883e-08
1939,3.3646911745677244e-07,4.7411557346777045e-08
1940,3.575453888515767e-07,3.550096039361961e-08
