year,énormes_ADJ fautes_NOUN
1800,2.829747991484055e-08
1801,3.095537337571841e-08
1802,1.3427040812530322e-08
1803,2.145373123596528e-08
1804,4.943701892301533e-09
1805,0.0
1806,1.4408345627714425e-08
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,0.0
1810,7.020380277111826e-09
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,3.1466772298927026e-08
1815,2.1577788444915313e-08
1816,4.1716869958463576e-08
1817,4.826307531402563e-08
1818,3.337929754820834e-08
1819,2.070209959015301e-08
1820,1.542642635854463e-08
1821,3.648750634965836e-08
1822,1.7043547018147365e-08
1823,4.348382276475604e-08
1824,1.3473780313688621e-08
1825,4.57883047033647e-08
1826,1.2331177856594877e-08
1827,1.566936447261469e-08
1828,1.834460228167245e-08
1829,3.943661042171698e-08
1830,2.2961039292113128e-08
1831,2.9623292263636358e-08
1832,4.058990654698391e-08
1833,2.3167257001688313e-09
1834,3.360431222176885e-08
1835,2.647080776796429e-08
1836,9.409050427677812e-09
1837,1.87863058442872e-08
1838,2.019891809368346e-08
1839,2.23727205650448e-08
1840,1.592422194107712e-08
1841,1.0272877659645019e-08
1842,1.341653010911159e-08
1843,4.134837805480629e-09
1844,2.140538946093784e-08
1845,1.8414752389617206e-08
1846,2.6930706553685013e-08
1847,2.9123407685460734e-08
1848,2.011305433313737e-08
1849,1.5920887719289567e-08
1850,1.3577992064028876e-08
1851,2.579775504329973e-08
1852,9.765818376195057e-09
1853,2.9262466227919504e-08
1854,2.8056588163849483e-08
1855,2.0166361025530932e-08
1856,9.836659486950339e-09
1857,8.78671624349181e-09
1858,2.202154192332273e-08
1859,1.0693564256314403e-08
1860,1.6020143434047895e-08
1861,1.0375120318428799e-08
1862,8.132375661773494e-09
1863,1.6482248454963155e-08
1864,3.5960461275408306e-08
1865,6.118897832863013e-09
1866,8.271541673821048e-09
1867,1.7955402498159856e-08
1868,1.2349684830326169e-08
1869,1.2697149998075474e-08
1870,2.5803219116937726e-08
1871,2.0180236148803488e-08
1872,3.4469834986339265e-08
1873,1.1373408881354408e-08
1874,1.1351757756017378e-08
1875,2.6319025181464895e-08
1876,1.269663130187837e-08
1877,1.4225077116236662e-08
1878,1.7513357875031943e-08
1879,1.649517855639715e-08
1880,1.5402831010646878e-08
1881,2.4403776777148778e-08
1882,2.1962771157291172e-08
1883,6.319338829996468e-09
1884,5.941527270181268e-09
1885,7.7347630522695e-09
1886,1.4197620856748472e-08
1887,1.9586773092328258e-08
1888,2.0924028731883482e-08
1889,6.891650361495749e-09
1890,1.3108772733971819e-08
1891,7.0116419337296065e-09
1892,9.402768341715273e-09
1893,2.155445777418663e-08
1894,1.2603078580752936e-08
1895,4.213029924926559e-09
1896,2.4177818858106548e-08
1897,6.409385022720926e-09
1898,4.52668391659472e-09
1899,4.4220627160029835e-09
1900,1.557315876254961e-08
1901,1.397184767881754e-08
1902,9.820567470342212e-09
1903,9.720396931811592e-09
1904,1.289910045443321e-08
1905,1.2901897328276846e-08
1906,4.629765903985117e-09
1907,6.685696440911215e-09
1908,1.5225305460830896e-08
1909,1.1001967337165297e-08
1910,9.619471441624228e-09
1911,1.0640748726586935e-08
1912,2.7609932118366487e-08
1913,1.3787773589513108e-08
1914,1.0045115850232378e-08
1915,1.6493066468115103e-08
1916,0.0
1917,1.6449636319748606e-08
1918,2.1824114071478107e-08
1919,7.366278698128781e-09
1920,9.843901693784574e-09
1921,1.2116395886607734e-08
1922,1.4018077365562931e-08
1923,8.492758496458919e-09
1924,2.4494086758863887e-08
1925,1.2097995494286806e-08
1926,1.3375366592072169e-08
1927,8.919379901328739e-09
1928,1.2568645679778001e-08
1929,2.6736975300423182e-08
1930,1.6805765667982087e-08
1931,1.0264820993199919e-08
1932,1.53433514782364e-08
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,5.98414207075848e-09
1936,1.33371855781661e-08
1937,8.813782592653752e-09
1938,3.8895642262559704e-09
1939,1.988226472349197e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,0.0
1945,2.178504132643866e-08
1946,1.1136883415474585e-08
1947,1.549713246618012e-08
1948,3.2615663503321457e-09
1949,9.817008539414473e-09
1950,5.317680518146517e-09
1951,6.396841278899501e-09
1952,5.272402070488624e-09
1953,8.619061908632375e-09
1954,2.052232517257835e-08
1955,1.0324168187025862e-08
1956,7.849027205963921e-09
1957,9.718541527092839e-09
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,1.1073333361366622e-08
1961,7.64297514166401e-09
1962,6.341956293454132e-09
1963,8.405868889838075e-09
1964,1.0951143103454797e-08
1965,4.924839203113152e-09
1966,1.1078149952936656e-08
1967,1.0846738618397467e-08
1968,2.3355362088750553e-08
1969,1.1808570121729645e-08
1970,1.0117195081704722e-08
1971,1.0276794526475896e-08
1972,7.182205497002769e-09
1973,5.513203671370093e-09
1974,5.06301445213353e-09
1975,5.140332159925265e-09
1976,2.285410749536254e-09
1977,5.876781727920388e-09
1978,7.72276909088987e-09
1979,8.192762912528906e-09
1980,8.527726080842513e-09
1981,4.427884725544118e-09
1982,4.966001831974154e-09
1983,1.326216381158929e-08
1984,8.69851302098823e-09
1985,5.414002135495366e-09
1986,9.591176741707841e-09
1987,2.4443267410134695e-09
1988,4.797243047249822e-09
1989,5.488121956886971e-09
1990,9.262707045820662e-09
1991,5.2753188484189195e-09
1992,5.509944056569793e-09
1993,3.877445031719162e-09
1994,3.164955852952289e-09
1995,7.591431483433553e-09
1996,5.3380921904988554e-09
1997,4.315404922294874e-09
1998,7.152193948201102e-09
1999,5.484241505371301e-09
2000,2.2090156370779823e-09
2001,3.066848330846028e-09
2002,3.9430991805033955e-09
2003,3.7502307925763034e-09
2004,3.9643119897903034e-09
2005,2.251874686720612e-09
2006,6.58862386870851e-09
2007,4.393927444112933e-09
2008,1.7029758714315335e-09
2009,2.384096253749135e-09
2010,1.8895172093635892e-09
2011,8.795135286732148e-09
2012,5.446804340891731e-09
2013,8.08846234434668e-09
2014,7.795602385840539e-09
2015,8.86630147078904e-09
2016,8.906762438698479e-09
2017,8.049956257139002e-09
2018,5.937373259712331e-09
2019,6.632568272380013e-09
