year,fonctions_NOUN in_ADJ
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,8.528632911009026e-09
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,1.1700633351097167e-08
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,9.341240669868967e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,5.9168927535324656e-09
1822,6.015369535816717e-09
1823,1.9765373782121287e-09
1824,2.5263338088166165e-09
1825,0.0
1826,2.642395191543301e-09
1827,6.452091305675367e-09
1828,4.586150570418113e-09
1829,1.714635211591542e-09
1830,4.174734336004349e-09
1831,1.5591206103948707e-09
1832,0.0
1833,2.0850531967653296e-08
1834,5.600718555598405e-09
1835,3.781543966852041e-09
1836,0.0
1837,2.7831563720326358e-09
1838,4.418513555037862e-09
1839,1.0487212875887053e-08
1840,3.821813088222825e-09
1841,1.926164561183441e-09
1842,3.3541325272778977e-09
1843,2.3627644285539873e-09
1844,5.488561161115513e-09
1845,3.348136878855712e-09
1846,3.5127007969038004e-09
1847,1.6179670936367074e-09
1848,2.413566457803995e-09
1849,2.513824481908955e-09
1850,2.7155984128057753e-09
1851,1.2898877521649865e-09
1852,3.2552727180501506e-09
1853,4.777545470346922e-09
1854,3.63696517347023e-09
1855,5.306937111981824e-09
1856,1.0354378465748937e-09
1857,4.881508974818871e-09
1858,0.0
1859,1.5276520048956854e-09
1860,1.8308735638683515e-09
1861,9.431927461278633e-10
1862,1.8071945051545413e-09
1863,4.994620828036034e-10
1864,9.589455896019672e-10
1865,1.882737743486018e-09
1866,9.731225825149181e-10
1867,5.338092634588065e-09
1868,1.975949626142892e-09
1869,3.4184632902167778e-09
1870,2.2936195165357276e-09
1871,1.0621177271019633e-09
1872,3.628403577593531e-09
1873,1.7958012854535355e-09
1874,1.7923826867161097e-09
1875,5.721527140956084e-10
1876,0.0
1877,6.184815992682502e-10
1878,3.0195443923020093e-09
1879,1.832797580370027e-09
1880,1.9253538763308597e-09
1881,6.972507571312292e-10
1882,1.9966155395678697e-09
1883,0.0
1884,6.601696966868076e-10
1885,4.511945039809007e-09
1886,6.453463874400711e-10
1887,6.528924512139156e-09
1888,2.53624587998047e-09
1889,1.8795409673089125e-09
1890,1.9663159989136147e-09
1891,3.824531802365527e-09
1892,1.2537024751679837e-09
1893,3.079208221734575e-09
1894,4.411077725308132e-09
1895,2.4074457982692365e-09
1896,6.486732040400511e-09
1897,5.826713334045053e-09
1898,1.13167097914868e-09
1899,1.1055156790007459e-09
1900,4.15284251431558e-09
1901,2.235495566438317e-09
1902,2.455141867585553e-09
1903,5.400220270956879e-10
1904,2.6873125946735854e-09
1905,5.160759042333041e-10
1906,2.572092316910357e-09
1907,2.5714217422034835e-09
1908,2.9468334439286537e-09
1909,5.500983557560346e-10
1910,1.068830135508847e-09
1911,7.980561100850991e-09
1912,2.6047106693738442e-09
1913,0.0
1914,1.3393487430235496e-09
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,5.524709134618888e-09
1920,5.300562211374427e-09
1921,0.0
1922,4.426761179843197e-09
1923,2.1231896241147297e-09
1924,3.867487219366694e-09
1925,4.399271169575059e-09
1926,4.458455382660986e-09
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,3.342121912552898e-09
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,0.0
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,0.0
1941,2.9515025978810172e-09
1942,0.0
1943,0.0
1944,0.0
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,4.7683483828109274e-09
1948,0.0
1949,6.8719057111366055e-09
1950,4.2541445921528975e-09
1951,5.330700769690111e-09
1952,3.1634410646574906e-09
1953,4.3095309543161875e-09
1954,2.9317608341017376e-09
1955,8.447047505910632e-09
