year,tes_DET âmes_NOUN,tes_DET ames_NOUN,tes_DET femmes_NOUN
1800,3.144164484325529e-09,0.0,3.772997292372793e-08
1801,2.3811825844433088e-09,0.0,7.857902750707524e-08
1802,0.0,0.0,4.0281122437590966e-08
1803,0.0,1.950339223455444e-09,1.891828975697507e-07
1804,0.0,0.0,1.755014160664814e-07
1805,0.0,0.0,8.812920682110814e-08
1806,0.0,2.881669125542885e-09,3.7461698632057505e-08
1807,0.0,0.0,5.4092148538131823e-08
1808,0.0,0.0,1.3596443970698147e-08
1809,0.0,0.0,4.9698672066611493e-08
1810,0.0,0.0,6.552355191757897e-08
1811,0.0,0.0,3.259199843341776e-08
1812,0.0,2.6672082320544632e-09,2.400487364440096e-08
1813,2.8757416448144113e-09,0.0,5.176335093892703e-08
1814,0.0,3.1466771410748606e-09,1.0069367162302001e-07
1815,0.0,0.0,1.2407228489053068e-07
1816,0.0,0.0,1.4137383530510306e-07
1817,1.556873407970727e-09,1.0898113522728181e-08,1.261067463786958e-07
1818,0.0,3.5763532135746345e-09,7.033494586750066e-08
1819,4.140420006848444e-09,4.140420006848444e-09,1.190370721992906e-07
1820,2.3732962262101864e-09,2.3732962262101864e-09,6.882558967191699e-08
1821,6.903041693817613e-09,1.0847637454958203e-08,6.607197189367753e-08
1822,1.0025615893027862e-09,5.012807946513931e-09,1.5539704634193185e-07
1823,0.0,1.9765373782121287e-09,9.388552868472289e-08
1824,1.6842225392110777e-09,0.0,2.6947561515555662e-08
1825,2.641632912414593e-09,0.0,4.138558296062911e-08
1826,3.5231937367541377e-09,0.0,7.486786390842326e-08
1827,3.6869092223668076e-09,0.0,9.401618478177554e-08
1828,0.0,2.7516904310687096e-09,9.447469995205182e-08
1829,1.714635211591542e-09,0.0,6.85854074089498e-08
1830,6.262101504006523e-09,0.0,4.383470919577803e-08
1831,6.236482219534878e-09,0.0,1.0602020061867279e-07
1832,2.705993873419743e-09,0.0,1.0282777074266392e-07
1833,1.1583628500844156e-09,1.1583628500844156e-09,8.456048683491701e-08
1834,1.0267983796552471e-08,7.467624740797874e-09,1.0174638975790629e-07
1835,7.563087933704082e-10,1.5126175867408165e-09,1.104210838320796e-07
1836,5.376600054063374e-09,2.688300027031687e-09,7.997692347272434e-08
1837,2.0873671680021744e-09,0.0,8.419047747842967e-08
1838,8.837027110075724e-09,6.312161904276081e-10,9.531364608683646e-08
1839,4.194884994923598e-09,0.0,6.082583559052779e-08
1840,3.821813254756279e-09,6.369688665408546e-10,6.815566822027108e-08
1841,5.1364388298225094e-09,6.420548537278137e-10,7.255220202395662e-08
1842,4.695785538189057e-09,1.341653010911159e-09,6.7082652766004e-08
1843,5.31621990873532e-09,2.3627644285539873e-09,8.86036652936184e-08
1844,3.2931368743049916e-09,1.097712254427563e-09,7.190015338665035e-08
1845,6.138250574494464e-09,0.0,8.147132835034654e-08
1846,2.9272506640865004e-09,5.854501328173001e-10,5.795956159460047e-08
1847,5.3932236454556914e-09,0.0,6.040410394092532e-08
1848,6.43617736884039e-09,0.0,6.838438187939389e-08
1849,2.513824481908955e-09,8.379414939696517e-10,3.7707367228634325e-08
