year,tes_DET hôtes_NOUN,tes_DET fautes_NOUN
1800,6.288328968651058e-09,2.829747991484055e-08
1801,7.143547975374531e-09,5.476719988628531e-08
1802,2.2378401354217203e-09,6.489736392722989e-08
1803,4.4857802805609026e-08,5.460949736857401e-08
1804,2.4718509461507665e-09,2.7190360185613827e-08
1805,0.0,1.4782963830839435e-07
1806,0.0,5.763338162267928e-08
1807,2.8469551160981155e-09,3.131650538890085e-08
1808,0.0,2.7192887941396293e-08
1809,2.9367397402779716e-08,2.25903047379461e-08
1810,1.1700633351097167e-08,4.9142660163425944e-08
1811,2.5070767684098882e-09,2.0056613703189896e-08
1812,1.600324850414836e-08,2.1337665856435706e-08
1813,0.0,2.300593315851529e-08
1814,2.8320094713762956e-08,5.66401889834367e-08
1815,0.0,2.4275012222574333e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,1.0898113522728181e-08,8.095741854674543e-08
1818,4.768470951432846e-09,2.0266001543589596e-08
1819,2.173720581311045e-08,5.4860566311987213e-08
1820,0.0,7.594547835054755e-08
1821,4.9307441463142254e-09,8.678109564286274e-08
1822,1.0025615893027862e-08,6.51665033046811e-08
1823,1.3835761869529506e-08,7.51084204830832e-08
1824,8.421112696055388e-10,5.136878655775945e-08
1825,0.0,2.6416329346190537e-08
1826,8.80798456392995e-09,5.196710706201202e-08
1827,6.452091305675367e-09,3.871254605769536e-08
1828,3.6689205562545624e-09,4.5861507036448756e-08
1829,1.2002446592163096e-08,4.54378346614881e-08
1830,1.982998831806526e-08,6.26210181486897e-08
1831,6.236482441579483e-09,7.016042591345695e-08
1832,9.470978667991403e-09,5.276688197497492e-08
1833,2.3167257001688313e-09,1.50587169400751e-08
1834,9.334531370086552e-09,2.6136687036881767e-08
1835,9.075705520444899e-09,8.24376584773745e-08
1836,1.8818100133710658e-08,3.561997696799324e-08
1837,2.0873671680021744e-09,3.270208726036117e-08
1838,9.468243078458727e-09,4.986607837764723e-08
1839,6.29232765891885e-09,4.614373461109267e-08
1840,3.1848443882154243e-09,3.885510224677091e-08
1841,8.988767952189392e-09,4.8154114917764446e-08
1842,1.1404050592744852e-08,4.8970335342346516e-08
1843,1.2404513194397282e-08,4.961805299963373e-08
1844,2.195424508855126e-09,3.787107161201675e-08
1845,1.4508592771633744e-08,5.747634945763025e-08
1846,7.610851504580296e-09,3.805425707881227e-08
1847,2.1572894581822766e-09,2.3730184040005042e-08
1848,4.02261068899179e-09,3.057184372323718e-08
1849,9.217356655710773e-09,2.5976186757148412e-08
1850,7.467895635215882e-09,2.1724788190624622e-08
1851,6.449438538780328e-09,2.8377530547629704e-08
1852,9.114763388495817e-09,3.971432604998881e-08
1853,2.09017620989016e-08,4.777545470346922e-08
1854,7.27393034694046e-09,2.8056587830782576e-08
1855,5.306937111981824e-10,5.253867740862006e-08
1856,4.141751386299575e-09,3.934663950211359e-08
1857,3.905207268672939e-09,3.0753508184488965e-08
1858,6.851146205910652e-09,3.2787629944408536e-08
1859,7.129042689513199e-09,3.9718951017064796e-08
1860,2.2428201296165184e-08,3.478659946209994e-08
1861,6.602349444939648e-09,3.819930638471192e-08
1862,6.776979477596257e-09,3.975828066771214e-08
1863,7.991393324857654e-09,5.6439215523340636e-08
1864,1.3425238143405238e-08,2.445311286791707e-08
1865,1.6473954644879996e-08,6.966129406649202e-08
1866,9.244664589402873e-09,5.887391729686442e-08
1867,2.232293283555009e-08,4.707226963773792e-08
1868,9.385760613156435e-09,2.2723420922687865e-08
1869,1.660396531377728e-08,5.176530382122735e-08
1870,1.6055336615750093e-08,2.6376625328339287e-08
1871,4.248470908407853e-09,6.372706451429622e-08
1872,1.572308139241585e-08,5.1402382683640724e-08
1873,4.788803575905831e-09,4.369783129787308e-08
1874,1.0754296120296658e-08,3.4055272379873713e-08
1875,3.432916173551348e-09,5.0349437230590155e-08
1876,9.673623679873344e-09,3.325308095547541e-08
1877,1.1132668453761596e-08,3.092408140670244e-08
1878,8.4547240319921e-09,3.985798491257242e-08
1879,7.94212251520321e-09,3.84887507420828e-08
1880,3.2089231272180996e-09,3.1447446646737376e-08
1881,3.4862537301449947e-09,1.4642266288333872e-08
1882,5.989846840748214e-09,1.7304001342921538e-08
1883,4.423537092179686e-09,3.349249677597754e-08
1884,1.7824582698722224e-08,3.3668655419205606e-08
1885,8.379326565943757e-09,2.4493415518023198e-08
1886,5.80811748696064e-09,2.516850983180774e-08
1887,5.223139698529167e-09,2.546280619686314e-08
1888,2.0289966817799154e-08,2.028996659575455e-08
1889,1.1277245803853475e-08,2.7566600890871484e-08
1890,1.4419650362640368e-08,1.6385966916665495e-08
1891,4.461953917456185e-09,2.358461337337303e-08
1892,5.641661138255927e-09,2.2566645219157522e-08
1893,3.695050043717174e-09,2.894455697344256e-08
1894,3.150769645188234e-09,2.2685541445355284e-08
1895,3.611168697403855e-09,1.8055842598840854e-08
1896,8.845543852942228e-09,1.5921978790967017e-08
1897,1.3401441401050818e-08,1.9810826423771744e-08
1898,3.960848538042683e-09,1.4711722839955144e-08
