year,couleurs_NOUN in_ADJ,couleurs_NOUN fines_ADJ
1800,6.288328968651058e-09,5.345079756580162e-08
1801,0.0,3.095537337571841e-08
1802,0.0,3.1329761895904085e-08
1803,0.0,3.90067853572873e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877755426798e-08
1806,0.0,8.06867319624871e-08
1807,0.0,1.1387820464392462e-08
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,1.8721014072298203e-08
1811,2.5070767684098882e-09,1.504245972228091e-08
1812,0.0,1.4936365744233626e-07
1813,0.0,1.4378708002027452e-08
1814,0.0,2.5173417128598885e-08
1815,2.697223555614414e-09,1.2946673377811635e-07
1816,3.7081662185300956e-08,2.7811246638975717e-08
1817,0.0,0.0
1818,1.1921177378582115e-09,2.026600220972341e-08
1819,0.0,1.0351049795076506e-08
1820,0.0,2.4919611263385377e-08
1821,0.0,6.903041915862218e-09
1822,1.0025615893027862e-09,1.5038423839541792e-08
1823,9.882686891060644e-10,6.917880934764753e-09
1824,0.0,4.29476756380609e-08
1825,0.0,5.283266046873791e-09
1826,8.807984341885344e-10,1.76159691278599e-08
1827,0.0,1.013900030599757e-08
1828,0.0,4.219258542548232e-08
1829,0.0,3.4292703121607815e-08
1830,0.0,3.444155893816969e-08
1831,0.0,1.091384405071949e-08
1832,0.0,2.029495349553656e-08
1833,0.0,1.1583628278799551e-08
1834,0.0,6.160790522180548e-08
1835,0.0,3.932805725526123e-08
1836,0.0,2.8899224679967972e-08
1837,6.957890930081589e-10,1.2524203896191466e-08
1838,0.0,2.7773513266993177e-08
1839,6.9914751765765e-10,5.802924551989719e-08
1840,0.0,1.3376346252869098e-08
1841,0.0,3.5955073141025196e-08
1842,0.0,4.695785538189057e-09
1843,0.0,5.31621990873532e-09
1844,1.6465684371524958e-09,8.232841963717874e-09
1845,0.0,2.9017185543267487e-08
1846,1.1709002656346001e-09,3.337065912489834e-08
1847,5.393223645455691e-10,2.3730184040005042e-08
1848,0.0,1.769948759777762e-08
1849,8.379414939696517e-10,1.1731181359664333e-08
1850,1.3577992064028876e-09,4.27706767780478e-08
1851,0.0,3.805168802273329e-08
1852,6.510545436100301e-10,3.190167108257924e-08
1853,1.1943863675867306e-09,1.4929829816878737e-08
1854,5.195664454227256e-10,1.9743524148907454e-08
1855,0.0,2.865746040470185e-08
1856,5.177189232874468e-10,2.9509977905739504e-08
1857,0.0,1.2691923290120144e-08
1858,4.893676019968041e-10,2.6425850341293966e-08
1859,5.092173349652285e-10,3.8700517901446574e-08
1860,0.0,2.563223072682419e-08
1861,0.0,2.8767378035254865e-08
1862,4.517986262886353e-10,9.487771457372673e-09
1863,0.0,1.897955925755923e-08
1864,0.0,1.3425238143405238e-08
1865,4.706844358715045e-10,1.1767110841276462e-08
1866,2.432806400776144e-09,1.2650593461671633e-08
1867,9.7056229719783e-10,3.494024092276504e-08
1868,0.0,2.2723421366777075e-08
1869,9.767038289254515e-10,1.8557372527538973e-08
1870,0.0,3.2110673675589396e-08
1871,1.0621177271019633e-09,3.186353225714811e-08
1872,0.0,1.9351485747165498e-08
1873,0.0,3.17258244120211e-08
1874,1.1949218281515073e-09,1.0156835372754358e-08
1875,5.721527140956084e-10,1.6592428764283795e-08
1876,1.209202959984168e-09,6.650616501957529e-09
1877,3.710889595609501e-09,2.845015278918339e-08
1878,1.2078177347163432e-09,1.992899245628621e-08
1879,6.10932526790009e-10,1.4051448005147904e-08
1880,6.417846254436199e-10,1.4761045941114048e-08
1881,4.8807553554297556e-09,1.2550513794895579e-08
1882,0.0,4.5256618008693295e-08
1883,0.0,2.9068959961353613e-08
1884,0.0,3.9610180024851616e-08
1885,0.0,6.961286680429168e-08
1886,0.0,6.840671823438171e-08
1887,0.0,5.353718279810238e-08
1888,0.0,4.3116178405355754e-08
1889,3.132568426877924e-09,6.327788071303075e-08
1890,6.554386478008212e-10,3.932631847947121e-08
1891,0.0,4.7806649972059745e-08
1892,0.0,2.8835156484774416e-08
1893,6.158416554491453e-10,1.7859408452114423e-08
1894,1.2603078580752936e-09,4.159015953852929e-08
1895,1.8055843487019274e-09,3.37042407316801e-08
1896,5.89702897624278e-10,1.828078999288607e-08
1897,0.0,4.020432398110785e-08
1898,2.26334195829736e-09,3.5081800020542175e-08
1899,1.1055156790007459e-09,2.9296165493519766e-08
1900,0.0,2.6474371139784125e-08
1901,0.0,2.235495621949468e-08
1902,4.910283846193408e-10,3.28989024911408e-08
1903,0.0,3.0781256210588026e-08
1904,5.374625189347171e-10,6.55704281982139e-08
1905,5.160759042333041e-10,5.005936210000783e-08
1906,0.0,3.189394426339476e-08
1907,3.599990305858114e-09,3.49713340508373e-08
1908,4.911389073214423e-10,3.0450611365751e-08
1909,9.901770070541716e-09,1.925344239595006e-08
1910,5.344150677544235e-10,3.2599319688131345e-08
1911,1.5961122423746588e-09,2.7665944757337968e-08
1912,1.0418842455450772e-09,3.750783328371199e-08
1913,1.0075680734189518e-08,4.0302722048579653e-08
1914,1.3393487430235496e-09,2.5447626672558954e-08
1915,1.1780761921542648e-09,1.0602685840410686e-08
1916,1.0987462051303964e-09,1.648119329900055e-08
1917,8.773139548168274e-09,7.676496771580332e-09
1918,0.0,1.4932289182922887e-08
1919,0.0,2.2098835761319435e-08
1920,0.0,2.5745588327907853e-08
1921,7.572747429129834e-10,4.0135563095233806e-08
1922,0.0,4.131643716043243e-08
1923,2.1231896241147297e-09,6.369568872344189e-09
1924,0.0,2.5783248647215373e-08
1925,2.1996355847875293e-09,3.2994533993857544e-08
1926,2.229227691330493e-09,2.0063049221974438e-08
1927,4.4596899506643695e-09,1.56089151603922e-08
1928,3.4278122562625413e-09,3.199291576105878e-08
1929,6.684243825105796e-09,3.2307178043922136e-08
1930,9.453243521306831e-09,2.2057568105360303e-08
1931,1.1405356659111021e-09,3.193499864551086e-08
1932,3.287861094491973e-09,2.7398841417891617e-08
1933,0.0,1.605892707701173e-08
1934,4.7926320689839486e-09,1.0783422155213884e-08
1935,0.0,2.0346083040578833e-08
1936,0.0,1.8187072292619177e-08
1937,1.2591118148108649e-09,3.273690651894867e-08
1938,0.0,1.815129979654273e-08
1939,0.0,1.070583532936098e-08
1940,2.5357829169792012e-09,7.607348528892999e-09
1941,0.0,2.066051862925633e-08
1942,0.0,9.102635312174812e-09
1943,2.9032352077962287e-09,8.709705845433291e-09
1944,0.0,1.6065930807940276e-08
1945,2.178504043826024e-09,6.535512131478072e-09
1946,0.0,2.227376683094917e-08
1947,0.0,1.311295849681926e-08
1948,1.0871887834440486e-09,1.6307831529616124e-08
1949,0.0,1.8652315025846633e-08
1950,0.0,2.020718614659245e-08
1951,0.0,2.6653504736628975e-08
1952,1.0544803918932644e-09,5.272401848444019e-09
1953,1.0773827385790469e-09,7.54167928107563e-09
1954,9.772536113672459e-10,1.661331139324318e-08
1955,9.385607846468247e-10,9.385607846468247e-09
1956,0.0,2.52913103793162e-08
1957,0.0,1.0602045130703175e-08
1958,5.790570245522986e-09,1.1581140491045971e-08
1959,3.8753737996444215e-09,1.3951346078400206e-08
1960,4.152500121534786e-09,2.0070417439121968e-08
1961,6.948159270159238e-10,1.320150300188061e-08
1962,0.0,1.7123281903508314e-08
1963,4.526237162849611e-09,7.1126584622049904e-09
1964,2.4335873316516654e-09,8.517555494247375e-09
1965,4.924839203113152e-09,1.2585700148726175e-08
1966,2.215629901769489e-09,1.0524241700338166e-08
1967,4.930335695263466e-09,1.8242241717203456e-08
1968,7.635406973349745e-09,1.3025105854991281e-08
1969,0.0,2.0892085395018967e-08
1970,3.219107425067591e-09,9.19745013483464e-09
1971,5.138397485282553e-10,1.6956712034499333e-08
1972,0.0,4.6171320100540925e-09
1973,0.0,1.5436970590698706e-08
1974,5.625571675160757e-10,1.74392724705541e-08
1975,2.2845920710778955e-09,3.8838064764235014e-08
1976,1.142705374768127e-09,5.4278506578242514e-08
1977,2.3507127355770763e-09,3.5260689701388515e-08
1978,2.3762365408686037e-09,3.2079193523770755e-08
1979,1.1703946700691858e-09,4.38898014598621e-08
1980,1.1370301367108482e-09,3.922753966101311e-08
1981,1.8976649140967083e-09,3.1627747532070316e-08
1982,7.449002747961231e-09,3.41412622617554e-08
1983,3.157658134966823e-09,2.841892188243378e-08
1984,4.639206796497319e-09,3.015484423274373e-08
1985,3.0077789148208467e-09,3.6093348976251605e-08
1986,0.0,1.3187868186381735e-08
1987,9.777306964053878e-09,4.1553554819273586e-08
1988,2.99827696004229e-09,2.4585870561644185e-08
1989,1.0976244357863152e-09,2.8538235774533405e-08
1990,1.6345953479657283e-09,1.4166492701139788e-08
1991,5.861465202094962e-10,1.699824903056424e-08
1992,2.7549720282848966e-09,2.6447731671375152e-08
1993,2.7696036575264316e-09,2.6034275124597883e-08
1994,5.274926606624319e-10,1.687976503017552e-08
1995,2.7112254663563817e-09,8.133676565602599e-09
1996,4.270473752399084e-09,1.1209994044136806e-08
1997,9.58978896292706e-10,1.2466725873849782e-08
1998,1.9072516899143466e-09,8.10582001520288e-09
1999,4.570201161957499e-10,8.683382013430219e-09
2000,8.836062992401139e-10,1.0161472108194403e-08
2001,3.066848330846028e-09,1.007678718245586e-08
2002,0.0,7.448076377869484e-09
2003,2.9168460979889232e-09,5.8336921959778465e-09
2004,0.0,8.369103632333008e-09
2005,9.007499190971657e-10,8.106749049829887e-09
2006,1.2353669198716943e-09,6.176834765891925e-09
2007,7.988958938831558e-10,5.192823504529542e-09
2008,1.2772318758180745e-09,8.940623352771127e-09
2009,0.0,6.198650259747751e-09
2010,0.0,5.196172381261022e-09
2011,0.0,2.1031845320873543e-08
2012,6.808505426114664e-10,9.531907513293802e-09
2013,1.1156500168141292e-09,2.2313000336282585e-09
2014,0.0,5.197068553286499e-09
2015,0.0,5.098123256885856e-09
2016,0.0,6.8354221449684616e-09
2017,2.515611330355938e-10,1.2578056374223934e-09
2018,0.0,7.48625367252842e-09
2019,0.0,2.5509878653906526e-09
