year,anciens_ADJ feux_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,4.923248297927785e-08
1803,2.5354410126965377e-08
1804,5.19088700912107e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,1.5862518409903714e-08
1809,4.518061036407062e-09
1810,0.0
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.3905623319487859e-08
1817,0.0
1818,1.1921176934492905e-08
1819,1.0351049795076506e-08
1820,1.898636980968149e-08
1821,9.86148829262845e-10
1822,2.4061478143266868e-08
1823,1.087095569118901e-08
1824,3.3684450784221553e-09
1825,2.6416328680056722e-08
1826,8.807984341885344e-10
1827,0.0
1828,6.420610709767516e-09
1829,4.286587973467704e-09
1830,2.2961039292113128e-08
1831,4.677361609140007e-09
1832,1.0823975493678972e-08
1833,9.266902800675325e-09
1834,1.120143711119681e-08
1835,4.5378527602224494e-09
1836,1.2769425516978572e-08
1837,3.270208637218275e-08
1838,4.607878167917079e-08
1839,1.1885507689157748e-08
1840,3.248541347034006e-08
1841,6.420548537278137e-09
1842,4.024959032733477e-09
1843,1.3585895075607368e-08
1844,1.2074834465636286e-08
1845,2.2320911785556063e-09
1846,1.9319854160926297e-08
1847,7.550513103637968e-09
1848,1.689496542667257e-08
1849,0.0
1850,6.788996032014438e-10
1851,1.1608989325395669e-08
1852,1.1718981340891332e-08
1853,3.4637203327747557e-08
1854,1.454786069388092e-08
1855,1.1144567935161831e-08
1856,1.65670055451983e-08
1857,5.369659827891837e-09
1858,6.8511463169329545e-09
1859,0.0
1860,4.119465657481669e-09
1861,1.3676294763342867e-08
1862,1.2198563048571032e-08
1863,1.2486552236623538e-08
1864,5.274200631788517e-09
1865,6.118897832863013e-09
1866,1.9462451650298362e-09
1867,4.367530337390235e-09
1868,5.9278488784286765e-09
1869,7.325278605918584e-09
1870,2.0069171213776826e-08
1871,3.18635318130589e-09
1872,6.652073114565837e-09
1873,1.1373408881354408e-08
1874,1.5533982988813477e-08
1875,9.7265964171811e-09
1876,6.650616057868319e-09
1877,4.329371083855449e-09
1878,4.22736201599605e-09
1879,1.0385853066452455e-08
1880,9.626769603698904e-09
1881,1.045876096839038e-08
1882,5.989846840748214e-09
1883,2.0853818227806187e-08
1884,7.2618666635548834e-09
1885,2.5782542767416317e-09
1886,9.034849313138693e-09
1887,7.1818169189441505e-09
1888,9.510921827882157e-09
1889,1.0650732740202784e-08
1890,1.3108772956016423e-09
1891,3.1871101313640793e-09
1892,1.002961980134387e-08
1893,1.3548516086814288e-08
1894,3.150769645188234e-09
1895,6.018614495673091e-09
1896,1.8280790214930676e-08
1897,1.1070755867592652e-08
1898,1.640922953072277e-08
1899,1.1607914629507832e-08
1900,5.19105292084987e-09
1901,7.824234593556412e-09
1902,2.258730624760119e-08
1903,9.720396931811592e-09
1904,2.6873125946735854e-09
1905,3.096455536422127e-09
1906,5.144184633820714e-09
1907,1.5428529565042481e-09
1908,7.858222517143076e-09
1909,3.850688656825696e-09
1910,4.275320542035388e-09
1911,4.25629931299909e-09
1912,4.688478938419394e-09
1913,6.363587878865928e-09
1914,3.3483718020477227e-09
1915,4.712304768617059e-09
1916,4.394984820521586e-09
1917,5.483212106582869e-09
1918,1.4932290071101306e-08
1919,1.1970202606903513e-08
1920,1.3630017114962811e-08
1921,1.741731914250977e-08
1922,6.640141769764796e-09
1923,1.0615948120573648e-08
1924,9.02413699321869e-09
1925,3.299453377181294e-09
1926,8.916910765321973e-09
1927,1.1149224876660924e-09
1928,9.14083297942625e-09
1929,1.1140405931087116e-08
1930,5.2518016602221e-09
1931,1.1405356659111021e-09
1932,1.753525857850491e-08
1933,5.735331320977366e-09
1934,1.0783422155213884e-08
1935,2.393656828303392e-09
1936,8.487299751891442e-09
1937,3.777335333410292e-09
1938,1.5558256905023882e-08
1939,6.117620188206274e-09
1940,0.0
1941,2.066051862925633e-08
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
