year,nos_DET eaux_NOUN,nos_DET faux_ADJ
1800,1.6978488170948935e-07,3.772997558826319e-08
1801,2.5240534040626983e-07,8.572257303995912e-08
1802,5.572221937200084e-07,6.265952379180817e-08
1803,5.558466682487051e-07,9.946730017418304e-08
1804,1.9033252907085796e-07,1.2359254242255702e-07
1805,2.4448747981686836e-07,7.675770063997334e-08
1806,1.123850950079941e-07,7.492339904047185e-08
1807,1.7366425675291453e-07,7.117387923472052e-08
1808,2.1074488509853495e-07,6.798222074166915e-08
1809,3.4789070069152217e-07,5.6475762733043666e-08
1810,6.248138508802015e-07,7.722418615685456e-08
1811,2.0307322312618226e-07,1.0028307073639553e-08
1812,5.521120840512594e-07,4.961007462611633e-07
1813,2.5594099395398473e-07,4.3136125782439194e-08
1814,1.5733385794192145e-07,4.090680150170556e-08
1815,2.0498898534171417e-07,4.8550024445148665e-08
1816,2.0394914201915526e-07,5.7940097164532745e-08
1817,4.125714561098448e-07,3.4562588524522653e-07
1818,9.393887872022333e-07,1.2874871391233e-07
1819,2.950049129424315e-07,4.968504008218133e-08
1820,2.7530235424677585e-07,2.966620371580575e-08
1821,4.4376696273218386e-07,6.409967356901802e-08
1822,3.258325307342602e-07,9.624591257306747e-08
1823,2.2137218458340158e-07,9.685033219852812e-08
1824,2.206331588539001e-07,7.15794579164708e-08
1825,1.6994505336320742e-07,5.0191026446100295e-08
1826,1.8849086469430176e-07,5.549030190898918e-08
1827,5.382887540150705e-07,1.0784209325542804e-07
1828,4.797113555277122e-07,7.979902011401308e-08
1829,9.199018062844289e-07,3.686465693819585e-08
1830,3.965997514843167e-07,1.1689255785540809e-07
1831,3.710706950599274e-07,4.677361786775691e-08
1832,3.0983630083802893e-07,9.200379480489573e-08
1833,1.646033624069787e-06,2.6642345218874652e-08
1834,4.060521003879103e-07,3.6404670167300424e-08
1835,4.250455489795968e-07,4.5378527602224494e-08
1836,3.75017862097593e-07,1.9086929503586703e-07
1837,4.049492597912874e-07,3.2006298056330706e-08
1838,2.670044372266034e-07,2.019891809368346e-08
1839,2.7126923396458835e-07,3.9152260211672285e-08
1840,2.223021389191615e-07,5.414235526579603e-08
1841,3.5698249689630757e-07,1.2648480884891455e-07
1842,2.5223075894587055e-07,8.184083455375912e-08
1843,3.538239612410621e-07,5.7297037558967645e-08
1844,3.507190520779524e-07,4.7750482679020934e-08
1845,3.1026068048056743e-07,4.854798452136322e-08
1846,3.2199757704631793e-07,1.0011197248971371e-07
1847,2.1518961723643315e-07,3.613459931273155e-08
1848,2.244616927882248e-07,3.137636589434223e-08
1849,4.7678869941059077e-07,5.2790315008266475e-08
1850,2.0706437897644037e-07,5.7706466272122725e-08
1851,3.3021126988330707e-07,3.0957306496048886e-08
1852,5.462347409945778e-07,5.208436393289162e-08
1853,5.303075720775041e-07,3.404000969986498e-08
1854,3.7720523471396206e-07,6.910233418810918e-08
1855,3.0886374702276953e-07,3.661786607267459e-08
1856,2.7335559593666403e-07,1.6463462415572394e-07
1857,3.8075769914769353e-07,2.1966790220151466e-08
1858,3.2445070619058214e-07,3.52344677878591e-08
1859,2.7344970776610467e-07,3.055303920973529e-08
1860,3.7212506143191604e-07,5.492620855362951e-08
1861,3.437937690087267e-07,6.696668197747613e-08
1862,3.3930077683597126e-07,2.1686334561454856e-08
1863,4.1255567762021883e-07,9.689564084425228e-08
1864,3.015883973667144e-07,1.5343129966538527e-07
1865,3.751355008851931e-07,4.565639166731472e-08
1866,3.5129725728388905e-07,3.0166800613073974e-08
1867,4.682963172797372e-07,5.920430012906763e-08
1868,4.954693952896605e-07,3.161519435135318e-08
1869,3.750542578728755e-07,1.8069020057964735e-08
1870,6.748975378556565e-07,5.39000586385896e-08
1871,3.016414447110094e-07,3.6112004275778986e-08
1872,5.140238581446965e-07,4.837871403484684e-08
1873,4.561335344988038e-07,4.3697832019518046e-08
1874,4.098581971589965e-07,2.8678124319725384e-08
1875,5.321020166704216e-07,2.6319025181464895e-08
1876,3.845265357238503e-07,5.441413142293072e-08
1877,4.490176337412777e-07,5.2570936381890476e-08
1878,3.2973425279081425e-07,2.657199060784876e-08
1879,4.765273846629725e-07,5.498392652292239e-08
1880,3.5426511679759187e-07,3.5298153511220676e-08
1881,3.186436088320477e-07,2.1614773970668466e-08
1882,4.166271019290235e-07,2.4624924321869912e-08
1883,3.791603362945928e-07,2.9700892412165558e-08
1884,3.307450313627669e-07,1.5844072720483382e-08
1885,5.143617218816843e-07,3.9962939679671905e-08
1886,4.175391046246091e-07,2.5813855941692054e-08
1887,4.119751542130956e-07,3.786776292535876e-08
1888,4.6793736685479814e-07,1.5217475057838215e-08
1889,3.6024536420597997e-07,2.6940087494153886e-08
1890,4.155481057033228e-07,1.4419650362640368e-08
1891,3.129742042196071e-07,2.2947192590550003e-08
1892,3.91782009945274e-07,4.0745328888647236e-08
1893,4.27394099777878e-07,4.741980763611764e-08
1894,3.1444679748915405e-07,2.4576002788379014e-08
1895,3.141716815591167e-07,2.5880042775483503e-08
1896,3.408482802669255e-07,1.1794058174530164e-08
1897,3.589255677116654e-07,1.3984112534615178e-08
1898,3.3271127719558535e-07,2.3765091228256097e-08
1899,3.742170449072546e-07,4.366786754417262e-08
1900,3.389757836647078e-07,3.218453059616877e-08
1901,3.576792846349264e-07,2.6825946353170593e-08
1902,3.3439032454118944e-07,1.6694965410124496e-08
1903,4.741393360152557e-07,1.0800440541913758e-08
1904,4.3158239471097204e-07,2.364835083312755e-08
1905,4.051195880983016e-07,1.8062657147766004e-08
1906,3.8375617172903276e-07,1.0802787109298606e-08
1907,3.455990824074995e-07,2.6228502036929058e-08
1908,2.93209934998373e-07,1.620758460774141e-08
1909,3.11905774097454e-07,2.2554032752530873e-08
1910,3.04082187874144e-07,2.9927242906069296e-08
1911,2.9262058276469105e-07,2.979409430281521e-08
1912,2.938113508044182e-07,1.9795800554334164e-08
