year,beaux_ADJ airs_NOUN,beaux_ADJ fers_NOUN
1800,1.6349655140857067e-07,3.144164484325529e-09
1801,2.09544069207368e-07,1.2144030847593967e-07
1802,6.042168365638645e-08,0.0
1803,1.1116933507082649e-07,0.0
1804,4.3998947840684366e-07,0.0
1805,1.3930100806192058e-07,0.0
1806,2.881669161070022e-07,0.0
1807,9.11025637151397e-08,2.8469551160981155e-09
1808,1.0650547466184435e-07,0.0
1809,1.219876537561504e-07,1.581321384946932e-08
1810,2.0125089861267043e-07,9.360507036149102e-09
1811,2.5321475050077424e-07,2.5070767684098882e-09
1812,2.4004873466765275e-07,2.6672082320544632e-09
1813,2.501895153272926e-07,0.0
1814,1.541871768040437e-07,9.440030979135372e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,6.025770460382773e-08,0.0
1817,1.2454987086130132e-07,3.7364962679475866e-08
1818,1.323250700124845e-07,2.2650237241350624e-08
1819,1.0454560817052538e-07,0.0
1820,2.480094565271429e-07,6.645229433388522e-08
1821,9.960103142248045e-08,4.141825016290568e-08
1822,1.0927921323400369e-07,1.4035862250239006e-08
1823,8.894418357385803e-08,3.9530747564242574e-09
1824,9.515857612996115e-08,2.2737005167527968e-08
1825,2.7825200277220574e-07,0.0
1826,9.072223861039674e-08,4.492072136486058e-08
1827,5.622536392024813e-08,1.474763688946723e-08
1828,7.613009955775851e-08,0.0
1829,4.115124596637543e-08,3.943661042171698e-08
1830,1.763825281386744e-07,1.0436835395921662e-08
1831,6.704218691311326e-08,4.677361609140007e-09
1832,5.547287429408243e-08,4.058990921151917e-09
1833,1.2973663388038403e-07,1.1583628500844156e-09
1834,4.6672655740209734e-08,1.0267983796552471e-08
1835,7.865611451052246e-08,6.050470346963266e-09
1836,8.871390377862554e-08,5.376600054063374e-09
1837,8.279890550966229e-08,1.3219993100221927e-08
1838,9.657608046609312e-08,9.468243078458727e-09
1839,7.760537101830778e-08,3.4957374772659477e-09
1840,7.834716908572403e-08,2.5478754661634184e-09
1841,5.6500828460315233e-08,0.0
1842,8.318248667649186e-08,6.708265054555795e-10
1843,1.0868716060485895e-07,4.134837805480629e-09
1844,1.2568804663715127e-07,3.841992946007622e-09
1845,6.02664584903323e-08,1.1160455892778032e-09
1846,5.327596142024049e-08,1.0538101946622191e-08
1847,7.604444984821157e-08,3.775256551818984e-09
1848,4.666228647920434e-08,0.0
1849,9.21735647807509e-08,0.0
1850,5.0238568860550004e-08,0.0
1851,7.868315066161813e-08,4.514607354622058e-09
1852,7.877760310748272e-08,2.6042181744401205e-09
1853,7.40519547903773e-08,1.2541057081705276e-08
1854,8.572846610377383e-08,1.1430461910322265e-08
1855,8.703376863650192e-08,1.2736649068756378e-08
1856,9.215397128725655e-08,1.0354378465748937e-09
1857,1.1813251982184525e-07,9.763018171682347e-10
1858,9.444794812907276e-08,2.4468380654951716e-09
1859,1.1100938257513349e-07,5.092173349652285e-10
1860,1.1122556742293455e-07,1.0985241161165504e-08
1861,1.2780262181877333e-07,4.2443675241088386e-09
1862,1.1385325437984761e-07,2.0782737308877586e-08
1863,1.0238972691922754e-07,3.995696662428827e-09
1864,1.1938872690464564e-07,7.671564716815737e-09
1865,1.0260920646487648e-07,4.23615986733239e-09
1866,1.201806399397931e-07,4.865612912574591e-10
1867,9.899735431417866e-08,4.85281148598915e-09
1868,1.0373735648272486e-07,9.385760613156435e-09
1869,1.0743742251406729e-07,6.8369265804335555e-09
1870,9.862564098739313e-08,4.013834153937523e-09
1871,5.735435593123839e-08,0.0
1872,6.531126706121881e-08,5.442605477412599e-09
1873,1.2031868834583292e-07,9.577607151811662e-09
1874,7.408515356743806e-08,1.4936523129449597e-08
1875,7.666846624232448e-08,8.58229043387837e-09
1876,1.2998932041874411e-07,3.627608879952504e-09
