year,nos_DET humeurs_NOUN,nos_DET fumeurs_NOUN
1800,3.238489512114029e-07,3.144164484325529e-09
1801,4.2146930434583396e-07,4.7623651688866175e-09
1802,4.811356291156699e-07,2.2378401354217203e-09
1803,5.773003959319567e-07,0.0
1804,4.943701845672166e-07,0.0
1805,5.060322072480972e-07,0.0
1806,3.429186392622796e-07,0.0
1807,2.7900161558847003e-07,3.4163463169534225e-08
1808,3.263146592935584e-07,2.2660739951163578e-09
1809,2.0331275152329908e-07,0.0
1810,5.312087978381896e-07,0.0
1811,4.4625966211242485e-07,0.0
1812,8.375033644369978e-07,5.3344164641089264e-09
1813,4.6011865606487845e-07,1.1502966579257645e-08
1814,6.576555051651667e-07,3.1466771410748606e-09
1815,6.527280902446364e-07,0.0
1816,4.890144165159427e-07,0.0
1817,4.359245622254093e-07,0.0
1818,6.890440706897039e-07,0.0
1819,5.206578013172702e-07,0.0
1820,4.248200262679802e-07,2.610625848831205e-08
1821,4.2009938905351873e-07,0.0
1822,3.0076847679083585e-07,0.0
1823,2.441023703170231e-07,0.0
1824,2.248437098728573e-07,1.6842225392110777e-09
1825,3.1347377049684155e-07,0.0
1826,1.6911329225877125e-07,0.0
1827,2.2858837078754135e-07,9.217273055917019e-10
1828,2.7058289708836725e-07,0.0
1829,1.6117570567075745e-07,4.286587973467704e-09
1830,1.80557265139214e-07,0.0
1831,9.042899762334855e-08,0.0
1832,1.2988770947686135e-07,1.3529969367098715e-09
1833,2.7800709290204395e-07,9.266902800675325e-09
1834,2.3896399059530893e-07,9.334530925997342e-10
1835,1.5504329553550633e-07,0.0
1836,3.2864467519599927e-07,0.0
1837,2.087367335645851e-07,0.0
1838,1.8115904598658972e-07,3.787297142565649e-09
1839,2.3840930696295004e-07,0.0
1840,1.9809732093589716e-07,6.369688665408546e-10
1841,1.9454262201179517e-07,1.2841097074556274e-09
1842,1.8581894600799842e-07,0.0
1843,1.6893766302539248e-07,2.3627644285539873e-09
1844,1.5038657796839772e-07,6.586273748609983e-09
1845,1.891697303801898e-07,2.2320911785556063e-09
1846,2.453035961025307e-07,5.854501328173001e-10
1847,1.1649363074184294e-07,0.0
1848,1.810174836691658e-07,1.6090443422100975e-09
1849,2.2875802407895662e-07,3.3517659758786067e-09
1850,1.3849552260580822e-07,0.0
1851,1.8058428352674127e-07,1.2898877521649865e-09
1852,9.896029240508142e-08,0.0
1853,2.1021200402593365e-07,5.971931837933653e-10
1854,1.8704392346080567e-07,1.558699391779328e-09
1855,2.0643985720880664e-07,5.306937111981824e-09
