year,ces_DET hôtes_NOUN,ces_DET fautes_NOUN
1800,2.389564972560265e-07,1.1381875850702272e-06
1801,3.547961959782242e-07,1.1882100636739779e-06
1802,2.0811913259422e-07,7.093953229286853e-07
1803,2.691468239390815e-07,9.069077222534361e-07
1804,2.2493843299109528e-07,8.651478360377496e-07
1805,2.5870187414511747e-07,1.0348075107913246e-06
1806,1.2967510798489457e-07,1.0892709170207127e-06
1807,1.5658253005312872e-07,1.1814863611903093e-06
1808,2.5380028212396155e-07,1.4298927197842204e-06
1809,2.4397529152508923e-07,9.75901166100357e-07
1810,1.8955026348521642e-07,1.6451090800728707e-06
1811,2.7327136109533967e-07,1.040436885091367e-06
1812,2.773896667918052e-07,1.042878395196567e-06
1813,1.380355927338428e-07,1.423492122398784e-06
1814,2.9578765747828584e-07,1.003790021769646e-06
1815,1.4834729711310501e-07,1.0357338666722171e-06
1816,1.7613788827475219e-07,1.0266985270845908e-06
1817,2.1796227667181256e-07,1.3809467418468557e-06
1818,2.706107355976428e-07,1.429349154591364e-06
1819,2.184071536959209e-07,1.2814599443800034e-06
1820,2.610625884358342e-07,1.4322842787350964e-06
1821,1.7454834200236746e-07,1.6162978795364324e-06
1822,2.656788069543836e-07,1.4817860432003727e-06
1823,2.3323141240538803e-07,1.2135939471136226e-06
1824,2.5937026215672176e-07,1.2757985530242877e-06
1825,2.6944656461580507e-07,1.3498744664275364e-06
1826,2.5983553264552484e-07,1.1009980411813558e-06
1827,1.8342373575563897e-07,1.230505979776808e-06
1828,2.2196968529897276e-07,1.087834938573451e-06
1829,1.9203913836918218e-07,1.3717081515096652e-06
1830,2.7448878370250895e-07,1.3620070973274778e-06
1831,2.6972787914303353e-07,1.125685102465468e-06
1832,2.205385070119803e-07,1.0188067065541873e-06
1833,2.9190744221807563e-07,8.328628950948769e-07
1834,2.4176434543221603e-07,1.0295987067365786e-06
1835,2.533634386736594e-07,1.0558071039667993e-06
1836,3.07138286803621e-07,1.0081125338956554e-06
1837,2.595293420171174e-07,1.0207225926706087e-06
1838,1.9757066649361832e-07,9.853284979044474e-07
1839,2.922436612706747e-07,8.739344039554453e-07
1840,3.4651105096372703e-07,1.0369853242764293e-06
1841,3.043340104369463e-07,9.264851712487143e-07
1842,3.5687969379694096e-07,8.801243751577204e-07
1843,3.2901494506631934e-07,9.33882617459858e-07
1844,3.353511051074065e-07,8.649972258467642e-07
1845,3.671789876591447e-07,8.677254257349887e-07
1846,2.6989251722397967e-07,9.168148906724127e-07
1847,3.316832621891308e-07,8.89881924592828e-07
1848,3.2583146847287026e-07,8.881924742354386e-07
1849,3.561251240569163e-07,8.362656274130131e-07
1850,3.3944981225886295e-07,8.479455857468565e-07
1851,2.8442025445940544e-07,1.0183663547991273e-06
1852,3.2227200463808003e-07,9.544459445010034e-07
1853,2.997909849256075e-07,8.545834404571906e-07
1854,2.5614627130465806e-07,1.2615073075039618e-06
1855,3.279687064150494e-07,8.602545236158221e-07
1856,2.774973335561981e-07,1.0742667413410345e-06
1857,3.153454990467708e-07,9.15282960534114e-07
1858,3.131952732715604e-07,8.90649033635782e-07
1859,3.1826084168073976e-07,9.201557276128369e-07
1860,4.2384723464294893e-07,9.68074409968267e-07
1861,2.876737870138868e-07,9.248005099493639e-07
1862,4.043597749969763e-07,9.189584346813717e-07
1863,3.331412177232096e-07,8.625710208320925e-07
1864,3.154930894311292e-07,8.242137070624267e-07
1865,3.2288951068437655e-07,8.072237953626882e-07
1866,3.615150330205097e-07,8.441838659223322e-07
1867,3.4212319910409406e-07,8.147870431685078e-07
1868,2.766329423309344e-07,7.98777627153413e-07
1869,2.666401393014439e-07,9.376356686630061e-07
1870,3.211067429731429e-07,9.163010190604837e-07
1871,3.3562919554697146e-07,9.654649844037522e-07
1872,2.9873855567075225e-07,8.702120979364736e-07
1873,3.058848285775184e-07,8.524070480575574e-07
1874,2.4854374558458403e-07,6.524273246100165e-07
1875,2.5403581105365447e-07,8.113125531394871e-07
1876,2.5574642137371484e-07,8.561157187614299e-07
1877,2.548144246716788e-07,7.959858265849107e-07
1878,2.784019885737621e-07,6.594684691663133e-07
1879,3.066881379965025e-07,8.736335033177056e-07
1880,2.7660916401828217e-07,9.068416773061472e-07
