year,mêmes_ADJ airs_NOUN,mêmes_ADJ fers_NOUN
1800,6.917161954334006e-08,1.2576657937302116e-08
1801,1.4287095950749062e-08,3.809892135109294e-08
1802,4.4756802708434407e-08,3.8043282302169246e-08
1803,1.3652374342143503e-08,3.90067853572873e-08
1804,4.2021465418429216e-08,2.7190360185613827e-08
1805,1.7057265822018053e-08,5.685755422035754e-09
1806,2.5935023018064385e-08,2.305335300434308e-08
1807,3.131650672116848e-08,1.9928686256776018e-08
1808,5.211970233176544e-08,2.7192887941396293e-08
1809,2.0331274441787173e-08,2.710836710662079e-08
1810,6.084329839950442e-08,2.574139479349924e-08
1811,7.270522672797597e-08,2.5070767684098882e-09
1812,5.067695596494559e-08,1.3336041604361526e-08
1813,6.614205716459765e-08,2.0130190847567064e-08
1814,4.72001566720337e-08,1.8880061958270744e-08
1815,1.8880564667256294e-08,1.6183340889597275e-08
1816,1.8540831092650478e-08,3.7081662185300956e-08
1817,6.85024303948012e-08,2.6466848268569265e-08
1818,2.8610825708597076e-08,2.6226590676969863e-08
1819,5.072014630513877e-08,6.107119787657211e-08
1820,6.051905643289501e-08,5.22125169766241e-08
1821,7.59334568556369e-08,2.070912508145284e-08
1822,3.909990198280866e-08,3.408709403629473e-08
1823,4.15072847204101e-08,5.5343047478118024e-08
1824,4.8000341479337294e-08,3.789500624407083e-08
1825,8.277116592125822e-08,4.4027217427355936e-09
1826,4.315912249808207e-08,4.668231667892542e-08
1827,3.871254605769536e-08,3.7790819362726324e-08
1828,7.06267186956211e-08,2.4765213879618386e-08
1829,2.4004892296147773e-08,4.6295149047637096e-08
1830,4.905312778191728e-08,3.1310506187764986e-08
1831,4.053713453799901e-08,2.3386808933878456e-08
1832,1.1500473817704915e-07,1.7588959622116818e-08
1833,4.9809603552830595e-08,2.0850531967653296e-08
1834,1.4001796166951408e-08,2.333632664885954e-08
1835,4.689114518896531e-08,1.9664028627630614e-08
1836,4.301280043250699e-08,4.166864897570122e-08
1837,2.5048407792382932e-08,1.3915782304252389e-08
1838,2.3354999711955315e-08,1.0730675015224733e-08
1839,3.5656523067473245e-08,2.307186797168015e-08
1840,2.229391071750797e-08,2.1019973317493168e-08
1841,4.494383887276854e-08,2.760835826620678e-08
1842,3.4882980060046975e-08,7.379091560011375e-09
1843,4.4892523476391943e-08,4.6073907356003474e-08
1844,3.0735943568060975e-08,1.811225303072206e-08
1845,3.013322924516615e-08,2.17628883802945e-08
1846,4.039605983052752e-08,2.4588905134237393e-08
1847,2.480882876909618e-08,3.235934187273415e-08
1848,3.378993085334514e-08,1.448139919091318e-08
1849,4.1059134758825167e-08,2.011059585527164e-08
1850,2.2403686017469226e-08,2.9192683825840504e-08
1851,9.029214709244116e-09,7.739326512989919e-09
1852,2.278690836021724e-08,1.9531636752390114e-08
1853,2.9262466227919504e-08,1.7318601663873778e-08
1854,2.3900057044556888e-08,3.4291385730966795e-08
1855,1.963566731433275e-08,1.1144567935161831e-08
1856,2.8992259260007813e-08,1.8120163147727908e-08
1857,5.4672902649599564e-08,1.122747050885664e-08
1858,1.8106600663259087e-08,8.808616946964776e-09
1859,3.971895168319861e-08,1.4258085379026397e-08
1860,2.746310379109218e-08,1.373155189554609e-08
1861,1.744906619194353e-08,2.6880993431177558e-08
1862,1.9879140111811466e-08,3.252950264709398e-08
1863,3.346395871517416e-08,2.0477944673302773e-08
1864,2.3973639073915365e-08,3.3563097190381086e-08
1865,4.047886292823932e-08,2.447559133145205e-08
1866,2.4814625021463144e-08,2.1895258939252926e-08
1867,1.747012134956094e-08,3.591080499631971e-08
1868,3.359114231216154e-08,2.4699369660652337e-08
1869,1.8069020057964735e-08,1.4650557211837167e-08
1870,2.752343419842873e-08,1.8922360567330543e-08
1871,4.991953161948004e-08,5.3105884134652115e-09
1872,3.084143074261192e-08,1.4513614310374123e-08
1873,2.8134220286801792e-08,8.979006871356887e-09
1874,2.8080663128093875e-08,1.6728906260254917e-08
1875,1.716458086775674e-08,8.58229043387837e-09
1876,2.5997863417615008e-08,7.859819461941697e-09
