year,plusieurs_DET eaux_NOUN,plusieurs_DET faux_ADJ
1800,4.4647134433972724e-07,2.5153315874604232e-08
1801,4.905236004049129e-07,3.333655484993869e-08
1802,2.6854081625060644e-07,5.594600338554301e-08
1803,7.489302760177452e-07,5.655983770225248e-08
1804,2.7190359297435407e-07,8.15710812229753e-08
1805,3.3261667908845993e-07,3.980028751016107e-08
1806,1.7578181132904547e-07,5.187004425977193e-08
1807,3.1031811431603273e-07,7.117387923472052e-08
1808,3.0818605356586204e-07,4.5321478125970316e-08
1809,3.930713194932878e-07,4.292158095609011e-08
1810,1.825298880930859e-07,2.574139479349924e-08
1811,3.058633719632553e-07,1.7549536934780008e-08
1812,1.787029546562735e-07,1.0135391192989118e-07
1813,2.013019202440347e-07,2.5881675469463516e-08
1814,2.0138733702879108e-07,9.440031512042424e-08
1815,2.7781403844073793e-07,4.585280044544504e-08
1816,2.549364239712304e-07,9.502176112619054e-08
1817,2.5999784725172503e-07,2.335310045342709e-08
1818,2.718028302428621e-07,9.77536522839273e-08
1819,2.4739009951701973e-07,4.864993496944692e-08
1820,1.8630375020478596e-07,6.526564355624487e-08
1821,1.3806084253609185e-07,1.972297702934611e-08
1822,1.3233812978796777e-07,5.714601059025881e-08
1823,1.8777105204037525e-07,5.5343047478118024e-08
1824,1.6842225214475093e-07,5.136878655775945e-08
1825,1.7698941112698208e-07,4.754939109119505e-08
1826,1.1714619407854343e-07,6.605988378538541e-08
1827,1.8711064875276406e-07,3.96342727526644e-08
1828,1.6051527507165986e-07,6.328887514062131e-08
1829,1.294549552000035e-07,4.458051672262542e-08
1830,1.4298465633721946e-07,4.0703660886265425e-08
1831,2.1671776728737768e-07,3.585977381703742e-08
1832,2.9495332221074477e-07,3.5177921020590475e-08
1833,2.281974778028939e-07,1.9692167896323554e-08
1834,2.0162586711336417e-07,2.333632664885954e-08
1835,8.546289365085613e-08,3.6302822081779595e-08
1836,1.592817713280681e-07,5.511015038761613e-08
1837,1.607272839265761e-07,7.653679723329532e-08
1838,1.1614377637414464e-07,3.787297075952267e-08
1839,2.286212446023228e-07,3.425822869829176e-08
1840,8.216898661483896e-08,4.140297632515555e-08
1841,1.3033714019172749e-07,2.8892468417751616e-08
1842,6.37285153537448e-08,4.8970335342346516e-08
1843,1.4826347272123286e-07,5.611565612184677e-08
1844,6.696044607679141e-08,3.567564821338465e-08
1845,1.2946129324120648e-07,6.026646381940282e-08
1846,1.0830827568142354e-07,3.688335681317767e-08
1847,1.0948244177910738e-07,3.667392167727712e-08
1848,9.010648227558704e-08,2.172209834228056e-08
1849,1.1312210324021521e-07,4.441089829221312e-08
1850,1.1948632838709727e-07,4.6844073509078044e-08
1851,1.199595587308977e-07,5.4175285590929434e-08
