year,liqueurs_NOUN fines_ADJ
1800,3.144164484325529e-08
1801,1.9049460009412655e-08
1802,4.0281122437590966e-08
1803,1.326230680831486e-07
1804,5.6852570651244605e-08
1805,6.254330742194725e-08
1806,1.0085842205853623e-07
1807,8.540865259476504e-08
1808,4.078933102391602e-08
1809,4.0662548883574345e-08
1810,9.828532299138715e-08
1811,1.278609147448151e-07
1812,1.0402112060603486e-07
1813,6.326631307729258e-08
1814,4.72001566720337e-08
1815,1.3486117556027466e-08
1816,1.1588019077635181e-07
1817,2.8023721343473085e-08
1818,3.814776761146277e-08
1819,1.014402908339207e-07
1820,2.254631326081835e-08
1821,3.254291058851777e-08
1822,4.511527151862538e-08
1823,6.028439258898288e-08
1824,1.0947446504872005e-08
1825,2.201360693732113e-08
1826,3.170874407487645e-08
1827,2.5808365222701468e-08
1828,2.6599672964255916e-08
1829,2.2290258527846163e-08
1830,3.444155893816969e-08
1831,3.1182412207897414e-09
1832,1.6235963684607668e-08
1833,2.89590715851773e-08
1834,2.8937046536725575e-08
1835,2.7227116561334697e-08
1836,1.1425274948351216e-08
1837,1.530736071231331e-08
1838,3.8504188504262515e-08
1839,6.991475354212184e-08
1840,1.46502836528839e-08
1841,3.274479709602929e-08
1842,2.683305977413397e-08
1843,2.421833494858916e-08
1844,1.3172547497219966e-08
1845,2.287893430263921e-08
1846,8.196302303531411e-09
1847,2.1033572217277197e-08
1848,4.263967667839097e-08
1849,2.4300304213298318e-08
1850,2.308258739702751e-08
1851,3.611685883697646e-08
1852,3.71101080975933e-08
1853,4.598387426391071e-08
1854,2.9095721221228388e-08
1855,3.6087172361476405e-08
1856,2.2779632846692266e-08
1857,1.7085281689421805e-08
1858,1.5659764096565e-08
1859,1.8841042281891873e-08
1860,4.348324655900626e-08
1861,2.1221837620544193e-08
1862,2.5752522114785847e-08
1863,1.947902161791859e-08
1864,4.650886031853929e-08
1865,3.483064747733522e-08
1866,2.3354941536268825e-08
1867,2.620518202434141e-08
1868,3.457911712523298e-08
1869,2.1975836927978776e-08
1870,2.0069171213776826e-08
1871,2.7615060460561835e-08
1872,2.721302638786227e-08
1873,8.859286315665571e-08
1874,2.4495896866483235e-08
1875,2.7463330276589204e-08
1876,2.539326215966753e-08
1877,4.143826615177204e-08
1878,4.3481438893877566e-08
1879,3.237942536316041e-08
1880,2.8880309033141316e-08
1881,5.0899306103247e-08
1882,2.2628309226391252e-08
1883,1.579834751908038e-08
1884,1.9805090900604227e-08
1885,3.99629418446068e-08
1886,6.969741206397373e-08
1887,9.923965649250022e-08
1888,6.467426771905593e-08
1889,3.383173863280575e-08
1890,7.537544277624875e-08
1891,3.569563267191711e-08
1892,6.895363502401608e-08
1893,6.651089989873071e-08
1894,2.7096619170663416e-08
1895,9.629783526143854e-08
1896,1.4624631183846049e-07
1897,9.264474609693707e-08
1898,5.884689213697669e-08
1899,1.9899282222013426e-08
1900,6.436905541917781e-08
1901,3.017918936976116e-08
1902,3.5845071355566915e-08
1903,2.8081145408975772e-08
1904,3.0635364467457293e-08
1905,2.580379465655369e-08
1906,2.3148830408104004e-08
1907,1.5942814179936704e-08
1908,2.89771957540097e-08
1909,4.5658164971040804e-08
1910,3.4202563892193893e-08
1911,2.234557128222292e-08
1912,3.281935495591526e-08
1913,2.0151361024289827e-08
1914,3.8171438010436987e-08
1915,3.2986132825207903e-08
1916,2.8567400889301098e-08
1917,2.412613364644045e-08
1918,1.8378202071289707e-08
1919,1.1049418269237776e-08
1920,2.4988363822586734e-08
1921,2.0446417892117097e-08
1922,1.549366501762961e-08
1923,4.2463792482294593e-08
1924,1.4180787211159895e-08
1925,1.7597084678300234e-08
1926,1.671920735191179e-08
1927,7.804457524684949e-09
1928,1.2568645679778001e-08
1929,1.1140405931087116e-08
1930,1.2604324695075775e-08
1931,2.2810714206400462e-08
1932,1.2055489939655217e-08
1933,1.605892663292252e-08
1934,1.677421224144382e-08
1935,4.787313656606784e-09
1936,1.091224355320719e-08
1937,6.295559185076627e-09
1938,1.1668693011834819e-08
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,1.3071024262956144e-08
1946,1.2528993842408909e-08
1947,1.6689219339838246e-08
1948,8.697510045507784e-09
1949,7.853606653895895e-09
1950,1.0635361036293034e-08
1951,1.0661401539380222e-08
1952,1.2653764258629963e-08
1953,4.3095309543161875e-09
1954,6.840775279570721e-09
1955,2.815682353940474e-09
1956,6.976913269340912e-09
1957,4.417518795207798e-09
1958,4.1361216673863055e-09
1959,7.750747599288843e-09
1960,2.7683333403416555e-09
1961,3.47407969059077e-09
1962,6.341956293454132e-09
1963,7.112658795271898e-09
1964,1.2167936880302932e-08
1965,7.1136563306595235e-09
1966,4.985167390003653e-09
1967,7.888536934785861e-09
1968,9.88111459321317e-09
1969,1.0446043141598693e-08
1970,5.518470125309705e-09
1971,5.138397374260251e-09
1972,8.721249500354133e-09
1973,5.513203671370093e-09
1974,2.250228725575454e-09
1975,3.4268881066168433e-09
1976,2.856763492431469e-09
1977,7.052138428775834e-09
1978,1.1287123347081263e-08
1979,1.1703946256602649e-08
1980,1.0801786132219604e-08
1981,8.223214109648325e-09
1982,7.449002747961231e-09
1983,5.683784443100137e-09
1984,9.278413592994639e-09
1985,6.015557829641693e-09
1986,4.196139935519483e-09
1987,4.27757174126242e-09
1988,4.197587610832443e-09
1989,2.1952488715726304e-09
1990,3.814055737905164e-09
1991,3.5168792322792797e-09
1992,7.162927639914329e-09
1993,4.4313659408601325e-09
1994,2.637463358823311e-09
1995,8.675921314704738e-09
1996,2.6690460952494277e-09
1997,9.110299514780706e-09
1998,4.291316191284977e-09
1999,5.484241505371301e-09
2000,7.952456582138723e-09
2001,5.695575205910686e-09
2002,3.504977197366088e-09
2003,4.583615376141381e-09
2004,2.642874807889939e-09
2005,4.503749484463526e-09
2006,3.294311934354255e-09
2007,2.7961355453243186e-09
2008,7.663391338175174e-09
2009,2.860915504498962e-09
2010,4.723793189942427e-09
2011,5.353560705856353e-09
2012,3.4042526575461807e-09
2013,3.3469500504423877e-09
2014,6.063246349441442e-09
2015,7.75801378694041e-09
2016,1.1806638472444675e-08
2017,3.018733707449428e-09
2018,5.421080029321956e-09
2019,6.377469219387422e-09
