year,gens_NOUN in_ADJ
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,1.3596443970698147e-08
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,1.0898113522728181e-08
1818,1.1921176934492905e-08
1819,1.0351049795076506e-08
1820,0.0
1821,7.88919063410276e-09
1822,1.0025615893027862e-08
1823,3.9530747564242574e-09
1824,3.3684450784221553e-09
1825,1.8491430608946757e-08
1826,5.284790383086602e-09
1827,5.530363722527909e-09
1828,3.668920500743411e-09
1829,5.143905745796928e-09
1830,2.0873671680021744e-09
1831,1.091384405071949e-08
1832,2.705993873419743e-09
1833,0.0
1834,5.600718555598405e-09
1835,3.025235173481633e-09
1836,1.1425274948351216e-08
1837,6.957890930081589e-10
1838,6.943378316748294e-09
1839,2.0974426639952526e-09
1840,5.732719632334238e-09
1841,9.630822361827995e-09
1842,4.695785538189057e-09
1843,4.134837805480629e-09
1844,5.488561161115513e-09
1845,5.580227946389016e-10
1846,3.5127007969038004e-09
1847,7.011190739092399e-09
1848,2.413566457803995e-09
1849,3.3517659758786067e-09
1850,4.752297222410107e-09
1851,6.449438760824933e-09
1852,5.208436348880241e-09
1853,4.180352064508952e-09
1854,3.117398783558656e-09
1855,1.0613874223963649e-09
1856,5.177189343896771e-09
1857,4.881508974818871e-09
1858,4.404308473482388e-09
1859,7.129042689513199e-09
1860,3.661747127736703e-09
1861,5.659156698811785e-09
1862,4.517986429419807e-09
1863,2.9967726078439227e-09
1864,4.315255264231155e-09
1865,8.001635798393636e-09
1866,7.298419202328432e-09
1867,5.338092634588065e-09
1868,1.975949626142892e-09
1869,6.8369265804335555e-09
1870,4.013834153937523e-09
1871,3.18635318130589e-09
1872,4.8378714367913744e-09
1873,6.584604861359367e-09
1874,7.169530746864439e-09
1875,6.865832347102696e-09
1876,4.232210137899983e-09
1877,9.27722432209066e-09
1878,6.039088673581716e-10
1879,1.221865053580018e-09
1880,1.9253538763308597e-09
1881,4.8807553554297556e-09
1882,2.6621540527571597e-09
1883,3.791603475633565e-09
1884,3.9610181801208455e-09
1885,2.5782542767416317e-09
1886,3.2267319927115068e-09
1887,3.264462256069578e-09
1888,8.242799331981132e-09
1889,3.132568426877924e-09
1890,5.898947996740844e-09
1891,3.824531802365527e-09
1892,6.268512375839919e-09
1893,1.2316833108982905e-09
1894,2.520615716150587e-09
1895,1.2037228991346183e-09
1896,3.5382172747233653e-09
1897,1.7480140668268973e-09
1898,4.52668391659472e-09
1899,1.1055156790007459e-09
1900,4.15284251431558e-09
1901,2.235495566438317e-09
1902,1.4730852093691738e-09
1903,1.0800440541913758e-09
1904,3.2247751136083025e-09
1905,4.1286072338664326e-09
1906,4.115347618238729e-09
1907,5.142843373384665e-10
1908,7.367083831866239e-09
1909,3.300590023513905e-09
1910,5.344150677544235e-10
1911,2.6601871816467337e-09
1912,1.0418842455450772e-09
1913,3.71209285532359e-09
1914,4.018046340092951e-09
1915,8.246533234057551e-09
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,5.524709134618888e-09
1920,4.543339038320937e-09
1921,5.300923255902035e-09
1922,1.4755870969551665e-09
1923,4.246379248229459e-09
1924,0.0
1925,2.1996355847875293e-09
1926,0.0
1927,5.574612327308159e-09
1928,6.8556245125250825e-09
1929,0.0
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,3.287861094491973e-09
1933,2.2941324395731044e-09
1934,1.1981580172459871e-09
1935,0.0
1936,2.424942913137329e-09
1937,0.0
1938,2.5930428915188486e-09
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,0.0
1944,3.2131861615880553e-09
1945,0.0
1946,4.1763312808029696e-09
1947,4.7683483828109274e-09
1948,4.348755133776194e-09
1949,1.9634016634739737e-09
1950,0.0
1951,1.0661401761424827e-09
1952,0.0
1953,0.0
1954,3.9090144454689835e-09
1955,9.385607846468247e-10
1956,8.72114158667614e-10
1957,1.7670075402875796e-09
1958,0.0
1959,0.0
1960,0.0
1961,1.3896318540318475e-09
1962,2.5367825617905737e-09
1963,3.2330267352165265e-09
1964,1.2167936658258327e-09
1965,2.188817349590977e-09
1966,1.6617224263271169e-09
1967,2.465167847631733e-09
1968,2.6948494546985557e-09
1969,3.1792304344691047e-09
1970,4.5987250119061684e-10
1971,2.0553589941130213e-09
1972,5.130146862875051e-10
1973,2.205281512956958e-09
1974,1.1251143350321513e-09
1975,5.711480177694739e-10
1976,1.142705374768127e-09
1977,5.876781838942691e-10
1978,5.940591352171509e-10
1979,5.851973350345929e-10
1980,0.0
1981,3.1627747087981106e-09
1982,1.2415004579935385e-09
1983,3.157658134966823e-09
1984,2.3196033982486597e-09
1985,2.4062232206745193e-09
1986,1.7983456945813714e-09
1987,0.0
1988,5.996553809062277e-10
1989,1.6464366536794728e-09
1990,1.6345953479657283e-09
1991,5.861465202094962e-10
1992,2.2039776670368383e-09
1993,0.0
1994,1.0549853213248639e-09
1995,1.0844901643380922e-09
1996,5.338092190498855e-10
1997,4.79489448146353e-10
1998,1.9072516899143466e-09
1999,2.7421207526856506e-09
2000,1.3254094488601709e-09
2001,2.6287270138425356e-09
2002,4.38122149670761e-10
2003,0.0
2004,1.7619165015858584e-09
2005,1.3511248786457486e-09
2006,2.4707338397433887e-09
2007,1.5977917877663117e-09
2008,1.7029758714315335e-09
2009,0.0
2010,4.723793023408973e-10
2011,1.911985902935953e-09
2012,2.382976926895708e-09
2013,0.0
2014,1.0827225782605865e-09
2015,8.866301581811342e-10
2016,2.4856081637381067e-09
2017,1.509366853724714e-09
2018,7.744400121190154e-10
2019,1.7856913725466939e-09
