year,plusieurs_DET oies_NOUN,plusieurs_DET fois_NOUN
1800,0.0,3.2532671241369826e-05
1801,0.0,3.469144871814933e-05
1802,1.5664880947952042e-08,3.2144336955752806e-05
1803,0.0,3.444884276859739e-05
1804,0.0,3.4353786190877145e-05
1805,3.1271653710973624e-08,3.301718265902309e-05
1806,0.0,3.370112222000898e-05
1807,5.693910232196231e-09,3.226169553727232e-05
1808,2.039466551195801e-08,2.9123583544787834e-05
1809,1.129515236897305e-08,3.47619621834383e-05
1810,2.3401266702194334e-08,3.393183772004704e-05
1811,0.0,3.6395232768882124e-05
1812,0.0,3.602598161478454e-05
1813,0.0,3.9302760683312954e-05
1814,6.293354282149721e-09,3.6768923450836155e-05
1815,0.0,3.714346428296267e-05
1816,4.6352077731626196e-09,3.9531368827283586e-05
1817,1.556873407970727e-09,3.556210418764749e-05
1818,0.0,3.622607425768365e-05
1819,0.0,3.6231781734841206e-05
1820,4.746592452420373e-09,3.84497717504928e-05
1821,0.0,3.6339584994493634e-05
1822,0.0,3.624761563969514e-05
1823,0.0,4.0748294622972026e-05
1824,0.0,3.764910883319317e-05
1825,1.7610886082763955e-09,3.721356256392028e-05
1826,0.0,3.855430873045407e-05
1827,3.6869092223668076e-09,3.373982980292567e-05
1828,0.0,3.422185466206429e-05
1829,0.0,3.5520384244591696e-05
1830,9.39315203396518e-09,3.590271546727308e-05
1831,0.0,3.1453699989469897e-05
1832,1.3529969367098715e-09,3.430658944125753e-05
1833,0.0,3.631583490459889e-05
1834,1.8669061851994684e-09,3.48756736912037e-05
1835,2.2689263801112247e-09,3.469112903076166e-05
1836,2.016224964762614e-09,3.559779838724353e-05
1837,1.3915781860163179e-09,3.758235379791586e-05
1838,1.2624323808552163e-09,3.674940614928346e-05
1839,0.0,3.546076334259851e-05
1840,0.0,3.365042812220054e-05
1841,1.926164561183441e-09,3.6235651464266994e-05
1842,0.0,3.577115217012761e-05
1843,6.497602011990011e-09,3.372019239122892e-05
1844,0.0,3.257241633036756e-05
1845,5.580227946389016e-10,3.259076493122848e-05
1846,0.0,3.3185655752276944e-05
1847,0.0,3.244671086122253e-05
1848,8.045221711050488e-10,3.205618577339919e-05
1849,2.513824481908955e-09,3.2161870649360935e-05
1850,0.0,3.133868403892848e-05
1851,6.449438760824933e-10,3.180992166562646e-05
1852,0.0,2.9785744800392422e-05
1853,1.0152284346531815e-08,3.269990884291474e-05
1854,0.0,3.164990982895688e-05
1855,0.0,3.1201075898934505e-05
1856,0.0,3.0312960234368802e-05
1857,0.0,3.182060447670665e-05
1858,4.893676019968041e-10,3.085218122578226e-05
1859,1.5276520048956854e-09,3.0421661563195812e-05
1860,0.0,3.114361618372641e-05
1861,4.715963730639317e-10,2.9761976179543126e-05
1862,9.035972525772706e-10,3.1365668064609054e-05
1863,6.99246927027275e-09,2.881546549815539e-05
1864,4.794727948009836e-10,2.8765011848008726e-05
1865,2.3534221238463715e-09,2.8568661832650832e-05
1866,4.865612912574591e-10,2.9229683264020423e-05
1867,0.0,2.7960444754171476e-05
1868,4.44588676984381e-09,2.8815767791456892e-05
1869,0.0,2.826678598921717e-05
1870,0.0,2.9930588084425835e-05
1871,0.0,2.615040102682542e-05
1872,6.047339295989218e-10,2.8200557494528766e-05
1873,5.387403856360606e-09,2.963790461762983e-05
1874,0.0,2.989037159295549e-05
1875,1.1443054281912168e-09,2.8441711037885398e-05
1876,6.04601479992084e-10,2.8461009151214967e-05
1877,6.184815992682502e-10,2.7345545049684006e-05
1878,1.8117265465633636e-09,2.7485704777063802e-05
1879,0.0,2.7931834438277292e-05
1880,1.2835692508872398e-09,2.735927921548864e-05
1881,3.4862537301449947e-09,2.6448115704624797e-05
1882,3.3276925659464496e-09,2.751003421508358e-05
1883,5.687405213450347e-09,2.71087004648507e-05
1884,0.0,2.8321939907982596e-05
1885,0.0,2.6966606696987583e-05
1886,6.453463874400711e-10,2.6972898126587097e-05
1887,0.0,2.5487615971542255e-05
1888,6.340614699951175e-10,2.7329951876708947e-05
1889,3.132568426877924e-09,2.57052299730276e-05
1890,0.0,2.5656489697212237e-05
1891,6.374220040683554e-10,2.5647311645116133e-05
1892,6.268512375839919e-10,2.534422219468979e-05
1893,0.0,2.5336342105219956e-05
1894,6.301539290376468e-10,2.4686910364835057e-05
1895,1.8055843487019274e-09,2.4389833811255812e-05
1896,1.179405795248556e-09,2.40292145008425e-05
