year,parties_NOUN in_ADJ,parties_NOUN fines_ADJ
1800,2.829748071420113e-07,3.458580977167003e-08
1801,1.5953922627431893e-07,7.857902772911984e-08
1802,2.304975339484372e-07,1.5664880947952042e-08
1803,2.145373088069391e-07,9.16659448346735e-08
1804,5.487509042723104e-07,2.4718509905596875e-08
1805,2.302730877090653e-07,4.264316544322355e-08
1806,3.7202348721621092e-06,5.187004425977193e-08
1807,1.3380688779207617e-07,7.97147414743904e-08
1808,5.121327149026911e-07,7.478044494746428e-08
1809,4.585832016346103e-07,1.0843346842648316e-07
1810,3.931413061764033e-07,3.510190182964834e-08
1811,3.8358274423444527e-07,2.2563691359778204e-08
1812,1.0988898138108993e-06,4.800974906515876e-08
1813,6.527933464894886e-07,0.0
1814,2.9578765747828584e-07,5.349351184236184e-08
1815,1.1598061178119679e-07,4.5852800667489646e-08
1816,3.0128850880828395e-07,2.3176038865813098e-08
1817,2.506566216808892e-07,9.341240669868967e-09
1818,2.3842354557324086e-07,3.9339884239097955e-08
1819,2.6084644899615483e-07,2.4842520929269085e-08
1820,2.966620193944891e-07,2.8479554714522237e-08
1821,2.031466550533878e-07,2.465372084259343e-08
1822,5.704575301024306e-07,3.909990198280866e-08
1823,4.121080507957231e-07,1.8480623964478582e-07
1824,2.6526506413659945e-07,3.3684450784221553e-08
1825,2.1573335118318937e-07,5.6354835464844655e-08
1826,1.7439809596453415e-07,5.108631029315802e-08
1827,2.3872737209273964e-07,1.0415518819639757e-07
1828,2.2747306616111018e-07,5.044765671868845e-08
1829,2.4605014914413914e-07,4.886710414098161e-08
1830,2.891003418881155e-07,1.1897992635567789e-07
1831,3.055876334201457e-07,4.5214498811674275e-08
1832,3.09836290957044e-07,1.1365174401589684e-07
1833,2.3283092787096393e-07,7.876867158529421e-08
1834,1.764226311706807e-07,6.347480763224667e-08
1835,1.921024335160837e-07,4.5378527602224494e-08
1836,1.5592139951392525e-07,3.2259599436201825e-08
1837,1.405494004513841e-07,4.87052354003481e-08
1838,1.3634269180329284e-07,3.092959488526503e-08
1839,1.7268944152437626e-07,4.334714631681891e-08
1840,1.3758527472873538e-07,8.280595409360103e-08
1841,1.9646877813528363e-07,7.76886395215115e-08
1842,1.3081117344881932e-07,4.293289634915709e-08
1843,2.610854608064983e-07,5.316219997553162e-08
1844,2.3710585139724571e-07,6.476502534269457e-08
1845,3.4430006740082675e-07,5.747634901354104e-08
1846,1.3231172601990693e-07,3.219975752699611e-08
1847,5.916366490055225e-07,3.020205241455187e-08
1848,1.6734061603074224e-07,5.229394162142853e-08
1849,9.803915190786938e-08,3.100383594301093e-08
1850,1.4460562169915647e-07,7.332116069846961e-08
1851,3.018337462190601e-07,1.1093034402165358e-07
1852,1.4844043505490845e-07,3.971432604998881e-08
1853,1.5168707157009464e-07,3.4637203327747557e-08
1854,3.2992470605508473e-07,7.170017113367066e-08
1855,1.7990517164889752e-07,1.0083180512765466e-07
