year,quelques_DET oeufs_NOUN
1800,2.5153315874604232e-08
1801,2.6193008650921e-08
1802,1.7902721083373763e-08
1803,2.7304748684287006e-08
1804,1.7302956178966156e-08
1805,8.528632911009026e-09
1806,2.305335211616466e-08
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,1.4040760554223652e-08
1811,3.259199843341776e-08
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,2.2026739543434815e-08
1815,2.697223555614414e-09
1816,3.244645441213834e-08
1817,3.113746815941454e-09
1818,1.0729059418679299e-08
1819,2.070210003424222e-09
1820,5.933240565525466e-09
1821,2.9584463767662328e-09
1822,4.010246357211145e-09
1823,4.941343334508019e-09
1824,5.894778887238772e-09
1825,5.283265824829186e-09
1826,6.1655889282974385e-09
1827,2.7651818612639545e-09
1828,4.586150570418113e-09
1829,6.001223074036943e-09
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,0.0
1833,5.791814139399776e-09
1834,1.8669061851994684e-09
1835,1.5126175867408165e-09
1836,4.704525213838906e-09
1837,9.045257876039159e-09
1838,1.0730675015224733e-08
1839,4.894032734625853e-09
1840,1.910906599622564e-09
1841,6.420548537278137e-10
1842,1.341653010911159e-09
1843,3.5441467538532834e-09
1844,2.7442805805577564e-09
1845,2.2320911785556063e-09
1846,1.1709002656346001e-09
1847,1.0786447290911383e-09
1848,2.4135665133151463e-09
1849,8.379414495607307e-09
1850,6.788996032014438e-10
1851,7.739326512989919e-09
1852,1.3021090872200602e-09
1853,7.763511611358354e-09
1854,1.558699391779328e-09
1855,1.0613874223963649e-09
1856,2.5885946719483854e-09
1857,1.4644527812635033e-09
1858,2.4468380654951716e-09
1859,1.5276520048956854e-09
1860,9.154367819341758e-10
1861,6.13075279431996e-09
1862,2.710791813242963e-09
1863,1.4983863039219614e-09
1864,2.3973640850272204e-09
1865,3.294791106611683e-09
1866,2.4328064562872953e-09
1867,2.426405742994575e-09
1868,9.87974813071446e-10
1869,0.0
