year,aurons_VERB été_VERB
1800,1.0690159513160324e-07
1801,8.810375362600098e-08
1802,4.699464284385613e-08
1803,3.510610468993036e-08
1804,5.9324420931261557e-08
1805,5.401467717547348e-08
1806,6.051504897186533e-08
1807,1.9928686256776018e-08
1808,4.5321478125970316e-08
1809,3.840352036377226e-08
1810,7.254392642153107e-08
1811,3.259199843341776e-08
1812,7.20146218213813e-08
1813,2.5881675469463516e-08
1814,7.237357380063258e-08
1815,5.664169577812572e-08
1816,6.025770460382773e-08
1817,6.694555310104988e-08
1818,3.9339884239097955e-08
1819,9.315944993204539e-08
1820,8.899861114741725e-08
1821,9.072569184809254e-08
1822,9.624591257306747e-08
1823,5.830785099192326e-08
1824,4.5474010335055937e-08
1825,6.427973175959778e-08
1826,7.04638765114396e-08
1827,6.452091128039683e-08
1828,3.944089499441361e-08
1829,9.344761764396026e-08
1830,8.55820516676431e-08
1831,7.016042502527853e-08
1832,2.570694235259907e-08
1833,3.1275796175123105e-08
1834,6.347480763224667e-08
1835,6.958040899007756e-08
1836,6.72075017860152e-08
1837,7.097048637660919e-08
1838,4.292270006089893e-08
1839,5.033862038317238e-08
1840,7.834717052901397e-08
1841,6.035315891494974e-08
1842,5.366612043644636e-08
1843,5.847842032835615e-08
1844,7.190015338665035e-08
1845,6.975285060661918e-08
1846,5.1519613464279246e-08
1847,4.7999691332734074e-08
1848,5.229394162142853e-08
1849,2.76520690789539e-08
1850,3.869727649430388e-08
1851,4.901573547044791e-08
1852,7.942865209997763e-08
1853,6.5094056367343e-08
1854,7.533713386465024e-08
1855,5.7845614520601885e-08
1856,8.8012214405353e-08
1857,3.905207179855097e-08
1858,7.193703766006365e-08
1859,5.4995471288066256e-08
1860,4.897586691754441e-08
1861,5.989274143303192e-08
1862,1.1114246234456004e-07
1863,5.943598679891693e-08
1864,8.198984602358905e-08
1865,7.719224726088214e-08
1866,6.179328693178832e-08
1867,6.454239098729886e-08
1868,7.113418831750096e-08
1869,4.248661511496721e-08
1870,7.855646799725946e-08
1871,8.709365317827178e-08
1872,7.01491345012073e-08
1873,4.4895035244962855e-08
1874,6.512323835750067e-08
1875,3.718992758194872e-08
1876,4.413590914964516e-08
1877,3.030559980743419e-08
1878,4.227361927178208e-08
1879,5.5594860270957724e-08
1880,5.711883233061599e-08
1881,5.717456375009533e-08
1882,6.189507928411331e-08
1883,5.0554710639971745e-08
1884,4.951272813968899e-08
1885,6.767917426486747e-08
1886,7.486018205327127e-08
1887,4.439668899181015e-08
1888,3.043495055976564e-08
1889,4.698852507090123e-08
1890,3.8015443237782165e-08
1891,6.055508805502541e-08
1892,5.014809900671935e-08
1893,4.6803965148001225e-08
1894,2.3945849747519787e-08
1895,5.1760085995056215e-08
1896,5.425266635938897e-08
1897,4.3700350005337896e-08
1898,4.187182511827814e-08
1899,4.4220627160029835e-08
1900,4.464305547458025e-08
1901,4.526878427668635e-08
1902,3.879124221839447e-08
1903,2.970121215639665e-08
1904,5.0521478556220245e-08
1905,3.354493216534138e-08
1906,3.4980455865252225e-08
1907,2.7771354993433306e-08
1908,3.732655784460803e-08
1909,4.565816524859656e-08
1910,3.5271394693836555e-08
1911,4.8415405018431557e-08
1912,4.740573444905749e-08
1913,5.196929819817342e-08
1914,5.6252648761301316e-08
1915,7.068457108516668e-08
1916,1.1866458748954756e-07
1917,9.431124681213987e-08
1918,8.270190932080368e-08
1919,7.182121919413476e-08
1920,8.632343906356255e-08
1921,5.755288157160976e-08
1922,3.467629738906908e-08
1923,4.458698299458774e-08
1924,7.09039369439779e-08
1925,3.8493624288094e-08
1926,3.901148559748435e-08
1927,4.9056588125040435e-08
1928,4.34189573184085e-08
1929,4.4561623724348465e-08
1930,3.151081173768944e-08
1931,3.079446386777818e-08
1932,4.931791508511196e-08
1933,2.523545639121494e-08
1934,3.5944740517379614e-08
1935,5.6250936353308134e-08
1936,3.758661648589623e-08
1937,2.5182236740306507e-08
1938,3.3709557811789637e-08
