year,profondes_ADJ eaux_NOUN
1800,7.545995117652637e-08
1801,0.0
1802,1.5664880947952042e-08
1803,2.7304748684287006e-08
1804,5.9324420931261557e-08
1805,5.970043304159844e-08
1806,1.729001475325731e-08
1807,1.9928686256776018e-08
1808,4.078933102391602e-08
1809,1.129515236897305e-08
1810,3.510190182964834e-08
1811,4.512738271955641e-08
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,0.0
1815,8.091670444798638e-09
1816,6.952811659743929e-09
1817,4.203558034987509e-08
1818,9.536941902865692e-09
1819,2.173720581311045e-08
1820,8.306536791735653e-09
1821,1.0847637454958203e-08
1822,4.110502516141423e-08
1823,1.581229902569703e-08
1824,2.6947560627377243e-08
1825,2.553578504205234e-08
1826,9.688783109140786e-09
1827,7.373818444733615e-09
1828,2.0179061976932644e-08
1829,1.628903412154159e-08
1830,1.6698937344017395e-08
1831,1.2472964883158966e-08
1832,1.6235963684607668e-08
1833,3.359252431778259e-08
1834,2.333632664885954e-08
1835,1.1344631900556124e-08
1836,6.72075017860152e-09
1837,2.365682938432201e-08
1838,1.009945904684173e-08
1839,4.894032734625853e-09
1840,1.4013314952876499e-08
1841,2.1829865914924085e-08
1842,4.024959032733477e-09
1843,6.497602011990011e-09
1844,7.1351298203126134e-09
1845,1.0044410636567136e-08
1846,5.269050973311096e-09
1847,7.550513103637968e-09
1848,2.091757700384278e-08
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,1.3543821175687754e-08
1852,3.2552727180501506e-09
1853,2.9859659189668264e-09
1854,5.195664343204953e-09
1855,7.960405667972736e-09
1856,1.2425253714809514e-08
1857,1.4644527368545823e-08
1858,4.893676130990343e-09
1859,1.5276520048956854e-09
1860,1.327383358784573e-08
1861,1.839225838295988e-08
1862,9.487771457372673e-09
1863,1.5982786649715308e-08
1864,6.233146443435089e-09
1865,1.8827376990770972e-08
1866,6.811858188626729e-09
1867,4.85281148598915e-09
1868,1.2843672791973404e-08
1869,5.371870948067681e-09
1870,1.0321287824410774e-08
1871,3.18635318130589e-09
1872,4.23313739617015e-09
1873,2.2746817762708815e-08
1874,5.974609140757536e-10
1875,5.721527140956084e-10
1876,1.5115036333668286e-08
1877,2.4120781816350245e-08
1878,2.4156354694326865e-09
1879,9.163987790827832e-09
1880,1.9253538763308597e-09
1881,1.045876096839038e-08
1882,1.3310770263785798e-09
1883,5.0554711528150165e-09
1884,1.2543224237049344e-08
1885,1.2891271383708158e-09
1886,1.2906927748801422e-09
1887,7.1818169189441505e-09
1888,8.876860135842435e-09
1889,1.2530273485467092e-09
1890,3.9326319978272295e-09
1891,7.0116419337296065e-09
1892,5.014809900671935e-09
1893,1.847525021858587e-09
1894,4.411077725308132e-09
1895,1.2037228991346183e-09
1896,2.358811590497112e-09
1897,5.826713334045053e-09
1898,2.8291773368493978e-09
1899,6.080336234504102e-09
1900,9.34389543516545e-09
1901,2.235495566438317e-09
1902,3.437198747846537e-09
1903,1.0800440541913758e-09
1904,3.7622376325430196e-09
1905,3.6125313851442797e-09
1906,3.0865106026567446e-09
1907,4.6285588695127444e-09
1908,3.929111258571538e-09
1909,6.0510818578052294e-09
1910,4.275320542035388e-09
1911,5.3203743632934675e-09
1912,4.167536982180309e-09
1913,1.590896969716482e-09
1914,6.696743604095445e-09
1915,1.6493066468115103e-08
1916,2.7468654906215306e-08
1917,4.386569774084137e-09
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,5.300562211374427e-09
1921,5.300923255902035e-09
1922,2.2133805899215986e-09
1923,1.2739137744688378e-08
1924,5.156649773851996e-09
1925,9.898360353588487e-09
1926,3.343841648018042e-09
1927,8.919379901328739e-09
1928,6.8556245125250825e-09
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,4.5621426636444085e-09
1932,4.383814644626227e-09
1933,1.1470662197865522e-09
1934,7.188948103475923e-09
1935,8.377798899061872e-09
1936,3.6374143697059935e-09
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,0.0
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,2.7842208538686464e-09
1947,2.3841741914054637e-09
1948,7.610321262063735e-09
1949,2.945102384188658e-09
1950,9.571825110299415e-09
1951,4.264560704569931e-09
1952,4.2179215675730575e-09
1953,5.386913581872932e-09
1954,4.886268278880834e-09
1955,5.631364707880948e-09
1956,6.104799332717903e-09
1957,1.7670075402875796e-09
1958,2.4816730892496253e-09
1959,9.300897829689347e-09
1960,3.460416619915918e-09
1961,6.94815938118154e-09
1962,4.43936931660005e-09
1963,1.1638896069143811e-08
1964,7.300761772910391e-09
1965,8.20806533852192e-09
1966,4.431259803538978e-09
1967,5.916402479044791e-09
1968,5.838840522187638e-09
1969,6.358460868938209e-09
1970,4.1388523719376735e-09
1971,8.221435976452085e-09
1972,1.0260293725750103e-09
1973,4.410563025913916e-09
1974,2.812785782069227e-09
1975,2.2845920710778955e-09
1976,2.285410749536254e-09
1977,5.876781838942691e-10
1978,5.940591130126904e-09
1979,1.7555920051037788e-09
1980,5.116635559687666e-09
1981,3.795329828193417e-09
1982,2.483000915987077e-09
1983,4.4207211225000265e-09
1984,7.538710988796993e-09
1985,8.421781494405423e-09
1986,1.7983456945813714e-09
1987,6.721898593298192e-09
1988,2.99827696004229e-09
1989,7.134558721588746e-09
1990,3.2691906959314565e-09
1991,2.344586080837985e-09
1992,2.2039776670368383e-09
1993,6.093128224193833e-09
1994,5.274926717646622e-09
1995,3.253470381991974e-09
1996,4.270473752399084e-09
1997,7.671831170341648e-09
1998,1.9072516899143466e-09
1999,3.1991407301035224e-09
2000,7.068850393920911e-09
2001,3.943090742808408e-09
2002,3.066854992184176e-09
2003,2.5001538617175356e-09
2004,4.845270407116686e-09
2005,2.702249757291497e-09
2006,7.412201963319376e-09
2007,2.7961355453243186e-09
2008,4.257439734089985e-09
2009,1.907277002999308e-09
2010,4.723792912386671e-09
2011,3.059177577924288e-09
2012,6.127654827992046e-09
2013,5.29933741333366e-09
2014,4.7639794331644225e-09
2015,5.763096222466402e-09
2016,6.006886099640951e-09
2017,4.024978128569501e-09
2018,3.614053500911041e-09
2019,4.3366790158927415e-09
