year,deux_DET hôtes_NOUN,deux_DET fautes_NOUN
1800,3.144164484325529e-09,1.2891073808418696e-07
1801,9.524730337773235e-09,1.6668277780240714e-07
1802,1.1189200677108602e-08,2.3273537408385891e-07
1803,1.950339223455444e-09,1.5017611820766774e-07
1804,1.2359254952798437e-08,2.0516363008482585e-07
1805,0.0,1.3645813190521494e-07
1806,0.0,2.4494188544110784e-07
1807,8.540865792383556e-09,1.5942948516922684e-07
1808,0.0,1.8808414070647927e-07
1809,2.259030518203531e-09,1.2650571479255746e-07
1810,2.106114038724627e-08,1.5678848797051614e-07
1811,1.0028307073639553e-08,1.1783260855935396e-07
1812,1.3336041604361526e-08,1.360276229434021e-07
1813,0.0,2.501895199902293e-07
1814,1.8880061958270744e-08,1.1957373313720154e-07
1815,5.394447111228828e-09,1.9150286667546368e-07
1816,0.0,1.4832664696484699e-07
1817,0.0,2.413153655789202e-07
1818,0.0,2.7061072849221546e-07
1819,2.6912729822470283e-08,2.2461777915427916e-07
1820,7.119888678630559e-09,3.0140861539962316e-07
1821,9.86148829262845e-10,1.558115094724144e-07
1822,5.012807946513931e-09,1.664252238242625e-07
1823,9.882686891060644e-10,1.8678277702299795e-07
1824,5.052667617633233e-09,1.2294824980330077e-07
1825,2.1133063299316746e-08,1.4881198917571226e-07
1826,1.2331177856594877e-08,2.3341159227641128e-07
1827,2.7651818612639545e-09,1.2443318464505637e-07
1828,1.651014225334535e-08,1.1098484264948638e-07
1829,4.286587973467704e-09,1.5603179992496052e-07
1830,1.7742621594152297e-08,1.3567886725240896e-07
1831,2.8064171431196883e-08,1.153749282778449e-07
1832,2.976593194148336e-08,1.0282776508052649e-07
1833,1.50587169400751e-08,9.846083948161777e-08
1834,1.8669062740173104e-08,1.6242083944462138e-07
1835,3.025235173481633e-09,1.3537927401330307e-07
1836,3.024337402735e-08,1.377753754416844e-07
1837,2.0177884252348122e-08,9.323573535446883e-08
1838,1.8936486156917454e-08,1.4644215085013457e-07
1839,1.1885507689157748e-08,1.8038006022180753e-07
1840,1.3376346252869098e-08,1.5159858435254137e-07
1841,3.017657768111803e-08,1.4253618241255595e-07
1842,2.0124794275488966e-08,1.5697340094433798e-07
1843,1.6539351221922516e-08,1.0337094313861428e-07
1844,2.4149668931272572e-08,1.3995830938640097e-07
1845,2.17628883802945e-08,1.495501078530026e-07
1846,2.2247105713191218e-08,1.5865699065642502e-07
1847,1.1325769655456952e-08,1.2781939950912147e-07
1848,4.827132860096839e-09,1.600999146589288e-07
1849,6.703531951757213e-09,1.3407063903514427e-07
1850,3.258718184184772e-08,9.368814524179925e-08
1851,2.192809134271556e-08,1.1737978500292456e-07
1852,2.408901877970493e-08,1.380235588044343e-07
1853,3.822036354073077e-08,1.2839653074081525e-07
1854,1.2469595134234623e-08,1.6781996770021124e-07
1855,6.04990830765928e-08,9.393278688207829e-08
1856,1.1389816201301528e-08,1.2062850540672798e-07
1857,2.782460128969433e-08,1.3717039881733228e-07
1858,2.5447114415655392e-08,1.3408672128178978e-07
1859,2.291477918525686e-08,1.242490270669805e-07
1860,3.8906065036314885e-08,7.918528388550783e-08
1861,3.4426535400200464e-08,1.112967407124188e-07
1862,1.7168347854479293e-08,9.758850483265746e-08
1863,1.897955925755923e-08,1.2286767159253031e-07
1864,2.397363974004918e-08,1.174708312845496e-07
1865,3.2006542804996485e-08,1.4779491852578985e-07
1866,2.7247431866328498e-08,1.7078300729167495e-07
1867,2.1837651686951176e-08,1.290847855273114e-07
1868,3.6555068971821925e-08,1.64497812704667e-07
1869,3.271957882411414e-08,7.862465523089668e-08
1870,2.9243647947652107e-08,1.2729588227955446e-07
1871,4.142259157902117e-08,1.412616565943381e-07
1872,2.4794091668667306e-08,1.1429471591384299e-07
1873,2.214821659407562e-08,1.2031869012218976e-07
1874,2.9275584623178474e-08,9.141151835478922e-08
1875,3.032409523484603e-08,1.2301283192073242e-07
1876,1.5115036333668286e-08,1.5356878080297065e-07
1877,8.040260901509555e-09,1.1132668831237424e-07
1878,2.536417298415472e-08,1.4735376274721546e-07
