year,avons_VERB été_VERB,avons_VERB eté_VERB,avons_VERB fêté_VERB
1800,5.624910045298748e-06,1.5720821977538435e-08,0.0
1801,6.6101629272452556e-06,4.7623651688866175e-09,0.0
1802,5.2410214266274124e-06,1.1189200677108602e-08,0.0
1803,4.292696758056991e-06,3.900678446910888e-09,0.0
1804,5.89536466577556e-06,1.2359254952798437e-08,7.4155526164076946e-09
1805,4.918178547086427e-06,2.842877711017877e-09,0.0
1806,5.86707847105572e-06,5.76333825108577e-09,0.0
1807,5.061885985924164e-06,5.693910232196231e-09,0.0
1808,4.337265636422671e-06,9.064295980465431e-09,0.0
1809,4.99697534905863e-06,1.3554183553310395e-08,0.0
1810,4.958728823112324e-06,4.680253518074551e-09,0.0
1811,4.0739996620686725e-06,0.0,0.0
1812,4.760966476169415e-06,1.3336041604361526e-08,0.0
1813,5.104441243020119e-06,2.8757416448144113e-09,0.0
1814,8.477148185193073e-06,1.2586708564299443e-08,0.0
1815,6.416694759536767e-06,1.0788894222457657e-08,0.0
1816,6.600535925826989e-06,6.952811659743929e-09,0.0
1817,6.5124013417516835e-06,4.670620334934483e-09,0.0
1818,6.261002454266418e-06,5.960588467246453e-09,0.0
1819,6.07192578172544e-06,7.24573512300708e-09,0.0
1820,6.292794751061592e-06,7.119888678630559e-09,9.493184904840746e-09
1821,6.589446456928272e-06,8.875339574387908e-09,0.0
1822,6.404363375622779e-06,1.1028177482330648e-08,1.0025615893027862e-09
1823,6.292306807154091e-06,8.894418535021487e-09,0.0
1824,5.824883828609018e-06,1.6842225392110777e-09,0.0
1825,5.472582870424958e-06,4.4027217427355936e-09,0.0
1826,5.525248525373172e-06,1.7615968683770689e-09,0.0
1827,6.041922461008653e-06,8.295545583791863e-09,1.8434546111834038e-09
1828,6.189468876982573e-06,2.7516904310687096e-09,0.0
1829,6.357010079227621e-06,8.57317605795771e-10,8.57317605795771e-10
1830,7.384061518678209e-06,7.305785310052215e-09,2.0873671680021744e-09
1831,7.023838406894356e-06,4.677361609140007e-09,1.5591206103948707e-09
1832,6.617508006456774e-06,5.411987746839486e-09,0.0
1833,6.646685960731702e-06,1.1583628278799551e-08,1.1583628500844156e-09
1834,7.100777565938188e-06,1.120143711119681e-08,0.0
1835,6.821905117249116e-06,8.31939672707449e-09,0.0
1836,6.470066182373557e-06,8.736974699274924e-09,4.704525213838906e-09
1837,6.210613264556741e-06,4.87052354003481e-09,2.0873671680021744e-09
1838,5.839381174155278e-06,1.2624323808552163e-09,0.0
1839,6.315399332379457e-06,4.194885327990505e-09,2.0974426639952526e-09
1840,6.8818117142654955e-06,2.5478754661634184e-09,6.369688665408546e-10
1841,7.119746442185715e-06,2.5682194149112547e-09,3.2102742686390684e-09
1842,7.056424237816827e-06,6.037438549100216e-09,6.037438549100216e-09
1843,6.480472166003892e-06,2.953455480181333e-09,5.31621990873532e-09
1844,6.971021775825648e-06,3.2931368743049916e-09,5.488561272137815e-10
1845,6.281104560912354e-06,2.7901139176833567e-09,1.1160455892778032e-09
1846,6.8696717789862305e-06,3.5127007969038004e-09,0.0
1847,6.677350029349327e-06,5.3932236454556914e-09,1.6179670936367074e-09
1848,7.1747285801393446e-06,5.63165514222419e-09,4.82713291560799e-09
1849,8.072728633123916e-06,2.513824481908955e-09,2.513824481908955e-09
1850,6.818188921897672e-06,8.146795238417326e-09,9.504594444820214e-09
1851,6.185011898196535e-06,3.2247193804124663e-09,6.449438760824933e-10
1852,6.470179869211279e-06,0.0,1.9531636308300904e-09
1853,6.433562248275848e-06,5.971931837933653e-10,5.971931837933653e-10
1854,6.618237421207596e-06,6.754363734984281e-09,8.313063126763609e-09
1855,6.14755572314607e-06,2.1227748447927297e-09,2.1227748447927297e-09
1856,6.948305781406816e-06,2.0708756931497874e-09,6.73034605824796e-09
1857,6.544639290950727e-06,1.4644527812635033e-09,6.345961978126979e-09
1858,6.883444712002529e-06,0.0,0.0
1859,6.9798420554434415e-06,1.018434669930457e-09,2.036869339860914e-09
1860,7.0333007897716016e-06,1.8308735638683515e-09,1.2358396972445007e-08
1861,7.319647465919843e-06,2.8295783494058924e-09,3.3011746669586728e-09
1862,7.591120720462641e-06,9.035972525772706e-10,3.162590411776023e-09
1863,7.158290372899501e-06,1.4983863039219614e-09,1.0988165932701577e-08
1864,7.176269264164148e-06,2.3973640850272204e-09,6.233146443435089e-09
1865,7.223123247968033e-06,3.294791106611683e-09,5.177528628053096e-09
1866,7.085305696818978e-06,1.4596839292835284e-09,6.3252967308358166e-09
1867,6.972034043428721e-06,3.88224918879132e-09,5.338092634588065e-09
1868,6.6120214796683285e-06,1.4819622196071691e-09,2.4699371437009177e-09
1869,6.83985672367271e-06,9.767038289254515e-10,1.6115613732381462e-08
1870,7.211713182186941e-06,2.8670243956696595e-09,4.587239033071455e-09
1871,1.0059316991828382e-05,8.496941816815706e-09,1.0621176826930423e-08
1872,9.014163879328407e-06,1.8142017887967654e-09,6.652073114565837e-09
1873,7.905117854534183e-06,4.190203295451056e-09,1.3169209722718733e-08
1874,6.936521003808593e-06,3.5847653734322193e-09,4.182226565063729e-09
1875,7.501494110329077e-06,2.8607636259891933e-09,1.2015206607429718e-08
1876,6.801162271585781e-06,0.0,4.836811839936672e-09
1877,6.3227375903807115e-06,1.2369631985365004e-09,5.566334504436554e-09
1878,6.281859896262176e-06,2.4156354694326865e-09,1.2078177347163432e-09
1879,6.860772373329382e-06,0.0,6.720257683667796e-09
1880,6.406294232874643e-06,3.8507077526617195e-09,1.7969970400599777e-08
1881,7.138453383959131e-06,2.091752326904839e-09,5.5780060570498335e-09
1882,6.883664809720358e-06,1.3310770263785798e-09,2.6621540527571597e-09
1883,6.891239081596723e-06,2.5277355764075082e-09,5.687405213450347e-09
1884,7.143696166167501e-06,6.601696966868076e-10,1.3203393933736152e-08
