year,quelques_DET eaux_NOUN
1800,7.074370231840987e-07
1801,4.5242469548512076e-07
1802,2.215461734067503e-07
1803,3.58862413563088e-07
1804,1.9527622896475805e-07
1805,2.4164460610265337e-07
1806,1.671368039524168e-07
1807,5.209927849136875e-07
1808,3.8296650961555656e-07
1809,2.6882463544097845e-07
1810,1.8955026881428694e-07
1811,1.6546706893549867e-07
1812,2.827240734859515e-07
1813,2.5594101771275746e-07
1814,1.2272040805783035e-07
1815,1.3755840200246894e-07
1816,2.827476599520651e-07
1817,3.0826092256575066e-07
1818,1.4663048819585356e-07
1819,2.411794675083456e-07
1820,1.6494408328071586e-07
1821,2.2188348380858258e-07
1822,9.223566621585633e-08
1823,1.1661570775700625e-07
1824,1.7515914407795208e-07
1825,1.0654586324321258e-07
1826,1.2771577084791375e-07
1827,2.3135354698666788e-07
1828,1.797770985412228e-07
1829,1.6803425140210493e-07
1830,1.5863990387998683e-07
1831,1.8709446880649239e-07
1832,2.597754102939831e-07
1833,2.0618858442844612e-07
1834,1.54953209374753e-07
1835,1.4218605315363675e-07
1836,1.5726554947192994e-07
1837,1.315041417981888e-07
1838,8.39517539930057e-08
1839,1.2514740621583087e-07
1840,1.1338045879938363e-07
1841,1.585875448739671e-07
1842,6.708265187782558e-08
1843,9.982679527453797e-08
1844,1.158086453401097e-07
1845,8.705155485344562e-08
1846,1.042101231973902e-07
1847,1.429204301572895e-07
1848,1.5044565060406967e-07
1849,1.080944542763973e-07
1850,1.7108270089494226e-07
1851,1.0706068653831835e-07
1852,8.593920131083621e-08
1853,1.3616004856942254e-07
1854,1.3560684219982022e-07
1855,9.287139945968192e-08
1856,1.0561466279312981e-07
1857,1.2740739041561255e-07
1858,2.1091743818146824e-07
1859,1.3341493776408697e-07
1860,1.1122556919929139e-07
1861,1.4289369998365942e-07
1862,1.897554264829182e-07
1863,8.940371343246767e-08
1864,1.3377291452343343e-07
1865,7.578019678433634e-08
1866,9.244664234131506e-08
1867,7.76449837758264e-08
1868,1.1411109124281893e-07
1869,1.0353060631018707e-07
1870,1.272958884968034e-07
1871,7.647247701747517e-08
1872,7.377753852289004e-08
1873,1.1493128937445363e-07
1874,1.0754296697612631e-07
1875,9.040012827199462e-08
1876,7.738899010512057e-08
1877,6.555904719096617e-08
1878,6.280652220524985e-08
1879,6.598071577990083e-08
1880,7.380522948352564e-08
1881,6.554156950500101e-08
1882,5.790185153564664e-08
1883,8.341527646393843e-08
1884,6.007544151032107e-08
1885,7.541393554078013e-08
1886,6.517998230037847e-08
1887,8.226445036285668e-08
1888,7.989174743983085e-08
1889,6.515742168033967e-08
1890,7.340912944187039e-08
1891,9.816298707221449e-08
1892,7.647584965297938e-08
1893,7.698020798585503e-08
1894,1.0334524347399565e-07
1895,4.754705296150519e-08
1896,3.715128193970685e-08
1897,4.486569560313569e-08
1898,5.658354917947861e-08
1899,1.1442086922386352e-07
1900,7.786579825364015e-08
1901,4.470991055161022e-08
1902,3.83002145554201e-08
1903,7.020286130199338e-08
1904,5.96583396017536e-08
1905,8.463644651790503e-08
1906,1.0597020061453577e-07
1907,5.3485572137912385e-08
1908,6.286578191350145e-08
1909,5.721023033089523e-08
1910,9.459147021217973e-08
1911,6.065226587637085e-08
1912,7.03271836322017e-08
1913,9.33326214092034e-08
1914,4.2859159776753586e-08
1915,3.2986132936230206e-08
1916,2.966614687238689e-08
1917,3.728584241358135e-08
1918,8.270190932080368e-08
1919,3.867296449744373e-08
1920,4.694783628522714e-08
1921,4.998013158896697e-08
1922,4.500540740082215e-08
1923,4.671017039825642e-08
1924,9.668718092825657e-08
1925,5.1691434688194704e-08
1926,3.6782256351841625e-08
1927,5.0171511389862644e-08
1928,3.5420727240165206e-08
1929,4.0105462062456354e-08
1930,6.932378404655992e-08
1931,4.676196230235519e-08
1932,5.808554537356514e-08
1933,2.8676655050574595e-08
1934,3.235026646564165e-08
1935,6.223507398317452e-08
1936,3.394919900756577e-08
1937,3.9032466037092206e-08
1938,6.223302762009553e-08
1939,4.282334220562234e-08
1940,4.564409294971483e-08
1941,4.132103725851266e-08
1942,3.034211815133858e-08
1943,2.6129116648121453e-08
1944,1.2852744646352221e-08
1945,4.574858669670334e-08
1946,4.5939645865189505e-08
1947,2.26496545963073e-08
1948,4.5661929126694645e-08
1949,3.828633132751946e-08
1950,4.2541447031752e-08
1951,3.624876598884441e-08
1952,5.4832980267427445e-08
1953,3.878578014315792e-08
1954,4.49536656788041e-08
1955,4.6928038788252024e-08
1956,6.017587583784234e-08
1957,3.887416544223754e-08
1958,1.5717262880077243e-08
1959,2.945284249822322e-08
1960,1.6609999708983025e-08
1961,3.265634873628187e-08
1962,2.156265105357491e-08
1963,2.392439757414877e-08
1964,2.433587364958356e-08
1965,2.462419479432043e-08
1966,1.994066989308152e-08
1967,2.3665610304757223e-08
1968,3.5482185967161683e-08
1969,2.4525491804094912e-08
1970,2.897196688111947e-08
1971,2.980270608077262e-08
1972,2.7189778206704318e-08
1973,1.1577727720979425e-08
1974,1.6876714303837304e-08
1975,2.8557400888473694e-08
1976,2.3996813203197576e-08
1977,1.5279633114317903e-08
1978,1.603959731699689e-08
1979,3.043026075566502e-08
1980,2.728872261492654e-08
1981,3.858585273519566e-08
