year,épices_NOUN fines_ADJ
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,3.900678446910888e-09
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,4.034336598124355e-08
1807,2.562259560079383e-08
1808,2.039466551195801e-08
1809,1.581321384946932e-08
1810,0.0
1811,5.0141535368197765e-09
1812,2.6672082320544632e-09
1813,4.026038169513413e-08
1814,1.3845379953636439e-07
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,5.960588467246453e-09
1819,0.0
1820,2.3732962262101864e-09
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,3.789500624407083e-08
1825,7.044354433105582e-09
1826,1.8496766784892316e-08
1827,1.7512819638909605e-08
1828,1.6510142586412258e-08
1829,8.573175946935407e-09
1830,2.2961039292113128e-08
1831,3.1182412207897414e-09
1832,0.0
1833,1.1583628500844156e-09
1834,1.213489042584115e-08
1835,0.0
1836,8.736974699274924e-09
1837,1.3915781860163179e-09
1838,2.5248647617104325e-09
1839,2.4470162784950844e-08
1840,3.821813088222825e-09
1841,8.346713542550788e-09
1842,0.0
1843,1.5357969118667825e-08
1844,1.097712254427563e-09
1845,2.2320911785556063e-09
1846,5.854501328173001e-10
1847,5.3932236454556914e-09
1848,2.413566457803995e-09
1849,6.703531951757213e-09
1850,2.0366988096043315e-09
1851,1.6768540334055615e-08
1852,6.510545436100301e-09
1853,8.957897534855874e-09
1854,4.1565315633818045e-09
1855,6.8990182455763716e-09
1856,1.0354378465748937e-09
1857,1.4644527812635033e-09
1858,4.893676019968041e-10
1859,2.036869339860914e-09
1860,3.204028820036342e-09
1861,4.715963730639317e-10
1862,4.9697850279528666e-09
1863,2.9967726078439227e-09
1864,3.3563094525845827e-09
1865,2.3534221238463715e-09
1866,5.838735717134114e-09
1867,1.1161466417775046e-08
1868,3.457911734727759e-09
1869,4.883519144627257e-10
1870,4.013834153937523e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,1.1972008451266447e-07
1874,1.1949218281515073e-09
1875,5.721527140956084e-10
1876,5.441413541973361e-09
1877,2.4739263970730008e-09
1878,7.2469061862534545e-09
1879,3.0546627449723474e-09
1880,1.2835692508872398e-09
1881,8.367009307619355e-09
1882,2.9283693692150337e-08
1883,2.5277355764075082e-09
1884,0.0
1885,1.933690763067375e-09
1886,6.4534639854230136e-09
1887,3.9173548849191775e-09
1888,5.07249175996094e-09
1889,1.8795409673089125e-09
1890,7.209825181320184e-09
1891,8.92390783491237e-09
1892,6.268512375839919e-09
1893,6.158416554491453e-10
1894,8.822155450616265e-09
1895,3.0093072478365457e-09
1896,2.948514543632541e-09
1897,5.2440420894583895e-09
1898,0.0
1899,1.6582735185011188e-08
1900,7.26747462209687e-09
1901,5.58873880507349e-09
1902,5.4013122863239005e-09
1903,5.940242076007962e-09
1904,3.2247751136083025e-09
1905,2.580379465655369e-09
1906,4.629765903985117e-09
1907,1.5428529565042481e-09
1908,5.40252820258047e-09
1909,2.2003934230241384e-09
1910,2.137660271017694e-09
1911,0.0
1912,4.688478938419394e-09
1913,3.181793939432964e-09
