year,vos_DET hôtes_NOUN,vos_DET fautes_NOUN
1800,4.087413785214267e-08,3.4900224665790347e-07
1801,3.333655484993869e-08,3.0717254873025013e-07
1802,2.4616241489638924e-08,4.632329080322961e-07
1803,5.851017448321727e-09,3.920181690375557e-07
1804,4.943701892301533e-09,4.647079698827383e-07
1805,3.4114531644036106e-08,5.970043179814866e-07
1806,2.5935023018064385e-08,3.486819775133654e-07
1807,0.0,3.6156330907033407e-07
1808,1.3596443970698147e-08,3.1045214754499284e-07
1809,4.969867006821005e-08,3.411136049180641e-07
1810,3.978215445954447e-08,1.1560226580442645e-06
1811,1.7549536934780008e-08,3.2591997012332286e-07
1812,5.3344164641089264e-09,3.280666049931824e-07
1813,3.738464116054274e-08,3.795978831266922e-07
1814,5.664018942752591e-08,3.5242785045852543e-07
1815,1.0788894222457657e-08,4.396474400092387e-07
1816,2.0858434979231788e-08,4.635207755399051e-07
1817,3.736496234640896e-08,4.6394827146745143e-07
1818,4.887682791832049e-08,3.0160578923243975e-07
1819,2.794783426907088e-08,3.6332185437970566e-07
1820,1.898636980968149e-08,4.200734373682735e-07
1821,3.4515210245444905e-08,6.991795196142903e-07
1822,3.107940926838637e-08,5.794806128278651e-07
1823,4.348382143248841e-08,4.3088515688793905e-07
1824,4.547400767052068e-08,5.077930964603183e-07
1825,2.2013607159365733e-08,5.415347397175196e-07
1826,6.165588928297439e-08,4.4480322047846244e-07
1827,4.885154680778214e-08,7.069648599866696e-07
1828,1.6510142586412258e-08,5.219039467263542e-07
1829,2.8291481157793896e-08,3.9865267353889067e-07
1830,4.4878394334091354e-08,4.3521605519458717e-07
1831,4.2096257146795324e-08,4.3655378134666023e-07
1832,4.464889968858188e-08,3.368962508965012e-07
1833,3.8225974052785716e-08,4.540782363449125e-07
1834,4.760610750054184e-08,4.6299272504768396e-07
1835,8.31939672707449e-08,7.532835724077813e-07
1836,6.11588241161698e-08,5.611826185969448e-07
1837,3.1310509740478665e-08,4.0425345382288924e-07
1838,3.092959488526503e-08,5.390586421682997e-07
1839,4.194885150354821e-08,3.831328374559462e-07
1840,5.6053259811505995e-08,4.1402975758941807e-07
1841,3.2102742686390684e-08,3.90369336855656e-07
1842,4.427454891597904e-08,5.145239421189274e-07
1843,2.303695284533447e-08,4.6369251416322754e-07
1844,3.2382512671347286e-08,4.604903027782825e-07
