year,nations_NOUN in_ADJ
1800,0.0
1801,1.666827853519237e-08
1802,0.0
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,2.55858996212055e-08
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,2.945896104833423e-08
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,5.0141535368197765e-09
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,6.952811659743929e-09
1817,7.784366928831332e-09
1818,2.384235475716423e-09
1819,7.24573512300708e-09
1820,3.5599443393152796e-09
1821,6.903041693817613e-09
1822,1.2030739071633434e-08
1823,3.9530747564242574e-09
1824,1.0947446504872005e-08
1825,6.163809906922779e-09
1826,4.403992281964975e-09
1827,7.373818444733615e-09
1828,1.8344602503717056e-09
1829,2.571952872898464e-09
1830,4.174734336004349e-09
1831,2.0268567268999504e-08
1832,4.058990921151917e-09
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,6.050470346963266e-09
1836,4.032449929525228e-09
1837,1.0436836284100082e-08
1838,1.3255539776935166e-08
1839,3.4957375882882502e-09
1840,1.9109065441114126e-09
1841,8.988767952189392e-09
1842,2.683306021822318e-09
1843,5.31621990873532e-09
1844,3.841992946007622e-09
1845,1.674068439427856e-09
1846,2.9272506640865004e-09
1847,5.3932236454556914e-09
1848,1.6090443422100975e-09
1849,0.0
1850,2.0366988096043315e-09
1851,3.2247193804124663e-09
1852,3.2552727180501506e-09
1853,2.9859659189668264e-09
1854,3.63696517347023e-09
1855,1.5920811335945473e-09
1856,4.659470143053568e-09
1857,6.345962033638131e-09
1858,9.29798454896158e-09
1859,1.5276520048956854e-09
1860,4.57718396518203e-09
1861,8.960331143725853e-09
1862,9.035972525772706e-10
1863,3.496234635136375e-09
1864,1.5343129766698382e-08
1865,1.882737743486018e-09
1866,5.352174259343201e-09
1867,4.85281148598915e-10
1868,8.89177309559841e-09
1869,9.767038289254515e-10
1870,2.8670243956696595e-09
1871,1.0621177271019633e-09
1872,6.047339295989218e-10
1873,5.387403856360606e-09
1874,7.169530746864439e-09
1875,8.010138330405425e-09
1876,3.02300739996042e-09
1877,1.1132668564783899e-08
1878,9.662541877730746e-09
1879,5.498392630087778e-09
1880,1.7328184220843923e-08
1881,1.045876096839038e-08
1882,5.989846840748214e-09
1883,8.847074628448581e-09
1884,1.1222884843675729e-08
1885,1.5469525438405185e-08
1886,6.453463874400711e-10
1887,4.570247291724172e-09
1888,3.1703073499755874e-09
1889,1.3156787215251597e-08
1890,6.554386478008212e-10
1891,3.187110020341777e-09
1892,3.1342561879199593e-09
1893,2.463366621796581e-09
1894,3.780923574225881e-09
1895,3.0093072478365457e-09
1896,7.666137724626765e-09
1897,5.826713334045053e-09
1898,5.6583546736987955e-09
1899,2.2110313580014918e-09
1900,7.786579381274805e-09
1901,2.235495566438317e-09
1902,4.910283846193408e-10
1903,5.400220270956879e-10
1904,4.837162670412454e-09
1905,9.28936660926638e-09
1906,6.173021427358094e-09
1907,5.142843206851211e-09
1908,4.911389073214423e-10
1909,1.6502950117569526e-09
1910,2.67207544979442e-09
1911,1.0640748282497725e-09
1912,3.125652625612929e-09
1913,1.590896969716482e-09
1914,1.3393487430235496e-09
1915,2.3561523843085297e-09
1916,9.888715624128963e-09
1917,4.3865698851064394e-09
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,1.1358347595802343e-08
1921,2.27182422873895e-09
1922,3.6889677423879164e-09
1923,1.1677542932631013e-08
1924,9.02413699321869e-09
1925,7.698724546756353e-09
1926,2.0063048999929833e-08
1927,1.6723837426013688e-08
1928,9.140832868403947e-09
1929,1.0026365737658693e-08
1930,5.2518018822667045e-09
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,5.735331320977366e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,9.075649898271365e-09
1939,7.647025235257843e-09
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032351855917682e-08
1944,6.4263723231761105e-09
1945,1.742803190651898e-08
1946,8.352662561605939e-09
1947,8.344609891963728e-09
1948,6.523132700664291e-09
1949,1.079870937115146e-08
1950,3.190608444114673e-09
1951,6.396841056854896e-09
1952,2.1089607837865287e-09
1953,2.1547654771580937e-09
1954,1.07497895029951e-08
1955,1.6894094123642844e-08
