year,grands_ADJ fils_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,6.713520406265161e-09
1803,9.751696339321825e-09
1804,0.0
1805,1.9900143755080535e-08
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,5.0141535368197765e-09
1812,5.3344166417446104e-08
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,8.344824387052086e-09
1819,1.035105001712111e-09
1820,2.0173018810965004e-08
1821,0.0
1822,3.0076847679083585e-09
1823,6.917880934764753e-09
1824,7.57900142644985e-09
1825,1.6730341556581152e-08
1826,5.284790383086602e-09
1827,0.0
1828,9.172301251858528e-10
1829,1.628903412154159e-08
1830,4.174734336004349e-09
1831,3.1182412207897414e-09
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,1.8669062740173104e-08
1835,1.5126175867408165e-09
1836,2.8227150394855016e-08
1837,1.3219993100221927e-08
1838,2.5248647617104325e-09
1839,4.194885327990505e-09
1840,7.0066574764382494e-09
1841,6.420548537278137e-10
1842,8.720745015011744e-09
1843,1.0041748765843295e-08
1844,2.085653250105679e-08
1845,5.022205318283568e-09
1846,1.5807152919933287e-08
1847,1.1325769655456952e-08
1848,5.63165514222419e-09
1849,1.005529792763582e-08
1850,1.0183494048021657e-08
1851,2.1283147688677673e-08
1852,4.557382027314816e-09
1853,7.166318205520383e-09
1854,5.7152309551611324e-09
1855,6.368324534378189e-09
1856,1.0354378687793542e-08
1857,1.757343248698362e-08
1858,7.34051397444091e-09
1859,1.2221216039165483e-08
1860,1.7393299245327398e-08
1861,6.6023493339173456e-09
1862,9.487771457372673e-09
1863,7.991393324857654e-09
1864,1.4863656971897399e-08
1865,1.4120533631256649e-09
1866,1.0217787504984699e-08
1867,1.4073153309368536e-08
1868,1.1361710683388537e-08
1869,1.4650557211837167e-08
1870,1.8922360567330543e-08
1871,6.37270636261178e-09
1872,1.6327815544059376e-08
1873,7.183205141814142e-09
1874,1.3144139998644278e-08
1875,3.432916173551348e-09
1876,3.627608879952504e-09
1877,2.5976227391311113e-08
1878,2.7779808675632012e-08
1879,1.1607718342077078e-08
1880,3.8507077526617195e-09
1881,9.064259565150223e-09
1882,1.1314154946262533e-08
1883,1.516641390253426e-08
1884,2.2445769687351458e-08
1885,2.5782542323327107e-08
1886,1.2906927970846027e-08
1887,2.8074376601239237e-08
1888,2.4728397107764977e-08
1889,2.0048437576747347e-08
1890,1.3764211992395303e-08
1891,2.5496881050912634e-08
1892,1.6924984080901595e-08
1893,2.46336657738766e-08
1894,1.8904618315218613e-08
1895,2.7083764564395096e-08
1896,1.1204354777305525e-08
1897,1.2818770045441852e-08
1898,7.582195848954143e-08
1899,2.1004797901014172e-08
1900,1.4015843596837385e-08
1901,3.129693837422565e-08
1902,1.0311596021495006e-08
1903,2.430099144135056e-08
1904,1.8811189050893518e-08
1905,2.4255568220610257e-08
1906,3.137952475640304e-08
1907,2.468564730406797e-08
1908,3.634427869769752e-08
1909,4.290767208203761e-08
1910,2.4583092894658876e-08
1911,4.256299490634774e-08
1912,2.9693701719679666e-08
1913,2.3863453435524207e-08
1914,2.8795998474606677e-08
1915,7.068457108516668e-08
1916,1.0108465176017489e-07
1917,6.031533672512523e-08
1918,5.513460621386912e-08
1919,5.800944435918609e-08
1920,4.770506123463747e-08
1921,5.2251955651172466e-08
1922,3.8365264742878935e-08
1923,2.653987074552333e-08
1924,5.543398629015428e-08
1925,4.7292164850887275e-08
1926,3.6782257240020044e-08
1927,8.919379723693055e-08
1928,3.7705934374798744e-08
1929,6.907051641746875e-08
1930,5.566909777598994e-08
1931,3.5356606531422585e-08
1932,3.3974561830518724e-08
1933,2.982372038218273e-08
1934,8.626737724171107e-08
1935,5.2660450222674626e-08
1936,5.941110003959693e-08
1937,3.777335422228134e-08
1938,3.3709557811789637e-08
1939,4.129393715857077e-08
1940,4.81798743123818e-08
1941,1.0035108743977617e-07
1942,7.282108072104165e-08
1943,4.3548528338988035e-08
