year,leurs_DET acteurs_NOUN,leurs_DET facteurs_NOUN
1800,1.5091990235305275e-07,1.7292904619381488e-07
1801,7.619784270218588e-08,1.0239084913266083e-07
1802,7.608656460433849e-08,2.774921767922933e-07
1803,3.9006784247064274e-08,1.0141764228421835e-07
1804,9.14584823430431e-08,8.651478111687538e-08
1805,4.264316544322355e-08,8.24434565060983e-08
1806,5.76333825108577e-08,2.507052272449073e-07
1807,5.4092147649953404e-08,3.843389322355506e-07
1808,5.211970233176544e-08,2.40203837265085e-07
1809,3.840352036377226e-08,2.1460789412230952e-07
1810,1.263668423234776e-07,2.2933242149747457e-07
1811,6.016983888912364e-08,3.158916683787538e-07
1812,2.400487453257938e-08,2.6405360564751845e-07
1813,9.202373263406116e-08,2.0705340375570813e-07
1814,9.754699048514226e-08,1.006936667380387e-07
1815,4.315557688983063e-08,6.74305908887618e-08
1816,9.733936678912869e-08,5.3304891167726964e-08
1817,1.1053801429738996e-07,9.029865566390072e-08
1818,6.795070817133819e-08,1.1563542035020191e-07
1819,5.4860564091541164e-08,8.073818946741085e-08
1820,6.051905643289501e-08,8.543866414356671e-08
1821,6.212737702071536e-08,1.360885377721388e-07
1822,8.822541985864518e-08,9.925359734097583e-08
1823,5.435477845594505e-08,1.0179167730939298e-07
1824,8.673745810483524e-08,1.6168536376426346e-07
1825,6.163810439829831e-08,1.90197565030914e-07
1826,2.3781558056157337e-08,2.2460359616616188e-07
1827,4.516463647519231e-08,2.3872738097452384e-07
1828,3.0268594741755805e-08,2.5957613064564455e-07
1829,7.287199821348622e-08,2.134720876734164e-07
1830,6.366470017837855e-08,1.7325147538826968e-07
1831,4.8332740476553226e-08,8.575163690238696e-08
1832,7.306183669175681e-08,5.547287429408243e-08
1833,8.456048750105083e-08,7.992703388026712e-08
1834,4.480574844478724e-08,2.137607566510269e-07
1835,2.193295500774184e-08,1.2100940693926532e-07
1836,2.8227150394855016e-08,1.888530789528886e-07
1837,5.914207434898344e-08,9.810626000472666e-08
1838,2.019891809368346e-08,1.1235648145202504e-07
1839,3.146163696232662e-08,1.2304996488410325e-07
1840,3.3122379505812205e-08,1.0637379954658854e-07
1841,7.126808831969811e-08,6.356343362767802e-08
1842,4.762868144325694e-08,1.97222993936208e-07
1843,3.485077471054865e-08,1.1164061675117409e-07
1844,3.4577937402247017e-08,1.2404148652667146e-07
1845,3.9619617142605534e-08,2.042363395071689e-07
1846,3.9810608143397985e-08,9.074476770010165e-08
1847,1.88762818709165e-08,2.648072836564097e-07
1848,2.815827571112095e-08,1.0619692858426788e-07
1849,4.9438548366254054e-08,2.1618890699848237e-07
1850,4.5486274302675156e-08,8.96147440698769e-08
1851,2.257303499675345e-08,1.354382104246099e-07
1852,3.841221740685796e-08,1.4518516877615184e-07
1853,3.702597695109944e-08,4.658106678157026e-08
1854,2.8576154775805662e-08,1.0599155331192378e-07
1855,5.943769565419643e-08,9.127931832608738e-08
1856,2.485050742961903e-08,1.1027412760711286e-07
1857,4.393358210563747e-08,9.811832957229427e-08
1858,4.061751113226819e-08,1.1010770828434602e-07
1859,5.754155907311542e-08,6.517981798737082e-08
1860,2.8378540406492903e-08,5.996110985506675e-08
1861,2.5937801240161207e-08,9.903523745524723e-08
1862,5.783022416494532e-08,1.0391368476803109e-07
1863,2.0477944673302773e-08,7.791608425122831e-08
1864,2.6371003158942585e-08,6.856460998960756e-08
1865,4.142023179998233e-08,8.660593664444605e-08
1866,2.8220554781910323e-08,5.400830360713371e-08
1867,3.88224918879132e-08,1.0385016757652465e-07
1868,3.408512938563035e-08,8.20019130376437e-08
1869,6.397410068359477e-08,5.518376511304268e-08
1870,2.6376625328339287e-08,1.3475014881692005e-07
1871,5.098165090089424e-08,6.266494367856978e-08
1872,1.269941218851045e-08,6.047338985126771e-08
1873,2.095101514498765e-08,2.2208076816410127e-07
1874,3.1665429389704514e-08,1.67886511803772e-07
1875,5.263805036292979e-08,1.0241533487942434e-07
1876,3.688068872520489e-08,6.348315784165948e-08
1877,4.143826615177204e-08,1.1812998224058902e-07
1878,2.3552445327368332e-08,5.7975249490027636e-08
1879,5.009646741882534e-08,8.614148483410133e-08
1880,3.337280074511284e-08,6.674560371067173e-08
1881,2.3009274485730202e-08,6.135806529528054e-08
1882,3.926677294430192e-08,9.051323957010027e-08
1883,3.159669503816076e-08,1.131161653233903e-07
1884,2.5746619058963915e-08,7.261866841190567e-08
1885,7.02574285416091e-08,6.187810286384376e-08
1886,6.13079040312492e-08,8.389503136640997e-08
1887,2.8074376157150027e-08,1.1621485956903044e-07
1888,3.867775077992519e-08,9.510922183153525e-08
1889,3.696430539434914e-08,1.2342319166691595e-07
1890,2.0974036729626278e-08,5.505684796958121e-08
1891,4.461954006274027e-08,7.01164211136529e-08
1892,3.761107270072728e-08,1.2850451014401187e-07
1893,1.4780200174868696e-08,1.0161387126172983e-07
1894,2.646646479753656e-08,9.641355180889377e-08
1895,2.4074458426781575e-08,7.282523739604585e-08
1896,2.2408710331767168e-08,1.3622136818547403e-07
1897,2.7385552936465274e-08,7.050323425072946e-08
1898,2.9423445013776472e-08,1.1769377861181596e-07
1899,3.3165470370022376e-08,8.125540063019798e-08
1900,6.333084989762483e-08,7.47511634813236e-08
1901,4.806315345717849e-08,8.941982088117584e-08
1902,3.338993037615978e-08,6.972602761834423e-08
1903,2.1600881083827517e-08,9.072370277252162e-08
1904,3.171028684079147e-08,8.11568412473207e-08
1905,3.148063099089882e-08,2.0126960975641595e-07
1906,3.0865106026567446e-08,1.316911175663904e-07
1907,2.0571373937627868e-08,9.874258921627188e-08
1908,2.9468335327464956e-08,7.51442497115562e-08
1909,2.145383548590729e-08,8.086446001698278e-08
1910,4.702852507421085e-08,9.566029912644325e-08
1911,2.3941684190731394e-08,7.767746423859023e-08
1912,1.9795800554334164e-08,9.949994250746386e-08
1913,5.143900128068424e-08,5.992378354635619e-08
1914,3.8841115213017474e-08,9.844212939258412e-08
1915,3.062998021885477e-08,8.246533045319637e-08
1916,8.789969641043172e-09,1.4063951425669075e-07
1917,1.315970976634162e-08,5.9218692172180454e-08
1918,1.722956355365568e-08,7.236417332023848e-08
1919,2.1178051312631396e-08,6.445493627715848e-08
1920,1.590168707821249e-08,8.783788807420478e-08
1921,3.180554092319099e-08,9.996026850700446e-08
1922,3.541408943874558e-08,6.345024639031749e-08
1923,2.441668023323018e-08,4.564857647437748e-08
1924,4.383152307774196e-08,6.059063628605088e-08
1925,5.0591618894202384e-08,7.368779053607e-08
1926,3.1209186346359274e-08,6.799144358637932e-08
1927,3.0102906833917586e-08,6.243566019747959e-08
1928,1.942427008128078e-08,5.827281057690925e-08
1929,1.6710609784809094e-08,6.127223661778203e-08
1930,2.4158287814657342e-08,5.566909833110145e-08
1931,2.6232321204133768e-08,9.580499416017574e-08
1932,3.06867030674951e-08,5.4797684612140074e-08
1933,1.8353059516584835e-08,8.94711662535741e-08
1934,2.7557634396657704e-08,7.06913212411564e-08
1935,4.547947884958603e-08,7.779384603168182e-08
