year,six_DET acteurs_NOUN,six_DET facteurs_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,4.7623650800687756e-08
1802,0.0,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,3.707776485839531e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,8.645007376628655e-09
1807,8.540865792383556e-09,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,6.7770917766551975e-09
1810,7.722418615685456e-08,0.0
1811,0.0,7.521229861140455e-09
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,7.784366928831332e-09,3.113746815941454e-09
1818,1.1921176934492905e-08,0.0
1819,9.315945348475907e-09,2.070210003424222e-09
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,1.3806083387635226e-08,2.9584463767662328e-09
1822,1.604098542884458e-08,3.0076847679083585e-09
1823,2.9648061783404955e-09,2.9648061783404955e-09
1824,1.6842225392110777e-09,0.0
1825,1.7610886082763955e-09,4.4027217427355936e-09
1826,8.807984341885344e-10,0.0
1827,1.013900075008678e-08,0.0
1828,4.586150570418113e-09,0.0
1829,3.429270423183084e-09,0.0
1830,9.39315203396518e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.4353944638733083e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,2.3167257001688313e-09
1834,0.0,0.0
1835,1.5126175867408165e-09,0.0
1836,1.008112526790228e-08,4.032449929525228e-09
1837,6.957890930081589e-10,0.0
1838,1.199310784016916e-08,0.0
1839,1.3982950353153e-09,2.0974426639952526e-09
1840,2.5478754661634184e-09,1.9109066329292546e-08
1841,0.0,0.0
1842,6.708265054555795e-10,4.024959032733477e-09
1843,1.7720733769266417e-09,5.906911071384968e-10
1844,5.488561272137815e-10,7.683985892015244e-09
1845,5.580227946389016e-10,3.9061593959388574e-09
1846,5.854501328173001e-09,5.854501328173001e-10
1847,9.168480197274675e-09,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0
1849,8.379414939696517e-10,2.513824481908955e-09
1850,0.0,1.3577992064028876e-09
1851,1.2898877521649865e-09,5.159551008659946e-09
1852,3.2552727180501506e-09,1.5625309046640723e-08
1853,8.360704129017904e-09,4.180352064508952e-09
1854,0.0,1.558699391779328e-09
1855,1.5920811335945473e-09,5.837630823180007e-09
1856,4.141751386299575e-09,8.28350277259915e-09
1857,5.857811125054013e-09,4.881508974818871e-09
1858,9.787352039936081e-10,8.319249178434518e-09
1859,6.110608019582742e-09,5.092173349652285e-10
1860,3.661747127736703e-09,1.3731551729012637e-09
1861,5.659156698811785e-09,2.357981809808507e-09
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,9.989241656072068e-10,4.994620828036034e-10
1864,1.4384183844029508e-09,1.9178911792039344e-09
1865,1.4120533631256649e-09,8.943004559114343e-09
1866,4.379051787850585e-09,8.271541673821048e-09
1867,9.7056229719783e-10,2.426405742994575e-09
1868,3.457911734727759e-09,4.93987406535723e-10
1869,3.906815315701806e-09,4.883519144627257e-10
1870,5.734048791339319e-10,6.880858549607183e-09
1871,2.1242354542039266e-09,6.37270636261178e-09
1872,1.2094678591978436e-09,6.047339295989218e-10
