year,autres_ADJ acteurs_NOUN,autres_ADJ facteurs_NOUN
1800,1.8864986373046122e-07,2.5153315874604232e-08
1801,1.4287095950749062e-07,2.1430643926123594e-08
1802,1.656001700212073e-07,3.3567602031325805e-08
1803,1.2482171030114841e-07,2.3404069793286908e-08
1804,2.546006498960196e-07,1.9774807569206132e-08
1805,1.5351540127994667e-07,4.264316544322355e-08
1806,9.221341201737232e-08,5.76333825108577e-08
1807,2.3629726797480544e-07,1.366538526781369e-07
1808,3.2631464819132816e-07,6.798222074166915e-08
1809,2.2816207945197675e-07,1.3554183553310395e-08
1810,2.527336846469552e-07,5.148278958699848e-08
1811,1.6546707115594472e-07,6.267691787797958e-08
1812,1.4936365744233626e-07,2.1337665856435706e-08
1813,2.674439656402683e-07,4.888760685162197e-08
1814,2.643208745212178e-07,7.237357380063258e-08
1815,1.6722786710943183e-07,5.1247248222807684e-08
1816,1.5296186006708012e-07,2.5493642752394408e-08
1817,1.5257359109455138e-07,6.227493631882908e-09
1818,1.5735953695639182e-07,1.4305412854298538e-08
1819,1.635465878280229e-07,7.349245834120666e-08
1820,2.2546313971361087e-07,3.9159388620646496e-08
1821,1.9032673037600034e-07,1.972297702934611e-08
1822,3.278376539128658e-07,4.8122956286533736e-08
1823,2.431141012948501e-07,2.4706716672540097e-08
1824,2.054751462310378e-07,1.431589158329416e-08
1825,2.2277771449807915e-07,1.3208164340028361e-08
1826,1.699940952448742e-07,8.984144272972117e-08
1827,1.6038055150602304e-07,2.949527377893446e-08
1828,1.1006761724274838e-07,4.1275356466030644e-08
1829,2.0232695874256024e-07,2.743416338546467e-08
1830,2.0560567293159693e-07,7.618890407457002e-08
1831,1.6058942264862708e-07,3.274153215215847e-08
1832,2.7195238772037555e-07,6.088486514954639e-08
1833,1.6217079235048004e-07,2.4325620628928846e-08
1834,1.4935250192138483e-07,3.640467127752345e-08
1835,1.686568680270284e-07,5.7479468296151026e-08
1836,1.6533044799871277e-07,4.9061476659062464e-08
1837,1.30808345488731e-07,8.279890273410473e-08
1838,1.5401674602344428e-07,7.258986300939796e-08
1839,1.5451159640633705e-07,5.173691519644308e-08
1840,1.3885920679967967e-07,2.1019973317493168e-08
1841,1.0786521897898638e-07,4.494383887276854e-08
1842,1.0062397848287219e-07,5.567860128508073e-08
1843,1.228637529493426e-07,4.0757687003178944e-08
1844,1.1306435965252604e-07,6.037417676907353e-08
1845,1.7466113888531254e-07,5.747634901354104e-08
1846,1.2470087540350505e-07,3.5127008857216424e-08
1847,1.0624650315094186e-07,7.011190916728083e-08
1848,1.2067832244611054e-07,7.562508130831702e-08
1849,9.887709495615127e-08,9.720121596501485e-08
1850,8.350465208195601e-08,3.2587180953669304e-08
1851,9.932135469625791e-08,6.06247212431299e-08
1852,1.1523665222057389e-07,5.6641745516117226e-08
1853,1.4392355751624564e-07,5.3150191803297275e-08
1854,1.7145693220754765e-07,8.105236642963476e-08
1855,1.56023958197693e-07,5.7845614520601885e-08
1856,1.8586109717944055e-07,8.024642994541864e-08
1857,1.493741734748255e-07,6.638852312335075e-08
1858,1.2380999692140904e-07,4.404308384664546e-08
1859,1.904472810565494e-07,2.8516170758052795e-08
1860,1.7118668438342866e-07,4.3483247225140076e-08
1861,1.3016060051995737e-07,7.309743921268819e-08
1862,1.6626189847102069e-07,7.138418567365079e-08
1863,1.218687515347483e-07,4.744889636754124e-08
1864,1.3089606909488793e-07,7.14414483127257e-08
1865,1.4544148996264994e-07,6.165966226490127e-08
1866,1.0266442984629975e-07,6.568577504140194e-08
1867,1.1258522647494829e-07,8.589476152565112e-08
1868,1.6350983855772938e-07,1.1164115676365327e-07
1869,2.075495615372347e-07,7.911300770047092e-08
1870,1.1984161574218888e-07,8.31437105830446e-08
1871,8.815577245968598e-08,4.248470730772169e-08
1872,6.47065334646868e-08,6.107812566824578e-08
1873,1.3947389732038573e-07,6.165584442996419e-08
1874,1.0515311998915422e-07,9.858104732529682e-08
1875,1.2987867137326248e-07,1.2301283902615978e-07
1876,1.3724454106522899e-07,1.3180312086191748e-07
1877,1.7503029425824934e-07,1.3359202455376362e-07
1878,1.2561304174596444e-07,1.618475806708375e-07
1879,1.1118972054191545e-07,1.6250805856543593e-07
1880,1.906100379756026e-07,1.9061003420084432e-07
1881,1.6106491784739774e-07,2.1266147598453244e-07
1882,1.4175969909047126e-07,1.8235755305795465e-07
1883,1.4155318694974994e-07,2.0601045491730474e-07
1884,1.168500389781002e-07,2.1257464766222256e-07
1885,1.0699755392806765e-07,3.151915848320641e-07
1886,1.2132511528761825e-07,3.2396389165745276e-07
1887,1.4755369193153456e-07,2.964131908811396e-07
1888,1.11594815166427e-07,2.9420451141959347e-07
1889,1.2217016376325773e-07,3.370643639755144e-07
1890,9.438316794785351e-08,4.0047300436940603e-07
1891,7.967774706685304e-08,3.958390664138278e-07
1892,8.838602383320904e-08,3.153061811644875e-07
1893,9.91505046954444e-08,5.813545274069298e-07
1894,1.0334524347399565e-07,5.116849672859303e-07
1895,1.1074250494402804e-07,5.296381004882278e-07
1896,8.373780957526833e-08,5.183488269722147e-07
1897,8.040864685199267e-08,6.95126936345325e-07
1898,9.109951548680328e-08,6.127998517513333e-07
1899,8.788849470420246e-08,6.588873713297971e-07
1900,7.68275896234627e-08,6.789897609715823e-07
1901,1.3412973487447744e-07,8.170736160995062e-07
1902,7.610940144786582e-08,7.26230980796494e-07
1903,1.0908444636470449e-07,1.0265819223587158e-06
1904,8.868131828876358e-08,1.003979946290201e-06
1905,1.0321517862621477e-07,9.84156713457196e-07
1906,8.950880925340243e-08,1.0674183241188295e-06
1907,6.274268571360153e-08,1.0583972182010015e-06
1908,1.070682813519852e-07,1.0397410858953293e-06
1909,9.186642557779123e-08,1.0347349661543603e-06
1910,1.0955508855658991e-07,1.1254781062675079e-06
1911,9.470265638356068e-08,1.2449675645953562e-06
1912,1.0262559868579046e-07,1.1403422792710671e-06
1913,8.484783364792747e-08,1.3236262832450052e-06
1914,8.772734361173207e-08,1.1063020326496087e-06
1915,7.304072369151982e-08,1.3347603657898333e-06
1916,3.5159878564172686e-08,1.1800534593930934e-06
1917,5.15421945124217e-08,1.477177383524264e-06
1918,6.432370724951397e-08,1.2922173588947317e-06
1919,6.721729306491397e-08,1.354474528092453e-06
1920,7.572231908170579e-08,1.3955623279215956e-06
1921,8.330022183145047e-08,1.5599859435333485e-06
1922,1.0624226831623673e-07,1.7463572818954276e-06
1923,9.129715294875496e-08,1.333363064404125e-06
1924,1.1344629768927916e-07,1.7261884890373835e-06
1925,1.3637740892136208e-07,1.403367548391543e-06
1926,1.6273362746233033e-07,1.7488291526035482e-06
1927,1.0368778902147824e-07,1.4951110514083155e-06
1928,1.2682906458394427e-07,1.6739150749955911e-06
1929,1.0694790120169273e-07,1.7501578710721333e-06
1930,8.612954616182833e-08,1.9746774961859614e-06
